,params,data
batch_size,32,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(27, None), (25, 1), (18, 1), (44, 1), (42, 1), (2, 1)]",
module__conv_type,temporal,
module__dropout,0.3460880012635862,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,LSC,
train_loss,,"[2.692312278921955, 2.653577444069195, 2.6441361027571646, 2.645502894973388, 2.6522363462163576, 2.6510387671693687, 2.6519066952419923, 2.6495105786548425, 2.6462557035873897, 2.647468861303614, 2.6453862646890443, 2.652733205257412, 2.640030196357852, 2.652756678587663, 2.6446008659304048, 2.647325643102519, 2.6443667517360065, 2.648284382723752, 2.6468137182560647, 2.645998381329225, 2.6403087057438577, 2.6489117439259005, 2.642937007147722, 2.6444047171984644, 2.644994234786341, 2.640155641245544, 2.6439475914511803, 2.642700762331084, 2.639261952722382, 2.6467330139112426, 2.6459912262476903, 2.643755146582845, 2.642551032021369, 2.644996096470588, 2.6408442475683307, 2.645331597993647, 2.643216412152317, 2.6436484162915317, 2.6464498937990486, 2.6382594360997746, 2.6413181599111253, 2.648154903766166, 2.6401760908591276, 2.6458188684314803, 2.64063650650744, 2.644381437769753, 2.645127798756002, 2.6459400467968996, 2.6454211302510355, 2.638438067147087, 2.6385790498584822, 2.6441225672823747, 2.6382315158843994, 2.6420453765050396, 2.6426088144506137]"
valid_acc,,"[0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.07865168539325842, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.07865168539325842, 0.07865168539325842, 0.0749063670411985, 0.0749063670411985, 0.07865168539325842, 0.0749063670411985, 0.07865168539325842, 0.07865168539325842, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.07865168539325842, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.07865168539325842, 0.07865168539325842, 0.0749063670411985, 0.0749063670411985, 0.07865168539325842, 0.07116104868913857, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.07865168539325842, 0.07865168539325842, 0.07865168539325842, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.07865168539325842, 0.0749063670411985, 0.0749063670411985, 0.0749063670411985, 0.07865168539325842, 0.0749063670411985, 0.07865168539325842, 0.07865168539325842, 0.0749063670411985, 0.07865168539325842]"
valid_loss,,"[2.640115272686276, 2.6391846972904847, 2.639144721549102, 2.637982822089606, 2.637206841050909, 2.6373544926946977, 2.637720776854383, 2.6382672474178928, 2.6382477104887085, 2.6377153584126676, 2.6384185967820413, 2.6383347395207553, 2.6381706816426824, 2.638464728544714, 2.638373952679866, 2.637706766414285, 2.6384191146950595, 2.6385716749041266, 2.6382740785120133, 2.638502980885881, 2.6385750600907687, 2.638077594814229, 2.637624505753821, 2.6376942927471263, 2.638140744484319, 2.6377940686900962, 2.637777465113093, 2.637871587767583, 2.6373282595073686, 2.6382645899883372, 2.638524373372396, 2.6380363823322766, 2.6377980262599188, 2.6382419161135786, 2.63775069704663, 2.638237584396248, 2.638470157701871, 2.6385283407647067, 2.638007258654534, 2.6375345380118724, 2.6380254329367077, 2.638702188091778, 2.6382602752371227, 2.6381744525852273, 2.638401977131876, 2.638007544399647, 2.6381100295634754, 2.638309771648507, 2.638400244802125, 2.6379897264059116, 2.6378977396961454, 2.6375642724697954, 2.637911542971036, 2.6380368904228066, 2.637864077135865]"
