,params,data
batch_size,32,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(44, None), (55, 11), (22, 11), (22, 11), (66, 11), (11, 11)]",
module__conv_type,temporal,
module__dropout,0.5041136020670517,
module__fc_hidden_layers,"[1936, 128]",
module__preprocess,LSC,
train_loss,,"[2.7964231520460934, 2.691651735085496, 2.6819296936442694, 2.676570494204788, 2.6785720023429658, 2.660890296288014, 2.6665388853992833, 2.658024497394727, 2.6605315876190656, 2.64991131347458, 2.667796511278345, 2.656954164339787, 2.6569480262660887, 2.656660603834415, 2.6517199070208113, 2.6464464572671518, 2.6599795834391706, 2.6439220184770424, 2.644304548122197, 2.6563866661648206, 2.654203687067555, 2.647530339335569, 2.650054062640472, 2.647065798747528, 2.642283085565136, 2.645292916587044, 2.6481586475574246, 2.6429629819225644, 2.6480414222592454, 2.6415825562481703, 2.6410342205936113, 2.6469213196127543, 2.6454149003896266, 2.6334516134711845, 2.6397560957650708, 2.6395588366312976, 2.6366701780086075, 2.630449797811132, 2.645745994725746, 2.6363525916109647, 2.642734174434673, 2.6355621436103474, 2.636973255752255, 2.62506891581964, 2.6311293364259574, 2.6204204109566387, 2.617749215549179, 2.6141738109111325, 2.59664241801786, 2.595372579783861, 2.5756366714132417, 2.563566495869685, 2.5510955721971733, 2.520112328625735, 2.5349357203868172, 2.492377948944562, 2.50138114781421, 2.485106721764235, 2.47463857014668, 2.4599105208050873, 2.446891784897438, 2.443940406355064, 2.461849330134754, 2.4301350190159905, 2.455042275473748, 2.4252711737580435, 2.4364026965030234, 2.388356250564678, 2.3970905169486083, 2.4112726210171034, 2.3780570803523866, 2.3874324182688444, 2.3316317024543034, 2.329137659394133, 2.3769055305477287, 2.389390854335267, 2.374005757810062, 2.3382429119712236, 2.340413408169274, 2.3757149982727754, 2.34451949768507, 2.3379034865235226, 2.3307267116513586, 2.3147543215545126, 2.3232740006616646, 2.3360378563231983, 2.3387899419455946, 2.2986046579505985, 2.300713241272413, 2.2828900972390196, 2.3226500241313563, 2.2806536102662074, 2.291600418733334, 2.2444943980142633, 2.2670900479776566, 2.3090590896000647, 2.282824158094845, 2.2772909915711126, 2.2808868536246982, 2.227962507435172, 2.249264223284166, 2.262279125907538, 2.233229887955916, 2.2931565256274813, 2.2600032021152616, 2.210845763231265, 2.2098479502699027, 2.2423963021268283, 2.1782097336876496, 2.1455556667114934, 2.2515065658539966, 2.258768488743537, 2.274490881471019, 2.178718552437967, 2.1733102839766385, 2.1586397747447332, 2.249372152552453, 2.190316133480788, 2.171294912681543, 2.18081099718551, 2.187996281466883, 2.2045103629353644, 2.1432834745486042, 2.1208695511730733, 2.1725282143582736, 2.1731090800365194, 2.157364652521686, 2.1778156706871497, 2.15296178534125, 2.1143429554690525, 2.1952336864820228, 2.1430705085870048, 2.1149303350916724, 2.1333466165907917, 2.1293550985609833, 2.0965960810572284, 2.0783444228828585, 2.174463557095569, 2.0798256612948434, 2.1499999810917316, 2.0820940307290425, 2.0965311115354845, 2.0833025024531553, 2.088110888428821, 2.095550227784789, 2.076077700579132, 2.073255105472965, 2.024752045733293, 2.1295313023970146, 2.104926687806013, 2.038619010579253, 2.0406775421770407, 2.041669724191807, 2.0140347198526714, 2.055522552238736, 2.0540898474967744, 2.054585784071334, 2.0698050507223296, 2.065458427264899, 1.9703942728914585, 2.0413835808218845, 2.0635920512894237, 2.036457707953063, 2.0436930261745947, 2.003786104820002, 2.021621092107, 2.005286927287457, 1.9624055752510974, 2.0025774307039863, 1.9534713542725286, 1.9700367225834219, 1.9708162701049599, 1.9794697076569852, 1.938784361574028, 2.009328520447159, 1.9896526852975795, 2.002052503784077, 1.9297544823115094, 1.9511012534204875, 1.925628569403787, 1.9679756620047297, 1.9681157768633184, 1.9609992112874755, 1.9456829726409177, 1.9746271148108885, 1.9600681829498408, 1.9204148628943465, 1.9303606344715005, 1.954569381056667, 1.9403819192247511, 1.9516989370168, 1.9726197757436406, 1.924903126148448, 1.9315065348572864, 1.8915898703519143, 1.9300593430314417, 1.9010098214557931, 1.9136733809150792, 1.9057455464437447, 1.9037438187034688, 1.9359532445525756, 1.907826725397119, 1.9045434844849543, 1.913533222686797, 1.8222109015109564, 1.895761567314045, 1.9307780497572076, 1.9172568071106515, 1.878143439738078, 1.902482463260243, 1.8634401983200528, 1.895879892917409, 1.8380748350191163, 1.8437283187100701, 1.8258590365511735, 1.7969124490418493, 1.7997318876833728, 1.862900958368707, 1.8640521125683311, 1.820201606332854, 1.8518399299625254, 1.8468262635250294, 1.8427485413454954, 1.8582502407334651, 1.8369621102688287, 1.8207885271316544, 1.7933934228252746, 1.8751569055845465, 1.8098241389084597, 1.8140435675454898, 1.8196095909718943, 1.7953492826401212, 1.8170680905673455, 1.753976458649548, 1.7558154733968079, 1.760038263529281, 1.7626692717527401, 1.7997407707833004, 1.7672771322142056, 1.7641536100651922, 1.7034277049708069, 1.7943026751021678, 1.7785976596241162, 1.7917920829471885, 1.8054732149673036, 1.6616719246369582, 1.7302667851397575, 1.7446076071411514, 1.751446688140781, 1.7395228902460635, 1.7372233203331706, 1.6804747832750793, 1.743660995659631, 1.684485570757979, 1.6270727323040122, 1.6907233256807226, 1.6925717320318285, 1.691957754051605, 1.7113911717757224, 1.7273909998582577, 1.6533108238306495, 1.6787401617892783, 1.6745100284104628, 1.6305790362849157, 1.6328166157609574, 1.6324549564613071, 1.6209555284924182, 1.648343476684651, 1.6756982972004646, 1.6128296564127873, 1.646190355326604, 1.6630658728211287, 1.6226833823555586, 1.599231769536067, 1.6492154903430223, 1.5826098951040495, 1.5907812935440901, 1.583715169101638, 1.625021158673651, 1.5853813487365913, 1.5830878540228146, 1.6194800670842233, 1.5750374765322688, 1.5873287781943946, 1.5450674358529466, 1.622886064192558, 1.571988066649414, 1.539903060075064, 1.5828221915890324, 1.6024078067617995, 1.5443868389258142, 1.6027979399861914, 1.5162429206066113, 1.4877367892783921, 1.5236433442678443, 1.4943089046882136, 1.455839364200515, 1.5506621719668758, 1.563066274300576, 1.5153197398887905, 1.5030647555260388, 1.5243410225437741, 1.5178884773786763, 1.4985048744515574, 1.4424358589128305, 1.5302134373649252, 1.5302151722673962, 1.460860008569264, 1.4743451858737127, 1.5189169655635566, 1.4938625119074362, 1.4335752132423114, 1.3970516200703538, 1.4494583364629883, 1.499861288919715, 1.4904802436433926, 1.488303876818087, 1.543678759725422, 1.4949569086023429, 1.4559794955235243, 1.4525359435306362, 1.4915999119045416, 1.4853706744797994, 1.4484234730479117, 1.4137812954973326, 1.5083857341037563, 1.4616960813726108, 1.4469294202109733, 1.410800250134179, 1.4556772482865583, 1.3990557980835725, 1.4164718484167185, 1.3763635105760885, 1.3687434358248007, 1.3786100111292232, 1.406147757898281, 1.407306353671833, 1.4050349398687325, 1.425712790480018, 1.4078136028522936, 1.4054584491126692, 1.4086965280042691, 1.399059551512541, 1.382767604565368, 1.3962230479292737, 1.399603920446438, 1.3904434786724058, 1.394095838127283, 1.3694079641657912, 1.382590404488469, 1.335169623859578, 1.3706656832093798, 1.391357798261982, 1.3633095187792075, 1.3556444432668897, 1.413634366204351, 1.3519516745017512, 1.3976646947447673, 1.3470092733050907, 1.3291180922046548, 1.3260237482215946, 1.3493646795182874, 1.3519446988078239, 1.3652150608004, 1.3206475793569563, 1.341029934377138, 1.3004269378476698, 1.3190407756432763, 1.2982756022769057, 1.3725500985105181, 1.3483293913555787, 1.287471378274097, 1.357508994961611, 1.2772173294089413, 1.2714988113711727, 1.348655945756782, 1.3045403533996127, 1.2724517548279308, 1.2867564079965732, 1.3243545769956733, 1.3082591689355794, 1.2704313722680232, 1.3042336267502521, 1.30061897965322, 1.322764092047015, 1.3199838749827733, 1.3357182479570184, 1.323384893181464, 1.2749134780009053, 1.3556373021829806, 1.2748621281691763, 1.3159190690551845, 1.3012948512342597, 1.230962732758398, 1.2806778992450043, 1.2374384544352366, 1.3305503228630895, 1.3276224301570418, 1.31141519007256, 1.2764795716848365, 1.1850173191110944, 1.2780933849391625, 1.261376802340738, 1.244575443694635, 1.2733322570138075, 1.2456042119467683, 1.2403677512637918, 1.264963182322215, 1.2390225657599838, 1.3057351387728855, 1.2780569737868543, 1.2536388061962183, 1.2291186310214648, 1.302429162561033, 1.1973038014594584, 1.2346513339025225, 1.2526669364576735, 1.2663437535374984, 1.2407827799542805, 1.2206809310757047, 1.226281516935185, 1.2428711763474665, 1.2854067330410897, 1.233559932240623, 1.2589349238429652, 1.2264341073499723, 1.2232093603939134, 1.2084944960127895, 1.259084312415559, 1.265643517826473, 1.2428384764591471, 1.2559098600767575, 1.2377970831341418, 1.1709915865947698, 1.196822185488821, 1.2258309886590923, 1.2443972010240747, 1.2755278992584052, 1.126131202419637, 1.223037844672584, 1.2262995423205894, 1.226039654825374, 1.2116381780130572, 1.192817651273197, 1.2153932301325794, 1.150006853122913, 1.1831190243033518, 1.2582872183536313, 1.2060699429043906, 1.1779246056045445, 1.237551937720544, 1.1935710935666082, 1.2402189314881693, 1.245467885855417, 1.2039365242947973, 1.1026088101170863, 1.1979602426147093, 1.2270379614898859, 1.2172986141641744, 1.1426378918795543, 1.1690876001458081, 1.176075822981191, 1.1435239243897484, 1.1608555316351377, 1.2013106867025631, 1.1955656467204603, 1.1464009041162038, 1.2339079555579398, 1.1491641850857004, 1.1896904342098804, 1.18296395091625, 1.1438678315445365, 1.1936764451491362, 1.1898671532044396, 1.1747197598878643, 1.1741930967460352, 1.1869791524701674, 1.1938713434456172, 1.1266879867887818, 1.1288401750673802, 1.1941489473458549, 1.1389950367553057, 1.2077279558998673, 1.1036031779701372, 1.2193674357380284, 1.2310429752962995, 1.1548026102569036, 1.0954248583924897, 1.168979918474871, 1.1352253274577988, 1.2095255095644337, 1.1758983062366892, 1.1152623822415988, 1.1628201669861882, 1.1615132116376494, 1.199962728980416, 1.1115390459314003, 1.0990593670880828, 1.096055884907404, 1.1809190392379467, 1.1661428286549675, 1.0834956332625278, 1.1859384334580731, 1.1886184319380502, 1.194792196025518, 1.1867319792939335, 1.1357874757860347, 1.1518590171481693, 1.1452556572015522, 1.1845190696009544, 1.1151472659381796, 1.1064428350349478, 1.208551682338219, 1.128059612086923, 1.1563940382095572, 1.1787112094784609, 1.1541639762617741, 1.2307908831592702, 1.1732045044912756, 1.1363758449375458, 1.2511766216178946, 1.1391822637791125, 1.131788703888167, 1.1360424413947214, 1.1553431325973056, 1.1361422010977986, 1.166391098005939, 1.1063872413984048, 1.1170797763361853, 1.079147495078398, 1.1272692752641709, 1.1093551223385896, 1.1547363752120956, 1.08149467212174, 1.1723712375235167, 1.1536284418950526, 1.1353638861704836, 1.0990248266840579, 1.096783265342382, 1.1117151328528352, 1.1344273285411435, 1.1706537939930788]"
