,params,data
batch_size,128,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(66, 33)]",
module__conv_type,regular,
module__dropout,0.4,
module__fc_hidden_layers,"[1024, 128]",
module__preprocess,,
module__temporal_attention,,
