,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(132, None), (110, 22)]",
module__conv_type,regular,
module__dropout,0.31357028174764623,
module__fc_hidden_layers,"[1936, 128]",
module__preprocess,LSC,
train_loss,,"[2.773477921119103, 2.6316876558157114, 2.5398699760437013, 2.3278008681077225, 2.164615645775428, 2.0921633720397947, 1.8735923033494215, 1.7943693234370306, 1.7846441177221446, 1.6481183950717633, 1.5753257513046264, 1.5106195376469538, 1.4486387656285213, 1.42420894916241, 1.2910934099784264, 1.3703345133708074, 1.3616032737952013, 1.252981134561392, 1.2171488431783823, 1.2365433014356173, 1.226622931773846, 1.1831364961770865, 1.2279855324671818, 1.14382229584914, 1.1515448276813214, 1.1691301584243774, 1.1492439746856689, 1.068746856542734, 1.1300256252288818, 1.1210990483944232, 1.04401040994204, 1.057902695582463, 1.0664758902329665, 1.0178898206123939, 1.0907329394267156, 1.0339162001243005, 1.0342259260324331, 0.9533813118934631, 0.9795345911612877, 1.0364908686051002, 0.9855276584625244, 0.9693638627345745, 0.998671857210306, 0.938566253735469, 0.9550709298023811, 0.9145409327286941, 0.9155270007940439, 0.9045681788371159, 0.9091599959593553, 0.9053163464252766, 0.9411063781151405, 0.8760883569717407, 0.9040023207664489, 0.9136334006602947, 0.861023055590116, 0.9369799210475042, 0.8911307646678044, 0.8544810203405527, 0.8254647768460788, 0.9078256983023424, 0.8491552013617295, 0.8736603241700392, 0.8499578916109525, 0.8088648273394659, 0.8612445207742544, 0.7559113942659819, 0.805838210766132, 0.7937536230454079, 0.823504271874061, 0.8143675143902118, 0.821190934914809, 0.7728571286568275, 0.7999250797125009, 0.7504911010081952, 0.7666006831022409, 0.7492597598295946, 0.7946072262067061, 0.7952331277040335, 0.7533703207969665, 0.7339542063382956, 0.7164111439998333, 0.7138452126429631, 0.7188102538769062, 0.6940646208249606, 0.7083152995659755, 0.7893431250865642, 0.7215742688912612, 0.7459072278096126, 0.700358013006357, 0.7389046531457167, 0.6950949260821709, 0.735647935133714, 0.7290317993897658, 0.7027589293626638, 0.6303823269330538, 0.7236691993016463, 0.6881856895410098, 0.6836935336773212, 0.6636954468030196, 0.6370686255968534, 0.6779899775981904, 0.660860041471628, 0.6505087384810815, 0.6321154649441059, 0.6332273730864891, 0.6704431442114023, 0.6359747574879573, 0.6672663294352018, 0.6690782918379857, 0.6948405987941302, 0.6979860544204712, 0.7221187829971314, 0.6452669583834134, 0.6771380030191861, 0.6406165540218354, 0.6168247360449571, 0.6205920100212097, 0.6676820482199008, 0.6855930777696463, 0.6025051492911119, 0.5938674908417921, 0.6324020362817324, 0.5893084989144252, 0.5769577296880576, 0.6082898868964268, 0.622868210535783, 0.669946079987746, 0.6355725357165704, 0.6170265197753906, 0.597843690101917, 0.6439843682142404, 0.6588314441534189, 0.6030999843890851, 0.5953945639041754, 0.6524637955885667, 0.5995473962563734, 0.5700867359454815, 0.5918457966584426, 0.624030483686007, 0.5573588307087238, 0.5817735355633956, 0.5566724749711843, 0.5877475830224844, 0.5971417170304518, 0.5487824926009545]"
valid_acc,,"[0.09363295880149813, 0.18726591760299627, 0.33707865168539325, 0.41198501872659177, 0.5168539325842697, 0.5093632958801498, 0.5243445692883895, 0.7116104868913857, 0.6966292134831461, 0.7340823970037453, 0.7528089887640449, 0.7640449438202247, 0.797752808988764, 0.797752808988764, 0.8089887640449438, 0.8089887640449438, 0.8089887640449438, 0.8277153558052435, 0.8389513108614233, 0.8314606741573034, 0.846441947565543, 0.846441947565543, 0.846441947565543, 0.850187265917603, 0.8426966292134831, 0.850187265917603, 0.850187265917603, 0.850187265917603, 0.846441947565543, 0.8576779026217228, 0.8689138576779026, 0.8726591760299626, 0.8576779026217228, 0.8689138576779026, 0.8801498127340824, 0.8876404494382022, 0.8801498127340824, 0.8726591760299626, 0.8576779026217228, 0.850187265917603, 0.8651685393258427, 0.8539325842696629, 0.8651685393258427, 0.8689138576779026, 0.8764044943820225, 0.8838951310861424, 0.8689138576779026, 0.8651685393258427, 0.8838951310861424, 0.8764044943820225, 0.8764044943820225, 0.8726591760299626, 0.8689138576779026, 0.8726591760299626, 0.8876404494382022, 0.8801498127340824, 0.8801498127340824, 0.8913857677902621, 0.8913857677902621, 0.8801498127340824, 0.8726591760299626, 0.9026217228464419, 0.898876404494382, 0.8764044943820225, 0.8838951310861424, 0.8838951310861424, 0.8838951310861424, 0.8801498127340824, 0.8838951310861424, 0.8801498127340824, 0.898876404494382, 0.8726591760299626, 0.8876404494382022, 0.8951310861423221, 0.8764044943820225, 0.8876404494382022, 0.8838951310861424, 0.8913857677902621, 0.8838951310861424, 0.8764044943820225, 0.8838951310861424, 0.9026217228464419, 0.8951310861423221, 0.9138576779026217, 0.8838951310861424, 0.9101123595505618, 0.9063670411985019, 0.8876404494382022, 0.9063670411985019, 0.9026217228464419, 0.8951310861423221, 0.8951310861423221, 0.9063670411985019, 0.898876404494382, 0.9063670411985019, 0.8876404494382022, 0.9101123595505618, 0.8913857677902621, 0.8951310861423221, 0.898876404494382, 0.8913857677902621, 0.898876404494382, 0.9026217228464419, 0.8913857677902621, 0.8913857677902621, 0.9026217228464419, 0.898876404494382, 0.9063670411985019, 0.8951310861423221, 0.8951310861423221, 0.9026217228464419, 0.8876404494382022, 0.8913857677902621, 0.898876404494382, 0.8801498127340824, 0.9101123595505618, 0.9063670411985019, 0.8951310861423221, 0.898876404494382, 0.898876404494382, 0.898876404494382, 0.8951310861423221, 0.9026217228464419, 0.9026217228464419, 0.898876404494382, 0.9026217228464419, 0.8951310861423221, 0.9101123595505618, 0.9138576779026217, 0.9101123595505618, 0.9063670411985019, 0.9026217228464419, 0.8951310861423221, 0.898876404494382, 0.8876404494382022, 0.9138576779026217, 0.9026217228464419, 0.8876404494382022, 0.9063670411985019, 0.9026217228464419, 0.8951310861423221, 0.8913857677902621, 0.898876404494382, 0.9063670411985019, 0.9063670411985019]"
