,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(88, None), (33, 11)]",
module__conv_type,regular,
module__dropout,0.38593453692324553,
module__fc_hidden_layers,"[1936, 256]",
module__preprocess,LSC,
train_loss,,"[2.732631290119737, 2.6609930427088213, 2.5704248314418314, 2.466777437224783, 2.4290797733387737, 2.2692996235941187, 2.22511969894343, 2.1265929907502925, 2.030119969206279, 2.0177411603560107, 1.9555903179337752, 1.9364759228362742, 1.8680872671406623, 1.8211853791293842, 1.8411853515573549, 1.7950969672616506, 1.7552177233043664, 1.7425099822597467, 1.6959346983014734, 1.7236431529296845, 1.6626442911997006, 1.623263981645507, 1.5848563296257416, 1.5681635288374502, 1.589970362898472, 1.5626341288259724, 1.5640654676452077, 1.4909331557378604, 1.5415904512754526, 1.5034271570529092, 1.4081664227796198, 1.5475291207805995, 1.4528509631092608, 1.3514526781548883, 1.445910523737097, 1.3492491371599467, 1.4272892573895022, 1.3873284322448318, 1.4048231029326745, 1.4043581326113501, 1.3241304608209055, 1.3301717516085085, 1.3243739726685835, 1.3767483234405518, 1.326660133051275, 1.2663856763141463, 1.3169676722359336, 1.3165202895340893, 1.251809536721665, 1.2205775721224745, 1.2761634751321722, 1.2383191041174653, 1.221936594601541, 1.2317866840344174, 1.2056950955491994, 1.1651541274866386, 1.185230155441343, 1.2200111622755239, 1.2162813430576656, 1.2061251110194506, 1.1652101953594671, 1.1741808194645567, 1.1116907176254802, 1.1706735932758088, 1.1831263209583671, 1.1273480726115277, 1.1902816146325055, 1.1509940177489337, 1.0754271676774658, 1.1169661648700693, 1.1061146227151213, 1.193739079556254, 1.157195170490728, 1.1336788230778394, 1.0812991200614297, 1.0875970000017126, 1.1391213903767066, 1.110525880934875, 1.0872304909261434, 1.093927071733052, 1.1200529699840067, 1.0602052884754187, 1.059844346031518, 1.0487847248942865, 1.0169583804804925, 1.0935024364146193, 1.054675346050189, 1.0472418685409606, 1.074740235171566, 1.0283303122989016, 1.0283954690187194, 1.0938722194963797, 1.001953001139481, 1.0267468348633577, 0.9952137036130607, 1.014318679109474, 0.9228629716788643, 0.9948528105812955, 1.0242285347168616, 0.9900484926898125, 0.9433103572426503, 0.9690833962262251, 1.0136305534196497, 1.0204114051453181, 0.9649615702946062, 1.0123864285978048, 0.9909791604172518, 0.9877123234359285, 0.9187315478490267, 0.982523182223987, 0.9176082925185532, 0.9364093953244719, 0.9641277631583242, 0.9297652581064227, 0.9640853398108069, 1.006945357157316, 1.0144365251868217, 0.9743130103701112, 0.9756631611169878, 0.9302841072367336, 0.9247214183182615, 0.9668516496013355, 0.9169155484449427, 0.9641961593159362, 0.9285502885405498, 0.917954490134252, 0.9064020810788767, 0.901870546945028, 0.9390506891386587, 0.9014627414976242, 0.8673921936049857, 0.9080218797933619, 0.8766125309674037, 0.893286273543775, 0.8879536636647462, 0.8772267684311765, 0.9410152337684338, 0.939821131886315, 0.8663831920522715, 0.8779134440284244, 0.9059587168096348, 0.8944117601436916, 0.8226699974954932, 0.8589014352401557, 0.8685575549083409, 0.882558960101508, 0.8677475916397595, 0.8539930495912629, 0.8239320137597232, 0.877797588849573, 0.9015189610235034, 0.8309389001946459, 0.9169062051010499, 0.84982536167538, 0.8168999337966272, 0.8287695769170346, 0.852052179489981, 0.8438019557265647, 0.8478136448501852, 0.8477759280875469, 0.9158408203106625, 0.8403675747974301, 0.8693934656062338, 0.8714726104442324, 0.8427147840029472, 0.8602979075242558, 0.8338768528146321, 0.8922393665378034, 0.8560769399466542, 0.8122403963337974, 0.7661555005176449, 0.8468206076952763, 0.8057089171198292, 0.8118803984053102, 0.7733287026886766, 0.7750459830195917, 0.7931575771701129, 0.8050764410941358, 0.780926669034425, 0.7696465107976587, 0.755141649861786, 0.814187097871005, 0.8010411562258108, 0.8117306644746564, 0.7629062647649548, 0.8305078951035391, 0.8018069440689161, 0.7859518358013763, 0.848072780924266, 0.7693936036099358, 0.8050266345801381, 0.8020709376344332, 0.7920364928153668, 0.8102380061425225, 0.8679168016464953, 0.8250759878484729, 0.7498235566423118, 0.7888504051978418, 0.7892138945344326, 0.7691966763810615, 0.7815039844641566, 0.825171207187263, 0.7783830083174512, 0.7985416898263442, 0.7715372439753803, 0.8101534133701656, 0.7753089111664392, 0.7556173993213559, 0.7400080531778134, 0.753540630629986, 0.7678384640772679, 0.774506000999311, 0.7943477307900298, 0.7711837266451591, 0.7507349705190787, 0.764975426743715, 0.7689340200727386, 0.7862543368959702, 0.7692994583319148, 0.7304741487567366, 0.805184825307372, 0.7361468517711397, 0.7222160464421862, 0.778543677403518, 0.7412743230775601, 0.7461842708504958, 0.7329724601008759, 0.7116457731507877, 0.7587333254961149, 0.7536088652004397, 0.7577932077336174, 0.7519324773308859, 0.7917172135874945, 0.7158292575608329, 0.7483648887489113, 0.793875176208327, 0.7703733258164687, 0.7392795425274469, 0.7310582314957084, 0.7327154925333512, 0.7291524417138513, 0.7850396114048012]"
