,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(102, None), (108, 3), (87, 3), (69, 3)]",
module__conv_type,regular,
module__dropout,0.30133467586799784,
module__fc_hidden_layers,"[1936, 128]",
module__preprocess,LSC,
train_loss,,"[2.704034663349218, 2.654245051804765, 2.644607936715804, 2.6380883838859366, 2.645097851064164, 2.621914169921581, 2.595072714120207, 2.5158537518312016, 2.39887887434693, 2.2653084899189384, 2.1665091211396144, 2.0454105568299634, 2.019749833898967, 1.9275498541793383, 1.8982653144696775, 1.7744541742438755, 1.796762095251065, 1.7815077063665226, 1.7159267340092301, 1.6755853905154101, 1.6141812649765455, 1.6910257750623259, 1.6264430881695022, 1.5195750433355857, 1.510445826774847, 1.5774902619837796, 1.5192068530415295, 1.442652618035186, 1.4497041640254114, 1.4031434782667656, 1.3912656647162172, 1.330103169746252, 1.3825884641709814, 1.2889071523798683, 1.29553626980166, 1.2450568837926568, 1.289967110391297, 1.2645385157395879, 1.2547605093963343, 1.2736837039333777, 1.2430169298699365, 1.210113312927055, 1.1340059657547057, 1.0961404989450194, 1.201931862013418, 1.2055630818267777, 1.2056240399219167, 1.1670874552460304, 1.1008991208609358, 1.1327114345251021, 1.0766399743929074, 1.0859520472227264, 1.0626045031354607, 1.0854931859611776, 1.013154610503386, 1.0073216266944458, 0.9977613169563528, 1.0466285939391178, 0.9985427030708519, 0.9694676705867569, 0.9944543194219556, 1.0120068533572157, 0.9647667745634311, 0.9730473697070671, 0.9222140377082347, 0.9870949579341793, 1.0023839046500322, 0.8949664010018512, 0.9467954350229862, 0.8715872252377931, 0.8497246457891887, 0.8745668141139036, 0.9090677098961465, 0.8622659821501127, 0.9020742200932291, 0.8529518619897508, 0.885071074342452, 0.8378573822607654, 0.8341304117774229, 0.8525309573019171, 0.870053882716019, 0.8416756032059877, 0.8547024049281156, 0.8411788390321309, 0.8143899688830954, 0.8153691503124201, 0.8597334383310381, 0.8603607416152954, 0.8570008393886691, 0.8118237307535661, 0.7853551563270289, 0.7526951390883826, 0.810377806367672, 0.7990639058151686, 0.8323490728762338, 0.7826286905188551, 0.7760885276316678, 0.7863461486062103, 0.7864126595228853, 0.7653374531250698, 0.7952191509263364, 0.7547542722698352, 0.765735013981086, 0.720865926071858, 0.7012400836154445, 0.7552835999885735, 0.7228742920594409, 0.7478003948639813, 0.7599108301835253, 0.724219671563606, 0.7798546251763728, 0.7387834354976698, 0.6725353808187107, 0.7200862450062195, 0.7404664096230487, 0.6536981647184589, 0.6780950241006178, 0.7259081900694008, 0.6879274773919284, 0.7029929411434255, 0.6782578005956087, 0.7017672634997579, 0.7559404684399365, 0.722763902419794, 0.6836924016590523, 0.6979761472786552, 0.7855578531764146, 0.6810512022475976, 0.6536802821765745, 0.6707720078944241, 0.6313770091832258, 0.6776019350297189, 0.6919545448010138, 0.678027095477705, 0.6233788048830565, 0.6231800154397024, 0.6478169519088172, 0.6757832286100627, 0.6884758877271862, 0.6400896541645072, 0.6216849154130571, 0.6745122389756646, 0.6496453555103442, 0.651853276958585, 0.6303225646014388, 0.617281237376678, 0.6311077896455349, 0.6512723145342516, 0.5844371929793459, 0.6467998703665356, 0.6591787708058293, 0.6228828524923049, 0.6236666687306641, 0.6487520505927201, 0.566499743100995, 0.6505880846223849, 0.6656079419775506, 0.5946107999150694, 0.5787295360326308, 0.5804147087540011, 0.5992357029161471, 0.6192717636022035, 0.5910828256538149, 0.6001583630639005, 0.5916837543134285, 0.6038374457515503, 0.5982043870611687, 0.6022673755711903, 0.5603818700492726, 0.5911140513098538, 0.5549638248936979, 0.5769535842888158, 0.5706982985856676, 0.5801821019723007, 0.632887657667171, 0.5439500654823288, 0.5891452245055366, 0.6481929838312843, 0.5722246446246586, 0.5736802878407384, 0.5238438360608382, 0.5353622314787554, 0.5490988784672438, 0.584899200237785, 0.5290069143666468, 0.5488972422704531, 0.5535263382400851, 0.559400067967946, 0.5580382046786806, 0.5087340275446574, 0.5437607527468246, 0.5461454492543244, 0.5190877625593101, 0.5619256746791921, 0.56211513091374, 0.5454712077142646, 0.5371564071417314, 0.5688600849094648, 0.5374154170583898, 0.5401829475382619, 0.5454857665219978, 0.5375803244481426, 0.5644760022733023, 0.5420250636534425, 0.5722683886342426, 0.5570390254316532, 0.5570128136287534, 0.5284292664601394, 0.6089264461070816, 0.5200199669725862]"
