,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(23, None), (62, 1), (80, 1)]",
module__conv_type,temporal,
module__dropout,0.5408205844803851,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,LSC,
train_loss,,"[3.071544622481728, 2.7977327782871857, 2.771997781583143, 2.736057908115882, 2.712364775761175, 2.6948113656753994, 2.7007771161287364, 2.678916269947312, 2.67292698453414, 2.67389359666566, 2.677270663231182, 2.6827135315087984, 2.6632396428202574, 2.6585476971039053, 2.66433200323158, 2.668723277697531, 2.6608749317733515, 2.6569679090314824, 2.6567671349366964, 2.663312258340211, 2.663970955510648, 2.6625583057330275, 2.6559579086120486, 2.6537862753891006, 2.6571594718324807, 2.669627357514058, 2.649632707223883, 2.643294779184801, 2.655346289148248, 2.6447701447291747, 2.642498564422417, 2.6217224552125225, 2.646291418561102, 2.648327562925795, 2.6464148731213366, 2.643048338885495, 2.638199405871711, 2.635687715840042, 2.630886596859246, 2.5923239438151304, 2.6242943712430544, 2.606212498246192, 2.576262539562185, 2.566253747307945, 2.581962599878009, 2.5864455867111396, 2.5101231033130977, 2.562818074890562, 2.5126507623509418, 2.482168018989673, 2.4934565365944312, 2.4726075768814306, 2.4869469483235385, 2.4433255919347463, 2.3995170973448885, 2.3880172414807146, 2.400486924577286, 2.330852563282713, 2.3284916630395895, 2.317975239840754, 2.3291433812561912, 2.2887719064578773, 2.2438190539906966, 2.2911733119792372, 2.2852536619682935, 2.2417543608906403, 2.2904332542969104, 2.263583711428097, 2.2371228350457035, 2.2224974162754934, 2.233020063321483, 2.277492818869042, 2.179687948437635, 2.1818147714497607, 2.2377973376960276, 2.2033069300949286, 2.2004980459222416, 2.1526125189664844, 2.1802662488477487, 2.1685809013822923, 2.151138151298911, 2.198678559459939, 2.1902388337709717, 2.148386142668417, 2.1361936107492583, 2.1581549994883686, 2.099093020706653, 2.0598183147730906, 2.1416827441406983, 2.1105024247760387, 2.091894129053202, 2.1130315984932992, 2.0737163782348778, 2.026752806305313, 2.056287491470432, 2.065315205471431, 2.0584039745367457, 2.0584934472350636, 2.0575023108554733, 2.0216840062429995, 2.0664136178440824, 2.06686017286537, 2.0338115019940277, 2.0298782777144977, 2.046831364017857, 2.0061835414738063, 1.9920617976403947, 1.9733129376751317, 1.9846744601481472, 1.9605800745924657, 1.969863511414395, 1.952410471885967, 1.8708119772582188, 1.9443437123275742, 1.97444362851087, 2.0027169501060023, 1.8922270073785332, 1.8861294761514802, 1.9733708291873693, 1.9203894748696906, 1.933399471380067, 1.9410050592092685, 1.8631724642516327, 1.8768466927476164, 1.8972640969682266, 1.8602594139482056, 1.8763048441563515, 1.8562204813751089, 1.8813409588866, 1.9354311612566197, 1.9542898606154693, 1.8888544521001986, 1.8765025159467539, 1.8789176551569664, 1.8881574760367388, 1.846452884211435, 1.9171767051579516, 1.8446075978127956, 1.8968386204625183, 1.856548739097991, 1.8707855255070154, 1.8526549126298009, 1.8181042506303156, 1.8209829599552723, 1.8287373688447717, 1.7897191245778035, 1.7527300611811114, 1.8144160801120726, 1.8124500043568532, 1.8470607701685426, 1.8057740405702911, 1.796419135431735, 1.790865244828773, 1.7295385526992402, 1.7535966130887854, 1.757065046303096, 1.6750458292269454, 1.7188420491534626, 1.7255648999805067, 1.7619396795113422, 1.802559954517742, 1.79639129897474, 1.7485214342415962, 1.6993032747684593, 1.6882737319590837, 1.755877335637264, 1.7682008743286133, 1.7556973614449918, 1.7459752087863332, 1.6967008338308929, 1.706600645891642, 1.6970857727653583, 1.7062115002777802, 1.7259778103842172, 1.6914044823586998, 1.6777490709517349, 1.6832489220713562, 1.7606601685314196, 1.693508336053916, 1.6975902005185541, 1.5912561704056636, 1.6254430820344161, 1.680773947584755, 1.6390578113532088, 1.682951620974069, 1.5841106857735874, 1.6052999024661427, 1.707114954961251, 1.6155703616302592, 1.683048079840617, 1.6634116985841398, 1.705384032527033, 1.6448960557336652, 1.6532466788342317, 1.6354287284480964, 1.6223883047113044, 1.5716677789614821, 1.6435887772343, 1.5207115819429, 1.6248461332147106, 1.5921792430905168, 1.616814842828756, 1.5942917970598718, 1.568335658764175, 1.5968771324377582, 1.6041069547220792, 1.55798390607898, 1.4974408382183078, 1.5982703908376117, 1.5523362427692249, 1.591798670811795, 1.6250167520543226, 1.5658229881473509, 1.5828086819131137, 1.5917629560063826, 1.5784858656433427, 1.5021466859593973, 1.5185002306123747, 1.4713396553118336, 1.5658659282266578, 1.5282362897618245, 1.5157527249095304, 1.5772697544235317, 1.5984103914411107, 1.53125304069574, 1.5746018292237427, 1.5151476617276267, 1.5101515202426086, 1.4700327261953143, 1.5795402065363213, 1.5043196750305572, 1.5822227747822815, 1.544778028551371, 1.5333919380858583, 1.5613555502822831, 1.4815453158102851, 1.4741874756890918, 1.52579214020948, 1.516189684327352, 1.4821116463938777, 1.4472879096937226, 1.4963077163604677, 1.5347035231210084, 1.480719339149028, 1.5099359757618533, 1.461872363411155, 1.5006016334814023, 1.4528456476304992, 1.4819715236037196, 1.4043998178899804, 1.5191581283591322, 1.486179725924555, 1.4660149802392086, 1.452532657743302, 1.5350310130261322, 1.458775433408424, 1.4821126336208568, 1.4369046644564436, 1.4650788474380683, 1.4502444220894695, 1.4505997922532725, 1.457084403143378, 1.404722197598614, 1.4197182823670358, 1.391984607025938, 1.4312546328783722, 1.4302368243077304, 1.4421644820031012, 1.3400573686953352, 1.432344037448982, 1.417667076635773, 1.3907903611488233, 1.4539845253159287, 1.3886847398695639, 1.4543519914436525, 1.4277179238890136, 1.4172780269848166, 1.4027518240106895, 1.4148098956954582, 1.3855909532818167, 1.3704984895777634, 1.4417606725014824, 1.4491362955338902, 1.3935656901395286, 1.4294235807101847, 1.3808703880603215, 1.4067138313216503, 1.386173751237413, 1.4054503813028107, 1.348323051455385, 1.4606106998139454, 1.3948215734031084, 1.4182087528831562, 1.3492891654501045, 1.3989588933765145, 1.3502379711949974, 1.3801068286272795, 1.3337594876486332, 1.3713260988680704, 1.3672505334291631, 1.35223991829655, 1.3726205533794436, 1.365055517435761, 1.3456038503436145, 1.3915935512005881, 1.3019759958461428, 1.4029591108719737, 1.3832616160170146, 1.3505181831081365, 1.3375192456927927, 1.2643494366683374, 1.4122646600437438, 1.3820846294921596, 1.3517693235368022, 1.3607968853484198, 1.3702593600944644, 1.2858029097232764, 1.364670634040686, 1.3739502504396393, 1.3789102881144837, 1.3625476400401018, 1.3404741247151473, 1.3603672022778295, 1.3570672258749017, 1.359725171047031, 1.344815968322021, 1.3805892154874995, 1.3531857512526277, 1.3683630587617213, 1.3066437853630866, 1.369751157953004, 1.3310378612404712, 1.3265160204239699, 1.3363198044206177, 1.278743621938854, 1.346782756241094, 1.3534128621263533, 1.3575998673521477, 1.3471214727755354, 1.2357831034490858, 1.3192529716134416, 1.3315692841147826, 1.3104596421995722, 1.3265880191704038, 1.3655401632032294, 1.3103114768476238, 1.3127442203268882, 1.3368051907514633, 1.3356344271576486, 1.3400916394765965, 1.280704427120436, 1.3376254524667026, 1.313056595043765, 1.297908986278959, 1.3140190684028135, 1.2811582778991129, 1.3232512522156026, 1.3030026305992939, 1.2777962914804903, 1.2731824028846968, 1.3102675107210215, 1.293408585556646, 1.3052576702449552, 1.3324463179658859, 1.332893717643965, 1.3182111247930244, 1.2670695682080404, 1.29154832905926, 1.2866302142340214, 1.3469321638431604, 1.3025893207700292, 1.2975248720185557, 1.294065178872071, 1.2938888787536182, 1.2534834998485334, 1.3241850246499067, 1.301690611440785, 1.3500246256160462, 1.3372581658972558, 1.295303129783396, 1.3208648872192266, 1.2920514027964713, 1.2678842154634788, 1.2788452286770662, 1.2654479949320885, 1.2988995288451284, 1.3558964682358257, 1.3180335027225651, 1.2721319183721551, 1.2846391289195227, 1.3635631035315543, 1.3033576591099603, 1.2361655166582004, 1.2841167422467763, 1.250665985656174, 1.2832928905111454, 1.2536529806459558, 1.2541878122646688, 1.2743688343123216, 1.2405739153496471, 1.2584823195345693, 1.3174093989199107, 1.3312565232559996, 1.2253514118313675, 1.2409896346723426, 1.2836811126824414, 1.291587917651269, 1.2472362259508438, 1.2376797743191752, 1.2817582746289535, 1.205844613935487, 1.3282923172805083, 1.3376588214485836, 1.2453266426877947, 1.2557584140074012, 1.213205042650331, 1.2863248890117311, 1.2120892120369573, 1.2478174948554905, 1.2279754159086376, 1.2866753383282854, 1.242143596512669, 1.230452510396754, 1.2724578887882654, 1.2348389415988317, 1.2784410009695635, 1.272633704855165, 1.2678248582266478, 1.2631234026779703, 1.2896994052313475, 1.2510081498698473, 1.2281174412378317, 1.2382856104719764, 1.1755048145363813, 1.2445520007988218, 1.3048016558921074, 1.3037610443364418, 1.2905111477766669, 1.2466581360750995, 1.2048037791343749, 1.2151279688797583, 1.2239182668735382, 1.2465904322985155, 1.2393754814589517, 1.2141380944467302, 1.2386875091895362, 1.2697107361327216, 1.311854222093375, 1.2347822420649752, 1.2162898569354406, 1.2373177401728634, 1.3149851348741368, 1.3361858305853223, 1.1647039082735118, 1.224301915805461, 1.2579410657873529, 1.2631727828072539, 1.2172565393214267, 1.2538983313425818, 1.2363195510922889, 1.2217998068339544, 1.2373686041772423, 1.295351417447144, 1.2251903275591496, 1.22908602347177, 1.2866154066309348, 1.2898371234521857, 1.2518229056274972, 1.264686067784554, 1.2811523440019312, 1.2086891506178579, 1.2285764901026526, 1.1996259179742834, 1.3072419395593355, 1.2231003608300524, 1.267446696586499, 1.2692268876131627, 1.225183907491902, 1.2417416138561956, 1.2112682663283592, 1.2512783043437228]"
