,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(132, 22), (22, 22), (88, 22)]",
module__conv_type,temporal,
module__dropout,0.5876473982414139,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,,
train_loss,,"[3.437250684613328, 3.2214362880607657, 2.950003840351931, 2.8487649220933813, 2.7932427328750418, 2.7532826589780774, 2.720602025655282, 2.696892229149959, 2.666013843400531, 2.678050371863959, 2.681897399056061, 2.6688728603293277, 2.6601753230273895, 2.6644331445134064, 2.661860609192247, 2.659915456643348, 2.6559313892515033, 2.6653897608554167, 2.6554302313330083, 2.670205261526025, 2.65321422265744, 2.6489782418277654, 2.621340214230902, 2.6450393720815915, 2.6402725367963717, 2.6451451498459346, 2.618006208289461, 2.6198920512910755, 2.620370436907962, 2.618828237228834, 2.6219494039904507, 2.611932719178333, 2.5931142025893417, 2.6096463237850567, 2.579085891813585, 2.5547786711269667, 2.572240739974755, 2.5697474119408525, 2.5680578929857063, 2.5835130233048704, 2.5494711518402395, 2.5577208803064897, 2.5620687108870537, 2.5592049666616754, 2.5522677345386025, 2.5531490060202313, 2.538891412066771, 2.5237637015921894, 2.5327146725659193, 2.5275654528895974, 2.519034636950011, 2.5285725113976105, 2.500129225164566, 2.5377252352019704, 2.510155113071519, 2.4794121454035123, 2.4644354312206485, 2.438217099752417, 2.422960864682973, 2.4325122296293844, 2.475391298446435, 2.419949394562017, 2.3954508578811735, 2.4430639847066105, 2.381392289171779, 2.3943389914607174, 2.385574750881911, 2.3602863799160323, 2.414309474800044, 2.37420551425798, 2.382059903874549, 2.397178948900812, 2.3515128763509097, 2.372281394174629, 2.3568382811615165, 2.3333362661036765, 2.3556210611506767, 2.3459230158854494, 2.321724150476832, 2.3238916704583557, 2.3022992975787546, 2.3213790036716406, 2.354466844683547, 2.260444096353217, 2.2854871481398877, 2.368022001053532, 2.3054588566156853, 2.2754490191943377, 2.3416444199720865, 2.2625756894773423, 2.2765221724266955, 2.298657551077952, 2.2710572005006644, 2.2578922761415954, 2.2622441318427517, 2.2351828086135246, 2.2685117788103706, 2.2626447782020827, 2.258221618709252, 2.2389271394694736, 2.2816196848728887, 2.169790973103425, 2.2652930155525537, 2.2476057421139966, 2.2550276571793324, 2.231256191379411, 2.226924972194565, 2.2701055751154353, 2.196399087740666, 2.190491980606828, 2.2099305213472955, 2.2687523834285424, 2.2244586749531194, 2.216509214379216, 2.1741046702437266, 2.201127038080034, 2.2203186531268826, 2.22557859976092, 2.239273644273848, 2.1907166932154665, 2.159394770430417, 2.214308458641243, 2.1759709475474134, 2.148666945183013, 2.176532714612445, 2.1175983241249208, 2.1801655429045206, 2.180800614159651, 2.120598253891718, 2.161541812458901, 2.1740957212861165, 2.158962814135547, 2.1289571382542776, 2.12568016277126, 2.118210734715246, 2.120057543615978, 2.1555649404690973, 2.1251266874638284, 2.1485625846209264, 2.14832450898366, 2.130216929979113, 2.1022224660328193, 2.112700135462323, 2.1875293323693077, 2.1786638214911718, 2.124382860965747, 2.106195362630776, 2.093764110524799, 2.1191069513014353, 2.0503597110366454, 2.161554532285145, 2.134666559670956, 2.0867344704353545, 2.047096801790856, 2.121973541175321, 2.1159057632103004, 2.0314324456298434, 2.0995476408803313, 2.1020985778647048, 2.0777018765512856, 2.1422766998940874, 2.100740595891914, 2.10645855264783, 2.0964435576474703, 2.036337403636121, 2.0577125832710963, 2.0223405418542857, 2.0608355053579497, 2.043701242092599, 2.0174845784070747, 2.061678400397645, 1.9734724669415178, 2.0273329110186875, 2.024326335477416, 2.045749689662996, 2.0854251080688315, 2.0039939305550556, 2.013669532118679, 2.016740066598997, 2.031803806431599, 2.0147940852070683, 2.028600324221364, 1.9824456271354227, 2.0239454731560302, 2.0327558142273787, 2.040950199408068, 1.999231825778987, 1.9843043257572883, 2.0501644886721775, 2.0237112318356525, 1.9781116879364984, 1.9593404926166038, 1.9405703686887652, 1.9772256588683437, 2.052917953863869, 2.0104653564522885, 1.989703306334884, 1.987979769362522, 1.9886369978268634, 1.9667627249232156, 1.95288871777987, 1.9893435435988103, 1.9847672350482373, 1.9739272402845058, 1.9438194589504723, 2.0123671900204907, 1.947795416439119, 1.9590896527507882, 1.9334830092741275, 1.9303617276631375, 1.9647417249762174, 1.9590764477117573, 1.978465623300275, 1.901194683397126, 1.973623648759146, 1.9727809796319544, 1.9398024327715964, 1.9806059746930413, 1.9809112335421697, 1.9516513964898088, 1.9797681225849184, 1.9614632626470174, 1.9081266602148106, 1.926347680569154, 1.924062186531199, 1.901869878732206, 1.9524094933380407, 1.963703292051798, 1.9283261371416123, 1.8809922206160883, 1.951318638157225, 1.9294025698341466, 1.9129271879003413, 1.9270667528394785, 1.9263128182197329, 1.9015832113691886, 1.9265124118591985, 1.928155126768999, 1.9098270490148872, 1.8808943250066852, 1.8930613253412623, 1.940859108274091, 1.950267630431145, 1.8389077678796073, 1.8727352436743068, 1.8625779461700027, 1.8937303852415406, 1.8472157813128196, 1.8638322447445441, 1.884794813492071, 1.9182044755276633, 1.869531832370079, 1.8495501494384707, 1.901467925201137, 1.8514755373395786, 1.899980646125162, 1.8758282303465916, 1.885078992260776, 1.8507626874729115, 1.8389843382206643, 1.8674157131624636, 1.855689955514939, 1.8189517520045408, 1.877055286099064, 1.8320692820085482, 1.837246322310579, 1.8246367145204223, 1.847731916346839, 1.8992870435678006, 1.8376631938688335, 1.8437082083668126, 1.7824175998037888, 1.8025626407665514, 1.8360185632347716, 1.822286811898372, 1.830854496437271, 1.8430528841532687, 1.8252666697580155, 1.8658012622130158, 1.8707340783632296, 1.8586056139517335, 1.8058685766491784, 1.8670736678640238, 1.81370430364416, 1.7979551778606089, 1.8048675275973338, 1.7791369952641507, 1.794875997207392, 1.8108821015041303, 1.7894740357091499, 1.7895516034384205, 1.7722761133063631, 1.79060411476194, 1.8073409079816962, 1.9136023427340936, 1.799220133447326, 1.8206652361573337, 1.748688421074993, 1.7858951157165102, 1.8579663749608544, 1.7895014226379247, 1.7959530470575473, 1.7662342116738652, 1.8196090720271239, 1.7687702450876173, 1.8165840444023271, 1.798045226423871, 1.7767143139366466, 1.7878023358465274, 1.7911100594095593, 1.7636560522901885, 1.8106408150180013, 1.7462848385901721, 1.7472707606830542, 1.7673866271513718, 1.8125984531050123, 1.774600416680043, 1.7492825163454822, 1.839577045431495, 1.7924795824249165, 1.75516466708913, 1.7617499906358178, 1.7303152328735367, 1.7911431785956153, 1.7929040102917375, 1.7768817325413973, 1.7201495334663794, 1.7570651997959992, 1.7785070910834715, 1.78446905124176, 1.7861522919174797, 1.7141262439722276, 1.7506996939340616, 1.8219187800074221, 1.76691545868746, 1.7911491488125373, 1.7907606557198048, 1.7664809490879414, 1.7832912753934007, 1.7478571994816374, 1.7660516042681815, 1.716400406587801, 1.757642149925232, 1.7988930659528186, 1.7317071239803707, 1.8055905280374815, 1.7431129171253972, 1.720824027772817, 1.7523672065560467, 1.7965130597152197, 1.7443263358629244, 1.7603118721399316, 1.7595201805305665, 1.741072536662178, 1.7250910442075096, 1.7492410458545482, 1.773038175498441, 1.773269886805302, 1.743235452916326, 1.7239962769197201, 1.7609903730946854, 1.6900253297045784, 1.7407888014575859, 1.7477273192970195, 1.738574397804877, 1.788244015443084, 1.778574837298205, 1.6759860720969486, 1.698513915724658, 1.6382405606454329, 1.7460863772668553, 1.6793965694420148, 1.754507070211864, 1.7274443150943466, 1.655517978778358, 1.7036668451160508, 1.6867992261835196, 1.7248913434058915, 1.7055565764745688, 1.7277750750937293, 1.785324919556516, 1.6774812461781432, 1.7202321441272226, 1.7836888840384386, 1.7107668537951295, 1.6386485447438435, 1.7174936652298267, 1.7376384058173053, 1.6938516070225471, 1.6615191918364847, 1.741663693004898, 1.6943132263519536, 1.6610310815410962, 1.6964076639254353, 1.7394456633934043, 1.6594610608920555, 1.702138339704453, 1.7638022265145135, 1.758509490441771, 1.7160398278589772, 1.725377391460885, 1.6908765511517345, 1.6709847475497968, 1.7316520324226063, 1.6625462814061198, 1.6592527136880693, 1.6473863940610693, 1.6986614496691854, 1.6954583104007857, 1.6311987472108285, 1.7144591882896607, 1.646111126125031, 1.6523467575390827, 1.6980428006123534, 1.6417867735788383, 1.6968010341581872, 1.6321801438827257, 1.6980075638838061, 1.707448747550443, 1.7011590140501505, 1.6154410119694627, 1.6596893987710712, 1.6735246973157043, 1.704213915706484, 1.7089094130091076, 1.6487692246882244, 1.6552352213423567, 1.6633814224494663, 1.6566554831127573, 1.7267837526708756, 1.707185151143299, 1.6996295802058567, 1.6257495790633936, 1.6147401160753267, 1.7098973566115878, 1.6127129189662914, 1.6528762508976105, 1.637340928179582, 1.6416967297196963, 1.682237300078839, 1.63084129752507, 1.6870937814382088, 1.65993626239325, 1.672678146830422, 1.6278996996517017, 1.6989596248017238, 1.5628147098855174, 1.6604527384186158, 1.6308267345442236, 1.671349958919125, 1.6249992533069717, 1.5425429876545969, 1.6368854751485948, 1.6404829312105151, 1.7493760497439241, 1.6458448261108618, 1.6074461066114776, 1.58527080764899, 1.6150398067950744, 1.662859135229388, 1.6203864484709887, 1.670790851403017, 1.6431581778980655, 1.6692117244951763, 1.6397326513479489, 1.6141199423098818, 1.610926142326333, 1.622771412851262, 1.6163194660273048, 1.6013819597683008, 1.626328627344963, 1.6455601855352364, 1.6331982247753711, 1.5995916200441391, 1.6151685337244719, 1.6050395286347112, 1.628387845859032, 1.6591825275265104, 1.6144024114177362, 1.619130669131201, 1.6575202457714355, 1.629255823726489, 1.6252528201856788, 1.7000836476439805, 1.6204910385023525, 1.6256188260923794, 1.6208888373774215, 1.6146271529395035, 1.63926587951539, 1.5894023127230001, 1.5943105364212975, 1.6363259061697701, 1.5628413626273396, 1.6567563824750002, 1.6020547563462904, 1.636010056051414, 1.608509586681186, 1.5555355144992715, 1.628305035789387, 1.5545411243016498, 1.5739618399833921, 1.5159629620647521, 1.621667523012354, 1.5478493010802723, 1.5725281681431613, 1.5991760592143964, 1.5789454360783846, 1.5634099444709681, 1.578220110770254, 1.6132977060450167, 1.5696603521001924, 1.64350419370341, 1.6131457421960913, 1.605050339276568, 1.5630338048567787, 1.5917966046851915, 1.5540132929890975, 1.6112641910731047, 1.6416689944565583, 1.5585263266485396, 1.5673844830363386, 1.6147007857296074, 1.5457431954529792, 1.5875926717642526, 1.5414345119295496, 1.5953229109293228, 1.5131314628048511, 1.5251192992644544, 1.5455942781529137, 1.5773447987204912, 1.5719712105247123, 1.5608252300679168, 1.6468339155681784, 1.6078857982009507, 1.5736594460581907, 1.4683053958175043, 1.6073513545590714, 1.590681493798624, 1.55265915978976, 1.5671532775944994, 1.5654925440686385, 1.587163981505606, 1.5976168613690844, 1.5432674698926028, 1.5636766690033004, 1.534532482630938, 1.5323418042657464, 1.5398851256742285, 1.5900456895038872, 1.589671598189834, 1.573548421593557, 1.6008713400283607, 1.5718329798383592, 1.5887413053586004, 1.5341708599316375, 1.5356102068912993, 1.5744758151378393, 1.5385385299669767, 1.5231059821209618, 1.5629014813980309, 1.4615627324156628, 1.595555588990249, 1.5473894887066897, 1.5180523591734563, 1.590558348078356, 1.6251060479644173, 1.5926928046348579, 1.5869919724826977, 1.5543949410132885, 1.524940597770074, 1.5404255619636513, 1.5681047996038193, 1.5915111454779192, 1.5905251080767253, 1.6069365627382441, 1.6146817883123448, 1.5518915859177436, 1.5636511145014391, 1.5691797545142077, 1.6164246445326305, 1.5061605670798617, 1.492473958201771, 1.512754804590095, 1.5643201975781145, 1.5392174336403122, 1.580228940240458, 1.509657779143795, 1.487184268907358, 1.4834597802598162, 1.5316375862301486, 1.5394442382056168, 1.5701486885375535, 1.497644356400836, 1.6091033938529975, 1.5668078554261753, 1.4770746972264868, 1.519442088622331, 1.4644837643345234, 1.514114074918143, 1.5699976457783071, 1.5274363325924916, 1.489965942872041, 1.4925673987798902, 1.4831334584257256, 1.5628724893316612, 1.4733932363631292, 1.4957382833877357, 1.5184409294826005, 1.526315731309261, 1.4982631466960081, 1.4822877631724396, 1.5393077890039981, 1.4982730516226275, 1.4938887833860541, 1.5130718916625903, 1.5720136837963878, 1.578185572546187, 1.4815976452207886, 1.4732253161385382, 1.4675400572630852, 1.5059058620335393, 1.528339145043587, 1.5296121988305686, 1.4970904086161623, 1.5017646289537225, 1.5439360965548856, 1.4788797993976641, 1.4489307164916405, 1.5020300825704624, 1.5216038474334446, 1.5342510740153483, 1.5461002499926424, 1.518636836468657, 1.5222667074754217, 1.5292131877840425, 1.5293761268042967, 1.531223380760692, 1.5106024154685116, 1.4706385087462086, 1.5402416452062715, 1.4929147717812752, 1.5113484081565702, 1.5149447742394235, 1.5085089077045415, 1.5961618773402562, 1.520240073828197, 1.5179140006153484, 1.4951334230250413, 1.4977025601356735, 1.5473126501160475, 1.457789418213177, 1.5729655469117885, 1.4919073557601283, 1.46898037017367, 1.4790147277916477, 1.4662708770322386, 1.4593111911109138, 1.5115553237017356, 1.5194533548180706, 1.50398795827291, 1.4934072221438397, 1.4730184603127525, 1.4178764066292302, 1.4681206704103913, 1.4989350661276852, 1.4390412640181496, 1.4557797215785742, 1.4631833783471895, 1.5149767701733674, 1.5341780496630333, 1.4956813167217722, 1.4144370560467072, 1.4779183298951737, 1.4851506834883776, 1.516710162048046, 1.4486696179723142, 1.5622298470819307, 1.4180693343009252, 1.5214965571797272, 1.4895595774499124, 1.4612420660813803, 1.5027760308562161, 1.4748617703233118, 1.4325087710684372, 1.4605491519318508, 1.4656050209246425, 1.5138472314059905, 1.4628216064928585, 1.4783741577642255, 1.4547578621874415, 1.4700123916117473, 1.4681974232942583, 1.4424643271008402, 1.4771694869692218, 1.4427288798211972, 1.442407488822937, 1.4544362589300999, 1.483942910957153, 1.5363146772283678, 1.4374831225346556, 1.5077559175803412, 1.463060670913241, 1.4042401791077834, 1.4984301225397882, 1.5037041496381494, 1.4724418960934769, 1.4317572828206566, 1.4495243555772064, 1.4277342113884053, 1.4346709443010655, 1.4776602181479608, 1.5188067944951649, 1.4701799200175472, 1.4404770426158153, 1.4819332323358883, 1.459918231317008, 1.4393587125047569, 1.4482345878217402, 1.4626601007377102, 1.4666677272813153, 1.395439124658087, 1.4378848296157205, 1.498517183527795, 1.4642894891044977, 1.4761661411593807, 1.4384013436182517, 1.4359013080826393, 1.4759328111762375, 1.4922625345031841, 1.4326782241478002, 1.4326942904392497, 1.4842756549479068, 1.4659774248363653, 1.4842225122727146, 1.4521960777313923, 1.4881816314205283, 1.4421516791115137, 1.4597342614374904, 1.372008219375647, 1.459915010142028, 1.424478103841464, 1.5128757787278573, 1.4026300155623126, 1.5029440362139088, 1.4638655642343326, 1.4799691400812496, 1.4929430950594362, 1.4506446275720237, 1.4300292039055222, 1.4352172366464448, 1.4171760752295162, 1.4782626322534247, 1.4682619004896675, 1.4268876553958603, 1.4049186387580674, 1.4529844278091415, 1.4061816312351172, 1.438847089410402, 1.5102051686965237, 1.4480566309551646, 1.4548250156830318, 1.4203417012046688, 1.4169943720475198, 1.438884333077248, 1.4445700531859484, 1.4053960626692126, 1.4890115605281797, 1.401651808570737, 1.4028238624879326, 1.452392232314799, 1.3910312831573928, 1.41717057312992, 1.4221961965230476, 1.4273035325490018, 1.441497602981369, 1.4072339374131027, 1.4457426689586694, 1.452045218432833, 1.413839672022536, 1.4582116135733993, 1.450305081538218, 1.3791787639274633, 1.370420251475491, 1.4580883283358106, 1.4041795680107578, 1.5136280180285824, 1.4543538001779184, 1.43846410174457, 1.3653511418185633, 1.4302915885427803, 1.4458430663568682, 1.4428816997052616, 1.4650676689891429, 1.4125753805199073, 1.4563815589130096, 1.4627947942698885, 1.4411116840749894, 1.3537013208326867, 1.4462572775630564, 1.4230382970253703, 1.4162974684598701, 1.459934100494348, 1.4236748056760538, 1.3892384365961112, 1.444508914997993, 1.464700924306104, 1.4126800710588148, 1.392584145011755, 1.433479884820448, 1.3406086859505721, 1.4165730812551887, 1.4296931716773922, 1.4172854122918197, 1.40493210355632, 1.3810508648172035, 1.415650082735974, 1.4297544929818309, 1.3689301468295703, 1.389889355687939, 1.4197911543841542, 1.3854067836161184, 1.4467308658952318, 1.3955282514432625, 1.4467904709989459, 1.464635718660474, 1.419550866032014, 1.4139139969493473, 1.4062655639832013, 1.4212848304899066, 1.39578841774365, 1.440273124972023, 1.4064146899855745, 1.4047986380289792, 1.420813962745483, 1.4474926636239678, 1.4977747212245673, 1.415156491452163, 1.3217721214881875, 1.481516402311573, 1.407587600855786, 1.3790444523468972, 1.4106371229491175, 1.4547403232769054, 1.4364812714876867, 1.3831951413966923, 1.3942381350092297, 1.415618426875499, 1.3928510127329161, 1.3626868027236394, 1.4075024695896667, 1.4082282148265748, 1.3839873184483136, 1.382967852765947, 1.426296336474157, 1.4287293502295442, 1.452244991976212, 1.396001582884582, 1.3904422621410322, 1.4041052756112167, 1.3381402088083592, 1.3779803572995257, 1.4058377236787578, 1.354630149420462, 1.4386234635682607, 1.3561882934854854, 1.3789897103855768, 1.4126295415797523, 1.3458751098138995, 1.4225175628533606, 1.398191578808143, 1.4340863708582374, 1.3726490555874307, 1.4242451984912186, 1.36278075410037, 1.345499586611556, 1.4625154188668303, 1.4100306129317886]"
