,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(75, 1), (14, 1), (39, 1), (11, 1)]",
module__conv_type,regular,
module__dropout,0.3419078193004952,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,,
train_loss,,"[2.6933008012054973, 2.6497779650495232, 2.648709657794019, 2.643237247173037, 2.6398657750991497, 2.6459437032196105, 2.649458233331669, 2.646246158548403, 2.63594046355672, 2.628314916798145, 2.6106058609508596, 2.559033193110501, 2.537636171645971, 2.5129911656094883, 2.455800425340215, 2.456998273816412, 2.3871768540729676, 2.3537467421823846, 2.337139312931568, 2.288836842557139, 2.2868891474369173, 2.2662326104379114, 2.247769913002705, 2.1877588435634254, 2.182440937369315, 2.1399551678255113, 2.118355072532316, 2.1366098664399518, 2.073193670008224, 2.063518896727663, 2.079918605054734, 2.041820330886253, 2.0283848063334795, 2.0068364696925314, 2.0159013914464756, 2.01976276937018, 1.9377735230734352, 1.96011827584636, 1.9677775599823293, 1.9348402154238926, 1.9038719076641721, 1.9075639757806855, 1.849420774189723, 1.8570781461535621, 1.827649282352543, 1.8790209229052182, 1.851835393492197, 1.8161792268183419, 1.7611213727263817, 1.7844291955290044, 1.797429538875646, 1.8029591858042457, 1.8294551289839551, 1.7859201396820863, 1.7558345298546587, 1.7898574807970051, 1.7345071599203268, 1.7537391734720424, 1.6992627370793925, 1.694422607706691, 1.7253513007724446, 1.7084805894219577, 1.693729017051888, 1.7143142838928283, 1.6548641084016862, 1.7098674735122563, 1.6911933141866402, 1.6458905735456875, 1.667780526341271, 1.6617410883508437, 1.6793044357630558, 1.6447116834809554, 1.6424232131024545, 1.6185100864123747, 1.5887328365634632, 1.620301653424669, 1.5697296733801076, 1.6482201938684276, 1.5771480592000002, 1.538481185431655, 1.5742089803508252, 1.6144957126679906, 1.5557791766403728, 1.542215395065631, 1.514038729300159, 1.5874458661658226, 1.5418731631111777, 1.4994325989243613, 1.5346837824709383, 1.5268584634527305, 1.610821138227606, 1.4295472887439764, 1.5231521572910522, 1.5163631606882937, 1.498925554844226, 1.522164119231678, 1.5137072163050804, 1.514228872481109, 1.4774705277242641, 1.4888873272548522, 1.4422099346829746, 1.4672295688893753, 1.4679612472567256, 1.4371025773601496, 1.4574997882163134, 1.4539509390360588, 1.4376466406333424, 1.415211098961288, 1.395615815427262, 1.3672103059544498, 1.4229972067366217, 1.3955917868311005, 1.42744542569324, 1.380425388643048, 1.4569078945700145, 1.3818330050433532, 1.3784165414541902, 1.3813421000405313, 1.3692956333674906, 1.3519693966775501, 1.330643410857243, 1.423212920769561, 1.3690152843563543, 1.3454877301217962, 1.319019457048993, 1.3833388434669185, 1.2969464968624371, 1.4005006044126889, 1.3313109523299111, 1.3571585622366682, 1.3272067005234647, 1.3307461786821397, 1.3451776068104944, 1.303347760082899, 1.3368854027722383, 1.3046424667959269, 1.2639145391754563, 1.3610154625767688, 1.3345764413734391, 1.3292934207787632, 1.309932124178304, 1.2349077457407767, 1.3522579587263868, 1.3465658105866758, 1.2752820434827565, 1.3105197969199605, 1.2466463313396725, 1.1860800679478802, 1.2703480332343335, 1.2176362765317708, 1.2249799548775704, 1.2217777231295444, 1.257295151207029, 1.2568962100843015, 1.1980568055702312, 1.2630990628791912, 1.2931406029387016, 1.1970618326999318, 1.2224240456932083, 1.135237453300829, 1.2079660477895497, 1.2260398545476512, 1.1824770614590947, 1.2151090212180664, 1.2477943254114345, 1.1827169180146073, 1.2585616159990343, 1.2484622410496764, 1.17622711272598, 1.1933695834725808, 1.1176869853153855, 1.1249544573427395, 1.199073361753269, 1.134609183709286, 1.1720782436846768, 1.1582693676957736, 1.1766963528759906, 1.157612813460804, 1.1357923317736514, 1.1415809697268786, 1.139424952468431, 1.1026236449362914, 1.1677728932716942, 1.146675409034957, 1.1440082917094, 1.0748057768524037, 1.1482527547718702, 1.0956762877502881, 1.171788930778099, 1.0548892361120912, 1.0481720662071066, 1.1267840021607505, 1.0789834384973338, 1.0858230911238345, 1.0586849679606958, 1.1453391685651217, 1.122065352336979, 1.0712563920342624, 1.0732214200473704, 1.1027992720319126, 1.0211548990137544, 1.1329074266558667, 1.1496280492615378, 1.1617469913927347, 1.1093169495549504, 1.0727308345438198, 1.0833396588906157, 1.0326027039847623, 1.149074313842722, 1.0857901296404286, 1.0460608837002734, 1.063740398612785, 1.041387307391231, 1.0061794325336095, 1.0115603681703982, 1.0173006640004285, 0.9998560085002627, 1.0721267634044493, 1.0240676216996474, 1.0559952454300514, 1.022104524233897, 0.9827542841319633, 1.0352747656821286, 1.0206316118065792, 1.05615250470551, 1.0961083526326512, 1.0375500583809465, 1.0074011665088822, 1.0339422178865627, 0.9784754873011153, 0.9232166245838122, 0.9731315674120291, 0.948688637084814, 1.0026694264026046, 0.996446522329584, 0.9875158628517033, 1.0340986277096993, 0.9909819950258112, 0.973280874061217, 0.9882115238204398, 0.9503416002141258, 0.9721073338291778, 0.9259909768095366, 0.9674054723024827, 0.926174871953696, 0.9454715978318327, 0.9553930685929021, 0.9129947195393042, 0.9526205296001912, 0.957488003149198, 0.932481769536961, 0.9363103751272595, 0.9036402904459048, 0.9779996615843507, 0.9380257290452432, 0.9316897712690981, 0.9294114951223766, 0.9567911944178028, 0.9396085810339749, 0.9448485459436111, 0.8933772637664927, 0.9394201365279784, 0.9208606201329902, 0.9452650744561285, 0.888858116201353, 0.8997168350311603, 0.9491588526148786, 0.8866957082109874, 0.9054645566352301, 0.9030034199845125, 0.8991605575144406, 0.8734289353178646, 0.9443694649404184, 0.8881682434293346, 0.8735844618093531, 0.964506776576327, 0.8580071423095086, 0.8344316654811704, 0.9245638296094244, 0.8309438679948707, 0.9022599292168957, 0.8810284581028198, 0.8946949971663929, 0.925733922462128, 0.8269876725182138, 0.8272178748439503, 0.8791978541826238, 0.8115313360916168, 0.8392025342566429, 0.84960818325164, 0.9140921534830435, 0.8333803531866313, 0.8411635911533598, 0.9077666424832133, 0.859777342032835, 0.8537548149941284, 0.8681490912832507, 0.8361637328171776, 0.8463621146417077, 0.8470031161988172, 0.9255905907048426, 0.8534353380028682, 0.846598265028643, 0.8025443137036583, 0.8390305484994988, 0.8083613134762685, 0.7985593492814801, 0.8444999699877407, 0.8094058171747277, 0.7827756124654487, 0.854635316397643, 0.8210496311013179, 0.8103050826142518, 0.8333699810022563, 0.7877866548839562, 0.8400347828865051, 0.8024320701183841, 0.7765526577457068, 0.8056904237164698, 0.7964810031916595, 0.8193795638507042, 0.807659452016643, 0.7987276077959579, 0.8284904905137299, 0.7628924229930591, 0.8097393580484482, 0.8472258003001498, 0.7798704732360179, 0.7674963471976778, 0.7959665512533316, 0.7909603829788106, 0.7910296380634713, 0.7806313002844537, 0.8091450370345731, 0.8253887441576331, 0.830687395065506, 0.7819505467120852, 0.826139261669736, 0.8114345194287382, 0.8249562536590591, 0.7550669831577294, 0.7983354137122975, 0.7715563982265763, 0.7931589214328626, 0.7769854250211476, 0.7455700707114041, 0.7631913349463072, 0.8006862991118018, 0.7782932240838949, 0.8307472164231229, 0.7820451671907208, 0.7728252289152788, 0.8077631783393536, 0.8495221983260961, 0.7926091028660938, 0.771547904593407, 0.7877938376456097, 0.7893033505404845, 0.72035519701208, 0.7770441342181094, 0.7598983802777035, 0.8160661132234599, 0.7850311926219734, 0.7252670319783205, 0.7834879196677823, 0.8140209967231016, 0.7592685082514622, 0.7275985077342919, 0.7936221663203084, 0.767488682201143, 0.7453029614537667, 0.7587511607792107, 0.7295994572556777, 0.7087879790736071, 0.7492962805751661, 0.7609319637506224, 0.827135456320408, 0.7854218188967549, 0.7560952699712705, 0.7884818571036492, 0.7237223137550501, 0.765653956717379, 0.7754322184762973, 0.7323025768202853, 0.7198501404425083, 0.7222993577146806, 0.759213271168615, 0.7192255543376209, 0.7756698309571297, 0.7943683631847359, 0.8120020879486393, 0.7138394615783398, 0.6961505755294035, 0.7123538494569488, 0.6956774424725645, 0.7809450854915185, 0.7841140034111479, 0.7718692719362145, 0.7711326109536122, 0.6949109931212629, 0.7147213360707424, 0.7385348289458509, 0.6802676021478539, 0.6956482053319842, 0.7291616025687642, 0.7373981498799113, 0.6794396200161679, 0.718100678369489, 0.6886186065701391, 0.7091667323672932, 0.7571417931072515, 0.7135171232195948, 0.7178744123620564, 0.7535381725987488, 0.7692969671104225, 0.7045821169093395, 0.6755523786149732, 0.6884092863125149, 0.7146459343575788, 0.698188948838008, 0.7302942458604802, 0.7037750419394359, 0.7402739823438759, 0.6924189672534407, 0.7321355470343133, 0.709193839560584, 0.6981892321610497, 0.716022455221426, 0.7003355430500126, 0.7115777960632118, 0.7152090348260252, 0.7250066374308342, 0.7005689825166397, 0.6857656599928649, 0.7133055911587842, 0.7137436931073551, 0.7296387104170401, 0.6938778963621871, 0.6819653878551917, 0.7405793411883316, 0.711347205388523, 0.7126060029445126, 0.7202794952659018, 0.6774697714056354, 0.6764490366671126, 0.6801522737063884, 0.6681803398279326, 0.6613699672079729, 0.6279018496617187, 0.6433565353037994, 0.7127982321731847, 0.7171910897844789, 0.6911775424990351, 0.5768054587073869, 0.6724574747629938, 0.6946252799217871, 0.6785151955020221, 0.6393107697798338, 0.6889633739040536, 0.6891025844566625, 0.6367020319881697, 0.6834492901616473, 0.6894307683198668, 0.671271673516731, 0.676490744299512, 0.6574110580547238, 0.6606139217957366, 0.7289188422104756, 0.6639939196307305, 0.6975396537367319, 0.692623733670266, 0.651642684876804, 0.648745083854837, 0.700321161907762, 0.672119896191393, 0.6719777431906073, 0.6585421275656118, 0.6848231845163886, 0.6615653412994392]"
