,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(12, 3), (120, 3), (42, 3)]",
module__conv_type,regular,
module__dropout,0.3596407081694301,
module__fc_hidden_layers,"[1936, 256]",
module__preprocess,,
train_loss,,"[2.7534495132031407, 2.6634019322987355, 2.6630802535460014, 2.639849040460082, 2.642474020296157, 2.6242945269969247, 2.6141693706806173, 2.589950838492855, 2.567335699244803, 2.51519074958603, 2.4525547791720586, 2.3952928027702822, 2.3287606585817455, 2.3023654673395533, 2.272256626086928, 2.2398404967222683, 2.182038190849018, 2.1163616604938085, 2.082326645112244, 2.0340659129608123, 2.0869830831870995, 2.0176924525601456, 1.9583682618081513, 1.9411721580641217, 1.9485265143911235, 1.9032392740479103, 1.8753729548100901, 1.815433792246432, 1.8081016496928182, 1.8798482905682516, 1.7919230834008182, 1.773268012270776, 1.7598723503577238, 1.7254645212896749, 1.7282419646440272, 1.6979383404606, 1.633581915420334, 1.7090537635263512, 1.5834561013854158, 1.5999207052620015, 1.5968382422802423, 1.5647385955660016, 1.5505118857678366, 1.5506534802443255, 1.5497938579269277, 1.5528867272256772, 1.5303837807850842, 1.4749770870107775, 1.444244218744603, 1.430263651805617, 1.4401981813386728, 1.452177014112243, 1.422106984891607, 1.4329655293206738, 1.4415602301954649, 1.4203069065486846, 1.338052470599148, 1.4428101436121172, 1.307738297024636, 1.3820249539825984, 1.375527680207033, 1.3506545617789232, 1.3223507645270134, 1.298279693427283, 1.3253173489657817, 1.3248716998949317, 1.3295308578691307, 1.3267089687251954, 1.3138215481030242, 1.259988258043313, 1.2825524588980506, 1.2911389806846567, 1.2424419715613328, 1.2615384458921872, 1.1894427003254675, 1.195127529175495, 1.1332248582417743, 1.249856920627818, 1.1905412842610115, 1.2682861228535334, 1.2044967419832686, 1.157544151077601, 1.115193503595982, 1.2399508372537211, 1.2137138136771002, 1.2404591720533324, 1.0935033236821186, 1.1766237662432857, 1.1025517730901055, 1.1906812656832155, 1.1255554942355004, 1.1216408652795749, 1.1384660504665136, 1.1231993243485487, 1.182022510524893, 1.1266905194411951, 1.0768226341517415, 1.0608067844095312, 1.0805594540766734, 1.128573435217974, 1.1180879850589507, 1.0954281293623027, 1.1538518452667295, 1.11459786927505, 1.1430985211063969, 1.071232854803671, 1.071620957282326, 1.0045811972214238, 1.0613977440683973, 0.9993863626095512, 1.0078360152083938, 1.1173309326401344, 1.11979483754963, 1.067504291757009, 1.0576600297582734, 1.090508212311206, 1.0689975018106594, 1.0076993296534196, 0.9918196398668041, 1.0184785329572734, 1.0302397031641786, 1.026998587992469, 1.0186306255384634, 1.0158179949635606, 1.0324109583318635, 1.0418498613607206, 1.0256339572621034, 0.9430651142691281, 0.9665329665720062, 0.9549530633833686, 1.017975997190503, 1.0081641415888811, 1.0009906305729828, 0.979049411958175, 0.9619858357858153, 0.9431001416069597, 0.9498236900459011, 0.9423714042627777, 0.9759496382730758, 0.9692869103792427, 0.9426055762834338, 0.9149266660959245, 0.9166766055738617, 0.9519005644998376, 0.9460035661187048, 0.9189823248618147, 0.9660714454554502, 0.979105298971189, 0.9282699327725877, 0.9179647124737244, 0.9539196340939079, 0.9100464706356647, 0.9178243485979442, 0.9532336961546118, 0.9109897678350461, 0.9172452626834131, 0.9148233244921635, 0.8288657571743955, 0.899385896666447, 0.9133610620994311, 0.8625659785440498, 0.8752043554711731, 0.9173051511243172, 0.8354890566817605, 0.9245321036991416, 0.924980726290254, 0.8946465973789813, 0.8537649474428524, 0.8779194867587985, 0.9124573618317018, 0.8761294797364052, 0.8082513051381813, 0.9004083463386117, 0.8062210295840567, 0.8714732464055125, 0.8913750229717105, 0.8921835445462797, 0.8340924441298116, 0.8787465186160384, 0.869244938348783, 0.842524540378453, 0.9221994581419878, 0.8561415795641982, 0.8364027832079898, 0.8152664727150418, 0.8262171752758044, 0.8513905017621478, 0.8400415598026713, 0.8512806733487545, 0.8244568892576238, 0.7830778301565319, 0.8543349108349485, 0.856890461700713, 0.8369824960325863, 0.8015720453597355, 0.8325381319148822, 0.827646073122456, 0.8189835107819866, 0.8326118557469219, 0.7674770740159322, 0.8185013290548462, 0.870056883719704, 0.8368734228599519, 0.7971631372284729, 0.7474169138105473, 0.7590051756040538, 0.7853851811144648, 0.7286152690505614, 0.7508777019149185, 0.7734664629237714, 0.8329574415555243, 0.7921514778440106, 0.8405759274902197, 0.8070774507476689, 0.793884868399241, 0.767093400179594, 0.7909670571390544, 0.7894359792621234, 0.8022029867415479, 0.791624133121061, 0.7359684845136839, 0.7590868964977742, 0.8041451522314973, 0.7421259974148322, 0.7754859352937906, 0.7684111374576466, 0.7669018415789747, 0.7284742719112851, 0.8272073531632703, 0.7944977804946716, 0.757242779070879, 0.755001468137552, 0.7934033345212377, 0.7447655442474667, 0.7589488187813782, 0.8025290900635191, 0.7789027423555743, 0.7373541757622168, 0.7398456403908532, 0.7810396660796947, 0.7491292734921724, 0.7486732361750378, 0.8163668115168838, 0.7514117535085375, 0.7642318985574629, 0.6988388509332732, 0.6753381706695355, 0.7224027881608547, 0.755664719424647, 0.8097252875595167, 0.7381283500024742, 0.7598926089094509, 0.7575833350563417, 0.7490366972387698, 0.7626734560102769, 0.7479424488383836, 0.7421022584738929, 0.7509148188573563, 0.7217313145879832, 0.7321122000146302, 0.7412450347988507, 0.7423460675731545, 0.7713405768726742, 0.707597769660601, 0.7391343483050588, 0.744752861480511, 0.6935926588598184, 0.7411233307766846, 0.7194491919413338, 0.718262431080004, 0.6756360132150402, 0.7436410996406783, 0.7041666878887504, 0.771861579122167, 0.7067286103132026, 0.7214710533446825, 0.7356142422921159, 0.6839224378918087, 0.7094209403000392, 0.711923905010976, 0.7469562631713529, 0.7788861675602066, 0.6968942951479132, 0.707123154854981, 0.7803723403647957, 0.7490225109604256, 0.7226547918374775, 0.6661115915759236, 0.6799419788469823, 0.6796235468550527, 0.7161587255866168, 0.6849313478726854, 0.6746980141744348, 0.7013515898880761, 0.6831572505002761, 0.7371809942373527, 0.6744480234023122, 0.6408607550144655, 0.678509380349296, 0.6593728473372363, 0.7000156902601445, 0.6650878567323878, 0.6776942832752187, 0.7275192355512999, 0.6986279152584719, 0.6990332120421762, 0.7234799434234593, 0.711761466434532, 0.7203223365103545, 0.6811378385667278, 0.6396352053835945, 0.7034412952313869, 0.6915372760968213, 0.6637957695014667, 0.6657266328263672, 0.6771307849218572, 0.6917694429575652, 0.7118829644219707, 0.6741478242360134, 0.7126802520986012, 0.6834543524050047, 0.6489918385134854, 0.7311978304581188, 0.7412618194438725, 0.6597587561469679, 0.6578541757741493, 0.7010584461562788, 0.690880488070074, 0.7292774592143509, 0.6570562313564473, 0.6795971996515732, 0.7170402109049282, 0.6243198363395467, 0.6861581663539251, 0.6205278130192614, 0.662656331658937, 0.6381024953490616, 0.6508136587835942, 0.6478751563647255, 0.6609887331293912, 0.6083220135603419, 0.6825079573130126, 0.6534544788265136, 0.6813157600663509, 0.6934046986243034, 0.6934468460496053, 0.652788294405749, 0.6753311691316305, 0.640846805749201, 0.6683513188270334, 0.6784644019041529, 0.6508283612817611, 0.6632486854297135]"
