,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(96, 1)]",
module__conv_type,regular,
module__dropout,0.43570364221502184,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,,
train_loss,,"[3.2379948688999063, 2.8473746820179975, 2.702670744913375, 2.6508245032148023, 2.6231091552565484, 2.507662529435952, 2.4909204775835025, 2.351182814626538, 2.256597220840307, 2.2558585147196792, 2.2424787419477945, 2.148380503273561, 2.108098486734194, 2.0593336189561904, 2.032746707968579, 2.0796747445142305, 2.0013476545932316, 1.9366056869762005, 1.9802023074854098, 1.9163285120963132, 1.9549400545979372, 1.8333762691385822, 1.8470048009488764, 1.8692582299550986, 1.755770429380819, 1.7661575119121358, 1.8438517039962636, 1.6752210333441402, 1.725611222834399, 1.7359853637574152, 1.7386453078272712, 1.6933217572982318, 1.6988799589201162, 1.6773769126934313, 1.663066713137622, 1.6773053045107609, 1.6300439190933405, 1.6768247100226115, 1.7077745547996792, 1.648497207332277, 1.665870960912989, 1.5932799110743034, 1.6217570881985839, 1.641256460670787, 1.5906292961926503, 1.6094198876326766, 1.5000058690209706, 1.6223982799156453, 1.602456367050259, 1.5514065612383596, 1.6049813266208932, 1.538059659022569, 1.582037559085677, 1.5439365884222815, 1.4886998115994818, 1.48136049732781, 1.4921588632668064, 1.5088837220189202, 1.4901744056138084, 1.5004356575195783, 1.4874691348218139, 1.4756668312717103, 1.449219725531265, 1.494473945876517, 1.4846012546421818, 1.4827603927819746, 1.4177424947267776, 1.4652212263874644, 1.4024737781923018, 1.4117004898904721, 1.3615917772829131, 1.362113399730495, 1.4357909392117307, 1.4849182383387678, 1.4223679616201141, 1.361560170414129, 1.4052994230598985, 1.3838896894248434, 1.4247371947340832, 1.412711937514719, 1.3862889924797448, 1.3430050818018322, 1.4008001573276245, 1.3034414684577442, 1.3185996954204717, 1.3853688264145543, 1.39392298046962, 1.4390377420663145, 1.3458205892904316, 1.3200064273380798, 1.3347094472035177, 1.3743404950856932, 1.269170759961052, 1.2139847160418293, 1.2368991772525004, 1.2809926745292657, 1.2912546455917506, 1.346587384515823, 1.2670471678569526, 1.358453135747423, 1.266209690013221, 1.211524656865319, 1.2450427367666572, 1.2839498633484754, 1.3456754061439153, 1.224076273581291, 1.2446876561217175, 1.2849310553337774, 1.1870380400808185, 1.2905038871710064, 1.2456098044572597, 1.294053206888957, 1.2165023890450324, 1.296371045940994, 1.2467028342610489, 1.208066890856988, 1.237868010596201, 1.2507331456211006, 1.182579760601936, 1.2107260399879, 1.2264210995397853, 1.1635623261605006, 1.238733980492747, 1.2303403491464455, 1.19803917889875, 1.2278082204966503, 1.2601915042599998, 1.2027767099246482, 1.1966382098725716, 1.216124555144434, 1.2193388679603525, 1.095988682592225, 1.1631035297621433, 1.123225667708418, 1.166963591153399, 1.2089851924843003, 1.1770904855847473, 1.1166570989183788, 1.1953307681638994, 1.1759639278527518, 1.1523024860314157, 1.1866148344247358, 1.1925605550422704, 1.1237968598798105, 1.1152135814119692, 1.175749677150036, 1.0928609917895855, 1.143373754761102, 1.152357282204853, 1.1913518828193768, 1.1286551369510096, 1.082626525373615, 1.0368858457644246, 1.067696943319796, 1.1214377833055234, 1.1677882151608288, 1.076088179408414, 1.1396905453418515, 1.1602972611082185, 1.1333175922839887, 1.1125281855277538, 1.0841843408386334, 1.0549644316126223, 1.0170144988322511, 1.0466086341281484, 1.0767855076289612, 1.1073872160177258, 1.0516400577588305, 0.9774848867541213, 1.1151394079922483, 1.0598623665395668, 1.1261463318453946, 1.0827694030423023, 1.0591356564990824, 1.1091737753502788, 1.1071461324971725, 1.0763091739837198, 1.0302520106914987, 1.0886887174253859, 1.0586835616362336, 1.0684886909770324, 1.040523110730242, 1.017115055998434, 1.0289850265963705, 1.0642180585081011, 1.0234506291420673, 1.0430142193946619, 1.0536710415985633, 0.9945697350153221, 0.998545987027786, 1.0138498772441251, 1.0679898795539995, 0.9853330306185336, 1.1109285348877527, 1.0703449857361163, 1.0729137310279575, 1.0243316971418144, 1.0308560805325329, 1.0414574089477107, 1.0581817761192651, 1.0193306710194578, 1.023944241594419, 1.0164982624301782, 1.0540923967857103, 1.0119865604383196, 1.0710662878741428, 1.0070885731923798, 0.9969961730990993, 1.0285914485791878, 1.0460067024818398, 1.0083146434316737, 1.0155139988264978, 0.9847517438067968, 1.0350789472503772, 1.0306313960338809, 0.996632234022179, 1.0051499241470028, 1.028690534388365, 0.9927706604857532, 0.9485024536195228, 1.0171448909054592, 0.9914502613354005, 1.0651966255369727, 0.9942189630576346, 1.040575758612305, 0.9577842416157507, 1.0024511486550038, 0.9786521020821359, 0.9329261854362672, 0.9904145831896549, 0.9218635227498926, 0.9815711302752674, 0.9365774764821895, 1.0397071950818852, 0.9769203162055616, 0.9623375893557037, 0.9506867398885263, 0.9517100067294711, 0.9622070283357402, 0.9603209803033265, 0.9493174692320067, 0.9873557444141965, 0.9643158610619755, 0.985098037499436, 1.0020265625117488, 0.93325190009465, 0.9320497310884419, 0.9591687049168136, 0.9399954175811415, 0.9145983026163066, 0.9328593478625044, 0.953022496303305, 0.9831812637602629, 0.9846626722663497, 0.9104966689923041, 0.8908035343260118, 0.9589643158283913, 0.9773430727329016, 0.9301917847242346, 0.9606329315665597, 0.8980051359382241, 0.9156288953212962, 1.0060644099870706, 0.9278539886717847, 0.94010912832787, 0.9084133930339391, 0.9064102357000657, 0.8987583417061777, 0.9112071641026149, 0.9828801959953822, 0.9412403250107751, 0.9622152928438636, 0.9051469275306577, 0.9264123706546853, 0.9043976608896852, 0.9143041000558965, 0.9977538711870945, 0.9550578764015029, 0.9404737235148213, 1.0265531942635573, 0.9255701887481367, 0.8898091809008417, 0.9087530782982292, 0.9673291534845134, 0.9479335911923354, 0.8986998420133397, 0.9918237827625036, 0.945719278696297, 0.9258962079122505, 0.9597160712931452, 0.9029081739750587, 0.9345820532382051, 0.9301229816887445, 0.9355039202444133, 0.8719738565234753, 0.93961354507863, 0.8950206719417774, 0.9103432204197873, 0.8911009210021136, 0.9495632318032259, 0.9169414392219816, 0.9121599555359768, 0.9174243886959564, 0.938947157577555, 0.8788417871177369, 0.895616536879333, 0.9219719741755202, 0.9026464719515334, 0.8938121461202825, 0.9343876213380301, 0.8654436954405585, 0.9277796369544351, 0.9052979627747852, 0.9198482213855593, 0.9540131082892762, 0.9038832738952527, 0.9247463969684083, 0.9042781433081604, 0.8642787728548279, 0.9085009676889231, 0.9002026564462238, 0.9783773558201758, 0.8761459937224145, 0.8821361559417181, 0.867738228847019, 0.924787577123339, 0.8690169410021747, 0.8887290058512316, 0.8581386344494788, 0.9136487176718909, 0.8676371702330977, 0.8852482898173364, 0.9090100168263947, 0.9506180100537356, 0.8437046126406048, 0.8501753933275974, 0.9138228453846363, 0.8588109348001562, 0.9336857974701368, 0.8931967661975093, 0.9171321939343553, 0.8812980788389688]"
