,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(66, 66)]",
module__conv_type,temporal,
module__dropout,0.358905629399366,
module__fc_hidden_layers,"[1936, 128]",
module__preprocess,,
train_loss,,"[4.014961481553741, 3.3790540479281503, 3.061831934144272, 2.861838576880953, 2.8209791160502644, 2.7662113571902003, 2.6684076285316305, 2.7029586789235904, 2.6092530289137295, 2.6194093163073178, 2.667034450064275, 2.641515989983472, 2.621303952038862, 2.567949189386386, 2.5359683273385256, 2.548427166047583, 2.4918177688282577, 2.4828250798646194, 2.51782025399695, 2.5016140882679494, 2.5562832520876317, 2.479464504760125, 2.5179280692671995, 2.4737247166606045, 2.519924099045682, 2.474974112703621, 2.433096659665852, 2.469678118968515, 2.373948207020989, 2.369747079865781, 2.358240237814843, 2.3770000760036165, 2.283376350568209, 2.231070558230082, 2.295056010716683, 2.2628967587428743, 2.3469847314389916, 2.3435722784729593, 2.355145596355372, 2.35657590754, 2.2944167647977327, 2.259580518239266, 2.25175625625603, 2.2591655787245615, 2.2879093579933594, 2.2395534912745156, 2.2275901823833957, 2.2308317358553524, 2.217742834247376, 2.194009756995993, 2.154457785950001, 2.2134985974298966, 2.1701551443809257, 2.186293501844755, 2.17852396795056, 2.140452575132337, 2.191337748299674, 2.094462691014902, 2.123269434838855, 2.146010914749263, 2.0777997286103824, 2.0686224905741697, 2.0989314069637675, 2.0465596034577356, 2.120718678987095, 2.094463581983754, 2.077553420627278, 2.0731484561526936, 2.088711270477501, 2.1004934717465, 2.0175390503080366, 2.088429734656347, 2.0513389340255532, 2.0930926629803315, 2.0093782097388324, 1.9723410677588284, 2.0128611888959, 2.004855322700015, 2.0207098295233843, 2.005618504935836, 2.005969944716878, 1.9763836451807923, 1.9242149028704576, 1.901127998539478, 1.9401320703686546, 1.9708193549760733, 1.9737789658452733, 1.9020734085972368, 2.010105076782506, 2.028238347500046, 1.8942699200385797, 1.9247537323045822, 2.0100201717461235, 1.9064098575900745, 1.9025207989937079, 1.9344148640458065, 1.938413487693478, 1.9431266251786365, 1.9451546751694873, 1.9425496000775022, 1.8671994151866964, 1.877200287201501, 1.8560651566022164, 1.93254927403665, 1.887804644645294, 1.9302861773209765, 1.967900705705029, 1.9523871197636187, 1.952522653375747, 1.8734083968090873, 1.8513781898053854, 1.7653956622287257, 1.873931593977647, 1.9154201431311164, 1.9134947364729953, 1.8678217258067489, 1.853554084581217, 1.8198584818885966, 1.816616082007715, 1.828866959307235, 1.8098254341610593, 1.9077102485649389, 1.7766133875286418, 1.725111529776586, 1.7923786238209132, 1.849491585656168, 1.7452998117674752, 1.7135624603039956, 1.8454823519223458, 1.7544404589831255, 1.820342968424391, 1.7219223709694453, 1.7944689770884137, 1.7282126248457068, 1.7309043035341825, 1.7720076850613646, 1.718821773639304, 1.717770438433153, 1.8001162332836145, 1.7438856044026927, 1.8013282894858504, 1.7470263024515729, 1.7477927377917633, 1.740672139763143, 1.6912053210197846, 1.73728986190693, 1.7720658227887456, 1.7103897751181572, 1.7487762658811947, 1.7407208260773235, 1.7361576327469077, 1.691070992133521, 1.7138409667391767, 1.7417538524363083, 1.7349651877360996, 1.6931755864321612, 1.705929166090052, 1.6803811076518886, 1.609446116954605, 1.6861161062483154, 1.644299529421077, 1.6196211741838842, 1.5709442552573878, 1.670382107154023, 1.6377282629582695, 1.6171246415617837, 1.619779061490171, 1.6505250657454622, 1.6239602069634234, 1.6766787909818293, 1.6456123413607795, 1.6150092304556816, 1.6226781981069458, 1.6390170832819562, 1.62452998349662, 1.5388331746320045, 1.6477101076545053, 1.5878420227524863, 1.655087003129066, 1.592648581273294, 1.6425206128342762, 1.5804960936709864, 1.5957044742010922, 1.623284607953419, 1.5387232212891697, 1.6071541410420442, 1.5913755886816565, 1.5900315868601864, 1.4991535605263389, 1.5791170415621043, 1.5858058541266675, 1.54530792406299, 1.5911542377030918, 1.5816895256612113, 1.515403517983093, 1.5556859956311353, 1.5105782774831518, 1.4870791823418383, 1.518089569372938, 1.5038506688410147, 1.4953430957647187, 1.5719288707009171, 1.5042369466755892, 1.5053306381596765, 1.4466615359447825, 1.494005967197161, 1.51520639830242, 1.478363370390067, 1.5179697203957736, 1.5372959598181106, 1.495446475255007, 1.5614401696964035, 1.5318679765929146, 1.546667691714961, 1.4817143772838204, 1.4619734369950488, 1.4802820684822537, 1.4474741914139089, 1.502048835359327, 1.4814406206153032, 1.3850359840889197, 1.4788037960010227, 1.446826867055801, 1.4934631448260622, 1.4344422449725671, 1.4157685705232712, 1.4370036390475456, 1.393624253585389, 1.3873707118061926, 1.401764170397683, 1.4642667446522355, 1.3930180878997538, 1.427343120579545, 1.4273667039209708, 1.4164406523998532, 1.4049055824390035, 1.3534163296337531, 1.3697112518468575, 1.409371776617561, 1.4553115699791954, 1.429746392604703, 1.4197691203541838, 1.434915756903632, 1.421702449032337, 1.4203230360799213, 1.3543383172481736, 1.3515102736982076, 1.3568311803373068, 1.3890161859966197, 1.3794464978294336, 1.3138939562560505, 1.2927181946978634, 1.3675718075507868, 1.387305304953588, 1.3854169501045537, 1.3934678335410322, 1.3132092888414975, 1.3400896013586967, 1.304267860561437, 1.3438037583363998, 1.3689829532581028, 1.3126119488925603, 1.428101629650432, 1.428039195450285, 1.379894319756642, 1.306681601528028, 1.3754349754035817, 1.4187567578574825, 1.3460604749433338, 1.3047771449263614, 1.3039514288047835, 1.3444919808981277, 1.3738352439307064, 1.393447375710989, 1.4163605532894246, 1.2902625160639916, 1.3315148075651342, 1.312386856832486, 1.2533158619739186, 1.3058165416322463, 1.3330957267096046, 1.3286072160467246, 1.3488301428067202, 1.2263081574485941, 1.2850002002164809, 1.2126224642773813, 1.2959572533881274, 1.2595711713351725, 1.2377648261700522, 1.2266455695808278, 1.2333617185122245, 1.3348546074075276, 1.2795243883408562, 1.3270039118553631, 1.2846759082264982, 1.264184726341152, 1.2418978884959726, 1.2140880816244666, 1.2279939594066671, 1.3253588666116571, 1.2943577567736309, 1.2641874733228444, 1.3175606236062758, 1.2648751073030609, 1.2773514472680285, 1.2630017605360762, 1.2947927700761197, 1.2251188610330483, 1.2558615370752264, 1.2702886348514888, 1.1864369169365694, 1.347008896241528, 1.2873785334974814, 1.170899797266848, 1.2239682745611966, 1.207343488070317, 1.2249064994455532, 1.2102641705603039, 1.2018248026540974, 1.2200361885317028, 1.2042673919816467, 1.1979556161773917, 1.1828406185543376, 1.2491488396432358, 1.194197509330132, 1.2175115345760117, 1.191492289477001, 1.2261901606943795, 1.2085670071989585, 1.1729862617619464, 1.259502052342042, 1.2338599953118548, 1.1492790172095473, 1.2118541057399244, 1.1987729611194662, 1.1974123214480965, 1.1862835817484039, 1.1551450559858643, 1.2180214771186226, 1.2213599810480842, 1.2381096741827007, 1.1924105570265784, 1.206761630399149, 1.1693744265504884, 1.2033614958412155, 1.1865659405500673, 1.1456837550753114, 1.2005623418242026, 1.1828578926464957, 1.1623384076276497, 1.120471834791878, 1.1583930877591833, 1.1387228923266564, 1.1087864470849378, 1.1536504187565548, 1.1630692043286068, 1.168383257352318, 1.1839829105632613, 1.1074423282362362, 1.15060586460753, 1.1368974647080967, 1.064708729010786, 1.0594087237337881, 1.1369238921902314, 1.124412581582979, 1.088870353896264, 1.1472017505495076, 1.074932650506841, 1.0834861695192224, 1.1122243568617025, 1.0872024393035726, 1.1127669815842587, 1.0474540451128818, 1.1226190314816602, 1.16815220069334, 1.0922922674631108, 1.0472145007065496, 1.1341296277064579, 1.1483735848713472, 1.1186214000962833, 1.073097715488059, 1.1389037982806534, 1.1005615046488297, 1.176270090201457, 1.0624233037520465, 1.1153832748675852, 1.1353301790638006, 1.143664144194884, 1.05227211973341, 1.0372631336797409, 1.1463986926914869, 1.1331982854933178, 1.127855941969076, 1.146034239114824, 1.1074489836288555, 1.09952570971726, 1.0647165754052714, 1.0181924430850844, 1.1198198469158311, 1.1138932817473806, 1.024547497316592, 1.0556890324820443, 1.0790147782520523, 1.0861450124797565, 1.0424211609799967, 1.00726727012954, 0.9936610823192119, 1.0963365448233249, 1.0786902697789187, 1.0641019861133112, 1.0816736405065754, 1.0731793516862829, 1.0601038915573517, 1.0657941398133661, 1.0178230473760925, 1.0487150223728319, 1.102982728352666, 1.0627138759359458, 1.020785293138096, 1.095375705546267, 1.087011560079909, 1.0350115533509006, 1.0466364029514996, 1.0339631145400119, 1.0493565266072635, 1.0790364949000364, 1.0336620382720565, 1.0424337544422848, 1.0147346240936677, 0.9455762020884682, 1.0461374293862051, 1.0261701398272505, 0.9660926269428348, 1.0029344225664818, 1.02366212774104, 1.019467649432276, 1.0205330284804048, 1.0576735107884931, 1.0356212216994667, 1.031001531319811, 1.0300374351484927, 1.064020552846508, 1.0200771579163612, 1.0001315394118573, 1.0255314196695022, 0.9847389284471096, 1.0421179474433722, 0.9424467952724597, 0.9631674698552185, 1.0375528425150524, 1.0164284607348875, 1.0006421500088392, 0.9707796395628898, 0.9976828820673257, 0.967663383667639, 0.9674363502647606, 1.040836110050738, 1.0135668662012427, 1.0143878801020583, 1.0215544627121649, 1.0080419833949537, 0.9919245888502382, 1.004207256327245, 1.024335264470536, 1.060841017605482, 1.0281459558216823, 0.996704874355669, 0.9734865275421584, 1.0069012172189982, 0.9682962648671027, 1.0590111712614696, 0.9874040975965747, 1.070242560208418, 0.9977156514147573, 0.961655661320181, 0.9974386099446026, 1.0307581652106577, 0.9503491031641216, 0.9453447371549, 0.9631872437822566, 0.944388384074834, 1.004303308580652, 0.9858926872297519, 1.0060916077883946, 0.9874808067071874, 1.0458473605686989, 0.9697480641578204, 0.9900353303993827, 1.0023020948059067, 0.9800566204021431, 1.0242838609195628, 0.9459967082635515, 0.9858662372953859, 1.0000833004196255, 1.0153576555968709, 0.9484892743630675, 0.924596760314324, 0.9160877260628922, 0.9420875764536261, 0.9684163693747768, 0.9700455926286922, 0.9551872839587732, 0.968904006687892, 0.9434610258407445, 0.9260198449812873, 0.9370197030161157, 0.9150905552282499, 0.8887810091522158, 0.9640014732044786, 0.9535298460021414, 0.9857160354854974, 0.9562015858459105, 1.0184345642725627, 0.9413751862182324, 0.9415015697708938, 0.9406109005499896, 0.9772360789982569, 0.9925004091106628, 0.9466291831407933, 0.985299100650758, 0.979326756875639, 0.9070377772483752, 0.94298592054775, 0.9351338010302858, 0.9266476688587137, 0.9557264312843367, 0.86986108942528, 0.9526642655131904, 0.9509207342171715, 0.9141833481301692, 0.9689651611682767, 0.9060789670558335, 0.9035316340496086, 0.9334084893467339, 0.9211585568784519, 0.9178431538258444, 0.9460615877471218, 0.8751511584701795, 0.9520273964299403, 0.9850864434230764, 0.9351937378073014, 0.9337513538684, 0.8636682495216413, 0.930251495227189, 0.8831040063345363, 0.9404381616956237, 0.8944364772366651, 0.9148396433318511, 0.8943879726075483, 0.8948984016343119, 0.8853305100475892, 0.9331577159536137, 0.9523718304257403, 0.9728349760777688, 0.9459392430695036, 0.8964351297343627, 0.8908053257561832, 0.900924484394419, 0.904427658443506, 0.856903294607394, 0.8603047698678769, 0.9117729560488221, 0.8953074214545748, 0.9662765234651364, 0.8331488230784275, 0.9163536390357854, 0.9082383857986142, 0.8497493344005592, 0.9093282426023759, 0.911341949349883, 0.8812234207614539, 0.8974282756476504, 0.9116831971960491, 0.8920938564403439, 0.8847569941555604, 0.8989666020479735]"
