,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(77, 11), (33, 11), (55, 11), (22, 11)]",
module__conv_type,temporal,
module__dropout,0.4237524006405488,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,,
train_loss,,"[2.7249980805812832, 2.6801108749470424, 2.6883615442373294, 2.6829895298565893, 2.6676321605630973, 2.683033241918158, 2.6579996249902926, 2.6596984030307773, 2.6623225815601366, 2.657807291185087, 2.6679109813389124, 2.6477248379539366, 2.661344209235947, 2.647335382237586, 2.655852850178782, 2.6523406865851484, 2.6547715831422485, 2.6475322820224707, 2.6544047856812756, 2.6438943339266148, 2.641303726752523, 2.644315010314956, 2.6404868434322237, 2.6402424634707673, 2.6396787758626195, 2.633204379600327, 2.6411961896472302, 2.6378877805447325, 2.64264100807234, 2.6285017254951484, 2.6198892572731554, 2.6175712841536933, 2.616233424571297, 2.599810488988162, 2.5934678057963394, 2.5818339940787967, 2.5586806885661475, 2.5428377755911336, 2.5327582655329333, 2.5303761112334295, 2.500927558417958, 2.503215823067967, 2.4724925121971917, 2.4345981342730556, 2.4029682430656516, 2.4271900881013697, 2.394183979227178, 2.358102629801995, 2.344711846405778, 2.2677446791939833, 2.277538470974097, 2.2408712786820444, 2.211974328934171, 2.1978936725447564, 2.2325300397037657, 2.167550355224683, 2.1571484839721182, 2.1638086344670286, 2.1746160375945722, 2.1402569374749016, 2.092801275335905, 2.1612122577468975, 2.136074773615891, 2.0833877502896674, 2.093745499878003, 2.1082405945334557, 2.014068935557669, 2.0686053509202798, 2.0249319223398423, 2.075066199431176, 1.9963776975784082, 2.0411821557881167, 2.019084285152314, 1.9464239781584387, 1.9922082206168006, 1.9644169571080727, 1.9507572602720875, 1.94807917091913, 1.952599613108924, 1.9902958012866332, 2.033577079722466, 1.9141222622901688, 1.8936265047291818, 1.908347642111939, 1.8912225548640482, 1.8947435289305834, 1.8633364380495954, 1.8752766630762006, 1.8217301996311852, 1.8891462803575372, 1.8343122602082766, 1.8461569747291469, 1.8425942162577067, 1.803541924427976, 1.8400912408764485, 1.7391155382207772, 1.7908810378268318, 1.7382938435034068, 1.77003897877125, 1.725571499293073, 1.7715962231446047, 1.7220396683466217, 1.8103104868797986, 1.739701552960136, 1.762934450121082, 1.7118769916235197, 1.7289151797739788, 1.7333182932896838, 1.7334591435973064, 1.7313469987975736, 1.7141357711924166, 1.6860939434104751, 1.7365899120418926, 1.635059510089665, 1.6573395671697622, 1.6965499753786808, 1.653430259606377, 1.6345707299734562, 1.624990507085468, 1.6378484753258993, 1.6709299703649423, 1.612729706938618, 1.667919476750496, 1.5762602425860717, 1.5627380098943187, 1.575699274074125, 1.6105245343759957, 1.602954014203546, 1.585584075549569, 1.566830413059275, 1.6081783122116837, 1.6053515922805228, 1.617778211631261, 1.5616926357537306, 1.578413833782464, 1.4746770821475892, 1.5216852264753091, 1.5583013967324955, 1.5480139942784168, 1.547308933516898, 1.5230830338737849, 1.4948993353343445, 1.511862846953692, 1.457643588536972, 1.5207635034610723, 1.4132457491408412, 1.5373112573660372, 1.5120344026026757, 1.486760182376087, 1.4345071435089405, 1.4505453029426965, 1.4507364904341271, 1.4417756464300073, 1.4794899473061804, 1.474289072718726, 1.3812421682479865, 1.4120899859934155, 1.4963706090429634, 1.4329676148522004, 1.422950080028512, 1.4120004389352587, 1.4174502095542811, 1.3864897525689142, 1.3823323735144415, 1.4447923515483205, 1.4083765750899695, 1.382970918016553, 1.4068168283541462, 1.4514842790634845, 1.3067926603286053, 1.4100942237659413, 1.4056321195505121, 1.3689111685156248, 1.4454625703831838, 1.4007706426449757, 1.3601004602360656, 1.3656948024659803, 1.3903528388815505, 1.4009488305871136, 1.3751735643656697, 1.3881442343764172, 1.3718627989578982, 1.3527523647488253, 1.3223537564621852, 1.3225476746380158, 1.3313053432167208, 1.3519835707312944, 1.306969050665792, 1.294085066632885, 1.2862572113519912, 1.3147658703990346, 1.3661649500210773, 1.3367919096359275, 1.3221450978683897, 1.319189216565122, 1.3257000353384523, 1.2781038627358328, 1.295826828284718, 1.3167221764168908, 1.2925762662070663, 1.2908085700522487, 1.3399383608714335, 1.324087745874862, 1.2829253514072319, 1.3048151707970488, 1.300899099339879, 1.2977562447484579, 1.289134839587308, 1.2961344196890499, 1.256618018042479, 1.2670800309552954, 1.256715303894645, 1.2327273229318128, 1.2669988391029938, 1.2055063776607349, 1.25245067600566, 1.2471047974871947, 1.293212604821015, 1.2386075722930292, 1.2460046488580163, 1.2209189514108756, 1.2757434198441013, 1.2209499181177434, 1.2532255815931876, 1.2394445487463899, 1.1886080620493076, 1.1816635835732945, 1.2103770068336612, 1.2320185069055714, 1.2295440975809695, 1.1693202942122165, 1.2197209728005072, 1.1898015807521698, 1.1658613443145165, 1.1601605726275108, 1.159861696236861, 1.1980497315597718, 1.2144874810484076, 1.2272946661314905, 1.1737845501610589, 1.1895945696330505, 1.2747268668726388, 1.2185382447756747, 1.172381750543721, 1.180500240137763, 1.1380031689987147, 1.1823105174148163, 1.1860560588359375, 1.1225937779300825, 1.173444017524095, 1.1868834661335987, 1.2198062223006718, 1.1550014497455894, 1.1459000760024276, 1.1125990385270326, 1.1287226911573254, 1.145312930553205, 1.1606410122238981, 1.133895391564282, 1.1272800611233458, 1.133986530221346, 1.1377528097563, 1.0906483779972396, 1.135281463674448, 1.1527950092504757, 1.1424892423701356, 1.1159075866879122, 1.089928749149183, 1.1451200823926146, 1.1250431324221746, 1.1190323255977686, 1.1035434557223573, 1.1266312581971933, 1.0758655239918464, 1.0933323945989968, 1.1284199329496463, 1.1212545871964088, 1.1195364050043672, 1.0508903857030125, 1.1325705253355083, 1.0827772299238303, 1.088788994696418, 1.0613194400582666, 1.044200041583229, 1.0953185601918254, 1.1249492113353887, 1.0836304363089186, 1.0529483260732069, 1.1020596847726933, 1.1101682938212265, 1.1121987675794394, 1.0437037836943142, 1.1160125719227392, 1.100351319046865, 1.0777903338024775, 1.0175182323712817, 1.0390984585241587, 1.0967651418588618, 1.107342067994787, 1.0463075821392804, 1.118821238473244, 1.0804904471577303, 1.0638759181520134, 1.031990107087933, 1.050598553961808, 1.0117372067302781, 1.0704761644873744, 1.0608968142710475, 0.9616235401104917, 1.0833287319388953, 0.9951252743415355, 1.044717036438631, 0.9752900965863174, 1.0457393620539674, 1.0094367670140896, 1.0640643246479053, 1.044762477321735, 1.073405198688342, 1.0305929917114303, 1.0864959674115588, 1.016799201061223, 1.043710913419494, 1.0502150940482036, 1.0470062652038081, 1.0415480172439076, 1.0144246377201467, 1.0364309241842833, 1.067578765150443, 0.9838318866072536, 1.015016956611593, 1.008679719012557, 1.0431996098611078, 1.0626996620786775, 1.0221464999371475, 1.0626204855403036, 1.0716188932635442, 1.0523827550385982, 1.0866190878328392, 0.9926490745828975, 1.0488647275296854, 1.0100620831286713, 1.002448969155808, 1.1217784175400096, 0.9862982238337211, 1.0167310557994163, 0.9779308856508844, 1.0363752969304911, 0.9830495455841013, 1.049419378867163, 0.9872173269398518, 0.9934076275586853, 0.9623383374255476, 0.9942543152665955, 0.971454725974563, 1.005164421671738, 0.9926311497624042, 0.9842500142803321, 1.007877826518572, 0.964962345459234, 1.080126690566253, 0.9759483023029434, 0.9538062339338462, 0.9800031400277593, 0.9717353652944005, 0.9324229173182982, 0.9580172586601668, 0.9756299740311271, 1.0243616065689873, 1.0221478236306736, 0.9750452835589676, 0.9437862956489474, 0.9882331357998155, 1.0053870910859315, 1.0285028302405634, 0.9740389066894428, 0.929657598087946, 0.9599322387527341, 1.0079504791880252, 0.9222695423618202, 0.9468788132286623, 0.9191019461634529, 0.9375992205076429, 0.947124460204733, 0.9845291757032892, 0.9709702396874708, 0.9908798211921971, 0.9892057472977992, 0.9610364766391685, 0.9755736078862621, 0.9722484930761739, 0.9355410897353157]"
