,params,data
batch_size,128,
lr,0.001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(22, 1)]",
module__conv_type,regular,
module__dropout,0.4,
module__fc_hidden_layers,"[1024, 128]",
module__preprocess,,
module__temporal_attention,,
train_loss,,"[3.1640632152557373, 2.6799776994265043, 2.608126218502338, 2.5608437097989594, 2.5023749314821684, 2.4252795916337235, 2.2781275840905995, 2.256299983538114, 2.207906277363117, 2.139546431027926, 2.014180564880371, 1.9535295963287354, 1.8784967220746553, 1.932777610191932, 1.8710121576602643, 1.9322836013940665, 1.7711859189547026, 1.8205541390639084, 1.7776693215736976, 1.757973650785593, 1.7185578694710364, 1.7183204504159781, 1.6885698850338275, 1.6510945668587318, 1.59920743061946, 1.56662571980403, 1.5821314004751352, 1.521382869206942, 1.4405380230683547, 1.4927095651626587, 1.4576308745604294, 1.431882434624892, 1.6132838836083045, 1.438723611831665, 1.408461983387287, 1.3789838295716506, 1.4028561170284564, 1.36688407934629, 1.3919519387758694, 1.3789467353087206, 1.3474179084484394, 1.347321185698876, 1.3493426075348487, 1.3287037005791298, 1.3411910864023062, 1.2840322503676782, 1.2567741137284498, 1.2666751669003413, 1.217355416371272, 1.216882269199078, 1.227887329688439, 1.1938672221623934, 1.1780782112708459, 1.0937692843950713, 1.1200676184434157, 1.1002088436713586, 1.0634457368117112, 1.0776158497883723, 1.065519903256343, 1.1361871059124287, 1.1243788636647738, 1.1165673586038443, 1.0594252907312833, 1.1274153122535118, 1.0866488933563232, 1.1224410607264592, 1.0912759606654827, 1.077108292396252, 0.9991839977411123, 1.0027954725118784, 0.9996540399698111, 0.9897897977095383, 0.9313654688688425, 0.937861809363732, 0.9915869158047896, 0.9812578458052416, 1.0490705329638261, 0.9867792725563049, 0.9787951120963463, 0.8786971293962919, 0.9449254274368286, 0.9740441191654939, 1.0036143412956824, 0.9713414063820472, 0.9203794717788696, 0.9842552799444932, 0.9546154673282917, 0.9409739443889031, 0.9446463259366843, 0.9276862126130324, 0.9587105567638691, 0.8925085562926073, 0.8992932072052588, 0.9144955341632549, 0.8699086248874665, 0.8655012781803425, 0.8887283710333017, 0.8816278531001165, 0.8889137964982253, 0.9224475860595703, 0.9287958025932312, 0.904550810960623, 0.88742516040802, 0.8628069474146917, 0.8537402290564317, 0.8695128853504475, 0.8444061517715454, 0.8876175733713003, 0.8762288588743944, 0.7985772820619437, 0.7961877309359037, 0.8496068835258483, 0.8160428505677443, 0.850921946305495, 0.8177646128030923, 0.8639891294332651, 0.8708300902293279, 0.8088407053397252, 0.8604603749055129, 0.8537527762926542, 0.8036339906545785, 0.8073910474777222, 0.864330100096189, 0.813083212192242, 0.8311242378675021, 0.8477496679012592, 0.7913482189178467, 0.7890145127589886, 0.792009726854471, 0.8627738530819232, 0.7853478706800021, 0.8304002725161039, 0.8793227195739746, 0.8939371558336111, 0.8122268658417922, 0.8716055576617902, 0.8181929267369784, 0.8218542410777165, 0.7917531912143414, 0.8609750743095691, 0.8475115739382231, 0.8166803543384259, 0.8050787815680871, 0.74951515014355, 0.7790147561293382, 0.7527932212902949, 0.8028545315449055, 0.8043755824749287, 0.8296463929689848, 0.7503811973791856, 0.7783708517368023, 0.822741018808805, 0.7667775126603934, 0.8364217391380897, 0.7677360791426439, 0.7960888477472159, 0.8120770940413842, 0.8169836246050322, 0.7510863166589004, 0.7914588185457083, 0.8072042006712693, 0.7613875003961417, 0.7557135513195625, 0.7533222125126765, 0.7856805021946247, 0.7575695741635102, 0.7506728374041044, 0.782150175021245, 0.7913066955713125, 0.7902174353599548, 0.7647471758035513, 0.754928274338062, 0.8111014411999629, 0.8118721943635206, 0.7316621523637038, 0.7021576789709237, 0.7717282625345083, 0.7480700877996591, 0.741595472739293, 0.8029561061125535, 0.7845105056579297, 0.742761909044706, 0.7057937209422772, 0.7156775201742466, 0.7765737139261686, 0.755162158379188, 0.784883754986983, 0.7905334656055157]"
valid_acc,,"[0.10526315789473684, 0.18421052631578946, 0.19548872180451127, 0.22556390977443608, 0.2593984962406015, 0.37218045112781956, 0.36466165413533835, 0.40601503759398494, 0.4774436090225564, 0.4548872180451128, 0.5676691729323309, 0.5075187969924813, 0.4774436090225564, 0.5827067669172933, 0.5526315789473685, 0.6052631578947368, 0.6203007518796992, 0.5939849624060151, 0.6616541353383458, 0.6165413533834586, 0.6390977443609023, 0.6578947368421053, 0.6353383458646616, 0.7030075187969925, 0.6954887218045113, 0.6917293233082706, 0.7105263157894737, 0.7330827067669173, 0.7330827067669173, 0.7293233082706767, 0.7593984962406015, 0.6691729323308271, 0.7406015037593985, 0.7180451127819549, 0.7406015037593985, 0.8045112781954887, 0.7255639097744361, 0.7518796992481203, 0.7744360902255639, 0.7631578947368421, 0.8195488721804511, 0.7631578947368421, 0.7969924812030075, 0.7744360902255639, 0.7819548872180451, 0.8308270676691729, 0.8270676691729323, 0.8195488721804511, 0.8157894736842105, 0.8308270676691729, 0.8082706766917294, 0.8082706766917294, 0.8270676691729323, 0.8195488721804511, 0.849624060150376, 0.849624060150376, 0.8308270676691729, 0.8533834586466166, 0.8533834586466166, 0.8571428571428571, 0.849624060150376, 0.8421052631578947, 0.8421052631578947, 0.849624060150376, 0.8383458646616542, 0.8796992481203008, 0.8308270676691729, 0.8383458646616542, 0.8759398496240601, 0.8533834586466166, 0.868421052631579, 0.8759398496240601, 0.8646616541353384, 0.8571428571428571, 0.8609022556390977, 0.8383458646616542, 0.8721804511278195, 0.8533834586466166, 0.8759398496240601, 0.868421052631579, 0.8383458646616542, 0.868421052631579, 0.8571428571428571, 0.868421052631579, 0.849624060150376, 0.8909774436090225, 0.8721804511278195, 0.8571428571428571, 0.8721804511278195, 0.8383458646616542, 0.8834586466165414, 0.8533834586466166, 0.8721804511278195, 0.8872180451127819, 0.868421052631579, 0.849624060150376, 0.8834586466165414, 0.8796992481203008, 0.8646616541353384, 0.8834586466165414, 0.8796992481203008, 0.8909774436090225, 0.8721804511278195, 0.8947368421052632, 0.8533834586466166, 0.8834586466165414, 0.868421052631579, 0.8759398496240601, 0.8872180451127819, 0.8909774436090225, 0.9097744360902256, 0.8759398496240601, 0.8984962406015038, 0.8834586466165414, 0.8609022556390977, 0.9022556390977443, 0.8834586466165414, 0.868421052631579, 0.8759398496240601, 0.8909774436090225, 0.8872180451127819, 0.8721804511278195, 0.8796992481203008, 0.8984962406015038, 0.8721804511278195, 0.8984962406015038, 0.8872180451127819, 0.8947368421052632, 0.8947368421052632, 0.8646616541353384, 0.8533834586466166, 0.9022556390977443, 0.868421052631579, 0.8759398496240601, 0.8834586466165414, 0.9022556390977443, 0.8909774436090225, 0.9060150375939849, 0.8872180451127819, 0.8947368421052632, 0.868421052631579, 0.8796992481203008, 0.8834586466165414, 0.8872180451127819, 0.849624060150376, 0.8872180451127819, 0.8721804511278195, 0.8947368421052632, 0.8834586466165414, 0.8984962406015038, 0.8834586466165414, 0.8721804511278195, 0.8947368421052632, 0.8834586466165414, 0.8571428571428571, 0.8834586466165414, 0.868421052631579, 0.9022556390977443, 0.8947368421052632, 0.8872180451127819, 0.8984962406015038, 0.8909774436090225, 0.8834586466165414, 0.8721804511278195, 0.9022556390977443, 0.8834586466165414, 0.9022556390977443, 0.8609022556390977, 0.9172932330827067, 0.8872180451127819, 0.8909774436090225, 0.8909774436090225, 0.8909774436090225, 0.8834586466165414, 0.9022556390977443, 0.8759398496240601, 0.8909774436090225, 0.8834586466165414, 0.8834586466165414, 0.8984962406015038, 0.8947368421052632, 0.8909774436090225, 0.9060150375939849, 0.8796992481203008, 0.9022556390977443, 0.8909774436090225, 0.8759398496240601, 0.8759398496240601]"
valid_loss,,"[2.63363908645802, 2.597144774028233, 2.5187591215721645, 2.4089327252897106, 2.399785536572449, 2.201362321251317, 1.9634232270090204, 1.9621030405948037, 1.8975811085306613, 1.9226032074232746, 1.6397239570330857, 1.6773294775109542, 1.6831512110573905, 1.5711401978829749, 1.6037490215516628, 1.5582472435513834, 1.559702365918267, 1.5254084633705312, 1.3839707190829111, 1.4071038629775656, 1.3900857563305618, 1.3533523369552498, 1.3014452054088277, 1.281247872158997, 1.2422486597434022, 1.168113453047616, 1.1825191885008848, 1.0938293700827693, 1.0613449067997753, 1.067071725551347, 1.0416663472813772, 1.169060244596094, 1.1318110299289674, 1.0316833069449978, 1.0299533480092098, 0.9387135944868389, 1.0109734709997822, 0.9490294895674053, 0.8760287205975755, 0.925345161803683, 0.8019967106051911, 0.9063961057734669, 0.846282894898178, 0.9030460674959914, 0.8388806702499103, 0.8122312153192391, 0.802866252293264, 0.7539173718681909, 0.7505652680432886, 0.7345114560951864, 0.6985044232884744, 0.8090429664554453, 0.7042305675664342, 0.6880065346122685, 0.6425968569920475, 0.6359538297007855, 0.6389432078913638, 0.6426523314382797, 0.609132587013388, 0.6210050219880011, 0.6310054960107445, 0.5923275777271816, 0.5836333645913834, 0.5808755733016738, 0.6554302945172876, 0.5461055506440929, 0.6392325938196111, 0.5635878107601539, 0.5267378427928552, 0.545823255427798, 0.5127728209459692, 0.5020982779954609, 0.5104931843908209, 0.5433875282007948, 0.4918320577843745, 0.5663688187312362, 0.517098207222788, 0.49599917669941607, 0.47883819144471246, 0.49494448147322, 0.5605359323938987, 0.502186990322027, 0.500635666506631, 0.4753494007246835, 0.5419782400131226, 0.5005632513447812, 0.4648491574409313, 0.5181186010963038, 0.5033993510375345, 0.552822766895581, 0.4509513373661758, 0.5261908231821275, 0.46025199504723224, 0.4725784314306159, 0.45964208626209346, 0.4933885990228868, 0.456167545533718, 0.47920725309759155, 0.4683759078047329, 0.4341713651678616, 0.43197426222320784, 0.41751827960623833, 0.4779317119067773, 0.4372122467012334, 0.48324739305596603, 0.41951386821001097, 0.436868407224354, 0.4316770662938742, 0.4085918687340012, 0.3862160094698569, 0.4041856988928372, 0.4304365641192386, 0.4365800708756411, 0.41893437571991654, 0.5370636909527886, 0.42571081120268744, 0.47931866358993647, 0.460339251317476, 0.46747523770296484, 0.4439764408240641, 0.44662177204189446, 0.539365590066838, 0.5092762027468, 0.42764174041891456, 0.46463881309767413, 0.4415191999055389, 0.46628716834505696, 0.4195141716110975, 0.441047844133879, 0.45621203659172344, 0.4828008561206043, 0.40713974273294434, 0.4637411640102702, 0.43185877082939433, 0.4453897341749722, 0.3808473940182449, 0.41412720734015446, 0.35226408207326904, 0.4042300156184605, 0.40418033581927304, 0.4522347943227094, 0.43392067789135125, 0.42769652649872286, 0.47088776495223655, 0.5095031135960629, 0.4164054357915893, 0.4177644387223667, 0.4302542357516468, 0.41499045648072896, 0.3989789786195396, 0.4446516780924976, 0.4419467216147516, 0.4848662242853552, 0.43641591923577444, 0.503921541952549, 0.4809954300858921, 0.5287752299380482, 0.45370565141950336, 0.41092391345733986, 0.43192674163588907, 0.40280927616850776, 0.46133513065209064, 0.48035150721557157, 0.5298142621391698, 0.4800393357312769, 0.4525553767842458, 0.39914149673361526, 0.4780020243243167, 0.446875158109163, 0.47057919573963136, 0.45787449618031206, 0.4205018174379392, 0.4416332325540987, 0.48576238146401884, 0.45007959882119547, 0.4552355103922966, 0.4527372180071092, 0.480387086258795, 0.4863827425734441, 0.45217838860992204, 0.44406492279884513, 0.4325405628161323, 0.42763713338321313, 0.4597598511473577, 0.4285189854471307, 0.4616571879924688, 0.4449877913733174, 0.47660373296952785]"
