,params,data
batch_size,128,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(22, 1)]",
module__conv_type,regular,
module__dropout,0.1,
module__fc_hidden_layers,"[1024, 128]",
module__preprocess,,
module__temporal_attention,,
train_loss,,"[2.7235973000411913, 2.6309518372062075, 2.5860828679988983, 2.508392588205915, 2.3710256328271284, 2.2208103847320437, 2.078602053933597, 1.962212462933675, 1.8602354399409005, 1.7496579514456758, 1.6506827726144269, 1.5976155879518141, 1.5436388849639526, 1.448497630104666, 1.448867574090802, 1.4226020575714844, 1.3469368021838604, 1.363281812493785, 1.315824065611525, 1.2577293066882262, 1.2329014722941358, 1.2183344391649669, 1.2233622394766976, 1.1640018513291988, 1.1537105505793972, 1.0607162747213637, 1.049681722831543, 1.0775188464138166, 1.0433274946111997, 1.0297259388350157, 0.9951825076061069, 1.0619338916312262, 1.0023847157055088, 0.9676921167245401, 0.9801039566338692, 0.9372476616464591, 0.9328660652342035, 0.9351162352777237, 0.8979110896415601, 0.8871915105669459, 0.8844529006139918, 0.8281611399966633, 0.830214553447324, 0.8359962834633966, 0.8034602114492374, 0.8270897348263765, 0.8346491691931066, 0.8024741671156357, 0.793173190324382, 0.828271397911048, 0.8022534376319845, 0.7494542151761101, 0.8029413886876432, 0.8028214905951369, 0.789274913805477, 0.7272248967236675, 0.7336455244037764, 0.7455438637424271, 0.7673619426751114, 0.7308684790168785, 0.7102795214920978, 0.6880529009872165, 0.6947421495096828, 0.6699104041118786, 0.679256871500116, 0.6432046571909293, 0.6957607728202794, 0.6842473268394397, 0.6633537094485404, 0.6889757436702849, 0.6298780775093094, 0.6524594744790871, 0.6539136678638879, 0.6189468375601297, 0.655743180102276, 0.6585887621132716, 0.6561183391226586, 0.5790483655263092, 0.5884677418485269, 0.6464617428487018, 0.6649772192742479, 0.6258819725053111, 0.6021851811926601, 0.5564294269918594, 0.5907325242770394, 0.5594511457524771, 0.6113185151681433, 0.6279464363049819, 0.5473960028114969, 0.5535279079255407, 0.5788151879761794, 0.5850658023964317, 0.5529783902605718, 0.527909210390133, 0.5602502825166261, 0.5117151370481386, 0.5318719484162491, 0.5416404820484799, 0.5301622098363671, 0.5400096870865763, 0.545420458871338, 0.4877601115321105, 0.5385000153044802, 0.5449644589114945, 0.493947437786346, 0.48853704241693996, 0.48361415811792, 0.4697601910283311, 0.5154426844502503, 0.4759181444170839, 0.5315552170063645, 0.48402807726296637, 0.5035257330316403, 0.4534026238920595, 0.4660865785867176, 0.47757171768619966, 0.4401369028179893, 0.49245968263499673, 0.47456138938178705, 0.4542391388949926, 0.46099099923394027, 0.4417671531324313, 0.5171962571075396, 0.45880440432903974, 0.41673392395235737, 0.45085083529367453, 0.505196255748943, 0.4820144682492807, 0.4400133633562055, 0.4318991682199649, 0.4800521692298675, 0.4124364188293444, 0.42969849233325, 0.4392935971046845, 0.43289172198483855, 0.4204782696152741, 0.4334625719145556, 0.39936690782550205, 0.4649480134535019, 0.40665469325069736, 0.41718139450041636, 0.40426979379282907, 0.4135964216376359, 0.42045328771117557, 0.4032102853174283, 0.3961783338635158, 0.40389566391162524, 0.35359374705011404, 0.43135413919699866, 0.40505093107076934, 0.40190885998272874, 0.4002950513282725, 0.37117613716038456, 0.37209467327903945, 0.3879306147467277, 0.37483415179362556, 0.3566706279627299, 0.3702541655296322, 0.3456645503024661, 0.3865270693352541, 0.3429733647622247, 0.354304132841735, 0.3474398914091182, 0.34784657124691176, 0.312645761798942, 0.37248126738038234, 0.38926458438924594, 0.377283258004853, 0.34828969320921116, 0.379669816332523, 0.37088352158365057, 0.36251902714815426, 0.3846494750576908, 0.3481961321246727, 0.3669773064102838, 0.3525435856680362, 0.3309926714436809, 0.34164903464652846, 0.34728004618062064, 0.3437461559897813, 0.3257501392010653, 0.34642225040675756, 0.29856509708608864, 0.34133517455871465, 0.32977308221268725, 0.31374671949318805, 0.3172394418543228, 0.33240682158644214, 0.320509787351895, 0.3530839246757665, 0.31306112841787986, 0.33148593679392546, 0.3139345166376299, 0.3329630828857078, 0.30907184683595224, 0.2934303651138868, 0.3084694187762529, 0.3084716399081273, 0.3321818971038437, 0.3255775674647946, 0.29931237285922746, 0.2805434267298747, 0.31396237448015313, 0.32811063127261186, 0.3278291708540161, 0.30517377307160787, 0.30016570261301156, 0.2819320521425674, 0.3199754691120026, 0.30021226927137057, 0.30522349004443167, 0.3436661184005847, 0.27909138858833643, 0.3005508417183109, 0.30416706160040113, 0.30610463022470014, 0.26216139401041694, 0.30169227199698734, 0.29622197987137794, 0.2525939298892084, 0.26466534892947025, 0.25783144716284345, 0.26995672307028207, 0.25278536186667155, 0.2625260331760108, 0.2717593701146579, 0.24806032014883675, 0.25470841618023965, 0.2543582120099741, 0.28222401978360356, 0.26471697292885565, 0.261058824292521, 0.2789399602972007, 0.280195015243735, 0.2785829336639211, 0.2659372685478927, 0.2470043235307239, 0.26663595572557736, 0.24731729579704753, 0.26153515899101204, 0.27152968420647977, 0.25800576854736956, 0.23644226630586024, 0.26335614188202977, 0.23686716354145212, 0.2495419861789968, 0.2329688664386183, 0.25180980292623945, 0.2352923214664606, 0.2380359220344441, 0.24521626606512023, 0.24530161042607368, 0.24900052275045217, 0.2301430450779217, 0.2585344889150229, 0.23507398967411974, 0.24797805892545138, 0.2307674707585407, 0.24533160304244497, 0.23407206955606497, 0.23242177810308798, 0.2319892284735021, 0.23502126473514764, 0.22654383595921923, 0.24016917238546953, 0.24135818756851982, 0.21695693708977712, 0.23326269237326386, 0.2260982988260894, 0.2285806351161484, 0.2197321321203317, 0.2136806981507456, 0.2057147942533525, 0.23528454006863372, 0.23500419808166972, 0.21166943072356592, 0.22885936807830326, 0.23897597746249005, 0.2117145256193911, 0.20804357775607782]"
