,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(44, None), (132, 22), (132, 22), (88, 22)]",
module__conv_type,regular,
module__dropout,0.2455671179748622,
module__fc_hidden_layers,"[1936, 256]",
module__preprocess,LSC,
module__temporal_attention,dot_attention,
