,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(70, None), (90, 1), (107, 1), (122, 1)]",
module__conv_type,regular,
module__dropout,0.41956458131078966,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,LSC,
module__temporal_attention,,
