,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(66, None), (66, 22), (132, 22), (132, 22), (66, 22), (22, 22)]",
module__conv_type,temporal,
module__dropout,0.42233681576000076,
module__fc_hidden_layers,"[1936, 128]",
module__preprocess,LSC,
module__temporal_attention,dot_attention,
