,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(132, None), (44, 22)]",
module__conv_type,temporal,
module__dropout,0.29837632956413745,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,LSC,
train_loss,,"[2.708122524848351, 2.6453293066758374, 2.6194833608774037, 2.5636201308323785, 2.423241211817815, 2.2528046754690316, 2.1128195249117336, 2.0362589836120604, 1.9968909208591168, 2.00622639472668, 1.885523168857281, 1.8514128519938542, 1.7918659118505624, 1.671069203890287, 1.6847611023829534, 1.5894749953196599, 1.6276796652720524, 1.5809861219846286, 1.5276646100557767, 1.5882129146502568, 1.544724462582515, 1.5358372614933895, 1.438462682870718, 1.5059966802597047, 1.4406204810509315, 1.4037996420493493, 1.4044060468673707, 1.3741620925756601, 1.4074579899127666, 1.3142461189856895, 1.3780275762081147, 1.366826765353863, 1.2999346347955556, 1.2808654977725102, 1.2859562415343064, 1.3266121460841251, 1.2421922555336586, 1.3020017550541805, 1.2067609988726102, 1.24320730979626, 1.252349670116718, 1.1574452528586754, 1.2347095342782828, 1.17577008834252, 1.1471152443152208, 1.2069228704159076, 1.2023802867302529, 1.1233513978811411, 1.0994219284791213, 1.0690920554674588, 1.0500284378345197, 1.1319092768889207, 1.1042754549246567, 1.064303940993089, 1.1016771133129413, 1.0520536202650803, 1.0787478355260995, 1.018391702725337, 1.022027376981882, 1.0253125942670382, 1.017534233056582, 0.9566237999842717, 1.0604209322195786, 0.9671134884540852, 0.9622596594003531, 0.9488163581261269, 0.963645889208867, 1.040841608781081, 0.9198947154558622, 1.0259354985677278, 0.9677661217175997, 0.8700733450742868, 0.8702756716654851, 0.9601971433712886, 0.9227656671634087, 0.9535406186030462, 0.93840380356862, 0.8632527122130761, 0.8705967252071087, 0.9068034593875591, 0.8413019432471349, 0.9388916914279645, 0.8461715817451477, 0.8300532473967626, 0.8701860693784861, 0.8530118557123038, 0.8444454229795015, 0.8490880833222316, 0.9112491946953993, 0.8571531286606422, 0.850540436231173, 0.8101088643074036, 0.8913020867567796, 0.8097231305562533, 0.8413364754273341, 0.8389965919347909, 0.7994926434296828, 0.8083864056147062, 0.8063263966487004, 0.7198834272531363, 0.793722541974141, 0.8126844461147602, 0.801879305105943, 0.7940242895713219, 0.7590813196622408, 0.7922378274110647, 0.7511609187492958, 0.7759266266456017, 0.7108436382733858, 0.73760140308967, 0.7095448805735661, 0.7305404818975009, 0.768232073692175, 0.7112259360460135, 0.7433322842304523, 0.7315026512512794, 0.7309049395414499, 0.7161002869789417, 0.7309359119488643, 0.682930489228322, 0.7056272332484905, 0.7302957057952881, 0.6566470751395592, 0.6536324647756723, 0.7432617595562568, 0.6576627868872422, 0.6909238388905159, 0.6557267390764676, 0.6098188654734538, 0.7105112791061401, 0.6934568661909837, 0.6914117574691773, 0.7149098653059739, 0.6508664965629578, 0.6447203049292931, 0.6677575446092165, 0.6994982471832862, 0.6776254498041593, 0.6552726493431972, 0.6227943163651687, 0.6191684314837822, 0.6544922264722678, 0.6030576999370868, 0.5940028690374815, 0.7076638758182525, 0.6244395875013792, 0.6311400945370014, 0.678122485600985, 0.6215423932442299, 0.6937519651192885, 0.6125008610578684, 0.5914982593976534, 0.6067297788766715, 0.5882710310129019, 0.6896162308179415, 0.6035523487971379, 0.6245761976792262, 0.6180649537306565, 0.6584298202624688, 0.5886399617561927, 0.6314220867477931, 0.6055067429175743, 0.5575812156383808, 0.6617666771778694, 0.6396430065998664, 0.6042776006918688, 0.5877706899092747, 0.5971927147645216, 0.602555107153379, 0.6269200563430786, 0.5887026823483981, 0.6075289845466614, 0.5907324525026175, 0.6076430737972259, 0.572378592307751, 0.6249785680037279, 0.5986799561060392, 0.5410824216329134, 0.6153887271881103, 0.6212157075221721, 0.5356405175649203, 0.5699818093043107, 0.5726050519026242, 0.5742505775048182, 0.5614119474704449, 0.5717590093612671, 0.5610974669456482, 0.5324772921892312, 0.5445885181427002, 0.5647029798764449, 0.5156695375075707, 0.5772128655360296, 0.6070506031696613, 0.5756930409715726, 0.5280010535166814, 0.5749185195335975, 0.5708622180498564, 0.6230061430197495, 0.5640252232551575, 0.6038066607255203, 0.5810528241671049, 0.5929040991342984, 0.5333737941888662, 0.5495604670964754, 0.5098430537260495, 0.5630864079181964, 0.5435443007029019, 0.5488182581388034, 0.5117509080813482, 0.487375754576463, 0.49690472804583036, 0.5627930485285245, 0.5589548298945793, 0.5793100329545828, 0.6075407770963815, 0.5919926689221309, 0.5284263019378369, 0.4648453556574308, 0.5716311083390162, 0.5474499078897329, 0.5330993689023531, 0.5172250747680665, 0.5660209839160626, 0.5106492409339318, 0.5535327966396625, 0.5315106520285973, 0.5786928406128516, 0.5444773022945111, 0.6035615471693185, 0.5584012517562279, 0.5547964306978079, 0.526735415825477, 0.499873096209306, 0.5287433981895446, 0.5331158592150762, 0.5043319161121662, 0.533496983234699, 0.5163546355871054, 0.5248364471472227, 0.49036202751673186, 0.5167948649479792, 0.49306806784409746, 0.5102359643349281, 0.5127679925698501, 0.5218948460542239]"
