,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(132, None), (66, 66)]",
module__conv_type,temporal,
module__dropout,0.5132013578501974,
module__fc_hidden_layers,"[1936, 256]",
module__preprocess,LSC,
train_loss,,"[2.803636884689331, 2.693673823429988, 2.667732594563411, 2.672071361541748, 2.6531125142024115, 2.609565313045795, 2.586076696102436, 2.5216789685762846, 2.447132818515484, 2.3971829634446364, 2.344428007419293, 2.3038934560922475, 2.2579465095813456, 2.2342509012955887, 2.2189030408859254, 2.1815744950221134, 2.2091169100541337, 2.0950213248913103, 2.115570431489211, 2.0830073796785795, 2.0088368544211757, 2.065268740287194, 2.0640623569488525, 1.9908789047828088, 1.9611712620808528, 1.9207142353057862, 1.9561055311789879, 1.9271855977865366, 1.9098182990000798, 1.8690291276344886, 1.9144029122132522, 1.8227313903661875, 1.8450731552564181, 1.8309366079477163, 1.8262453996218169, 1.7247627606758704, 1.782867426138658, 1.8410655021667481, 1.781370419722337, 1.7133786073097816, 1.7851777131740862, 1.792158554150508, 1.7206753217256987, 1.7125061227725102, 1.679560112953186, 1.694082727799049, 1.6524482360252968, 1.6829208594102125, 1.6760611864236685, 1.5636219336436346, 1.6424850812325111, 1.6310539190585798, 1.62783393401366, 1.574194543178265, 1.5804266929626465, 1.6013096405909613, 1.5767011825854962, 1.6003690371146568, 1.56823282792018, 1.5799145148350642, 1.6062960716394277, 1.4978325256934533, 1.5144190678229699, 1.5737205211932843, 1.5070593540485089, 1.4794775119194619, 1.5217227037136372, 1.4566576279126682, 1.484717398423415, 1.4959595790276161, 1.5214881933652438, 1.4648394878094013, 1.503233788563655, 1.4302076963277963, 1.4083252540001503, 1.4406876784104568, 1.402221283545861, 1.4547049320661105, 1.44952879685622, 1.5154579932873065, 1.387334240399874, 1.4248339029458852, 1.4005691528320312, 1.4159722896722646, 1.4286861749795767, 1.4262753266554613, 1.4621754701320941, 1.379084798005911, 1.3850577757908749, 1.3196969655843882, 1.361923254453219, 1.365240478515625, 1.3412302622428307, 1.3214572246258076, 1.318965220451355, 1.3712605586418738, 1.3385211632801937, 1.3858371221102201, 1.3073553708883432, 1.322898373237023, 1.407078784245711, 1.3265797541691706, 1.325956918643071, 1.311006991679852, 1.3227510158832256, 1.2649635645059438, 1.2541072662060078, 1.3426926044317393, 1.2853732897685124, 1.312258947812594, 1.3246099453706008, 1.3244615683188805, 1.292552614212036, 1.3057378218724178, 1.2819426866678092, 1.2567328563103308, 1.3003606392787053, 1.2848614069131705, 1.2885092900349544, 1.2405021282342763, 1.2529166239958542, 1.2273582256757296, 1.281071846301739, 1.2297871149503268, 1.2133962374467115, 1.2388936372903676, 1.2101048368674059, 1.3234484837605403, 1.1735936430784373, 1.299833117081569, 1.2054507420613216, 1.2198354904468243, 1.2036141028771035, 1.2340067313267635, 1.2264958519202012, 1.2429156615183903, 1.2281302268688494, 1.2219451601688678, 1.2075661200743455, 1.1754786124596228, 1.2429824920801016, 1.2200905047930204, 1.2702212150280292, 1.185561257142287, 1.2203521535946773, 1.208271206342257, 1.219571194281945, 1.1860748373545134, 1.2018535522314218, 1.262080220075754, 1.1967897965357854, 1.1430256256690392, 1.1909899674929105, 1.2364642968544592, 1.1318848371505736, 1.128517171052786, 1.1821811712705173, 1.1560828905839187, 1.2219497827383188, 1.1847896961065438, 1.0975221468852117, 1.1878647822600144, 1.1441371605946467, 1.1836763381958009, 1.1503456262441782, 1.1168533343535203, 1.1519536146750817, 1.1799002940838152, 1.1893464491917536, 1.16046996483436, 1.1602873921394348, 1.1565984395834117, 1.1606468714200533, 1.2047047119874221, 1.1444010239381057, 1.185113984804887, 1.175669706784762, 1.2010668827937199, 1.1787288629091703, 1.1721937803121714, 1.1530724855569692, 1.094033694267273, 1.0859922299018272, 1.1377146244049072, 1.170766648879418, 1.1115886724912203, 1.1527139929624703, 1.1056580818616426, 1.0577206290685213, 1.2190299180837778, 1.2146344808431773, 1.1440458407768836, 1.1255389231901902, 1.1250646389447725, 1.0837373788540179, 1.1230883635007418, 1.1289143598996676, 1.0849228519659775, 1.1080401466442988, 1.1181845701657809, 1.117134638933035, 1.1427684655556312, 1.0904489141244156, 1.1386123455487764, 1.1623680188105656, 1.1292217153769273, 1.1677951574325562, 1.091053841664241, 1.1491986128000113, 1.0939802206479585, 1.1206755628952614, 1.1381789647615872, 1.1150974237001858, 1.145632609954247, 1.1198608893614548, 1.096800367648785, 1.033150555537297, 1.1260643619757431, 1.1428825525137094, 1.1813771999799287, 1.1988449885294987, 1.1124868558003351, 1.1271515094316922, 1.0855479533855732, 1.0487775325775146, 1.0937290640977713, 1.0909789974872883, 1.0774035893953764, 1.1031726818818313, 1.106454981290377, 1.114526996245751, 1.1307798761587877, 1.089902665064885, 1.1110392093658448, 1.1033391805795523, 1.080583300957313, 1.0527818844868586, 1.121332262112544, 1.1447785120743972, 1.102198578761174, 1.1591497494624212, 1.0776088292782122, 1.0296307444572448, 1.0441464708401607, 1.0463254341712365, 1.0865033278098473, 1.0575777970827542, 1.1068626788946299, 1.0450959609105037, 1.1111716288786668, 1.0897305011749268, 1.11358035160945, 1.1373681123440083, 1.070779695877662, 1.0870499565051153, 1.07796023442195, 1.1293352457193229, 1.142198815712562, 1.1051420248471773, 1.0568754251186665, 1.046233323904184, 1.083044639000526, 1.04263093654926, 1.0590280514497024, 1.0158441204291124, 1.1212361161525433, 1.0872609716195327, 1.1276443243026733, 1.051374285037701, 1.063484555024367, 1.058786616875575, 1.0286256129925067, 1.100868706519787, 1.0563989437543428, 1.0478699188966019, 1.026143980026245, 1.0895130359209502, 1.0896517863640418, 1.1565968623528113, 1.0947018751731286, 1.1003041459963872, 1.041985720854539, 1.0706372371086708, 1.0522964798487149, 1.0580804623090303, 1.0705177307128906, 1.0432129859924317, 1.020449370604295, 1.0703611676509563, 1.0941084678356463, 1.059801591359652, 1.1243644347557655, 1.099741268157959, 1.1177125729047335, 1.0540071982603807, 1.0587611601902889, 1.0324884767715747, 1.1307230160786554, 1.0536295358951275, 1.0506504370616032, 1.1221236137243418, 1.0391807812910814, 1.131173166861901, 1.0836766976576584, 1.0658230029619657, 1.0800930463350735, 0.994535728601309, 1.0735702459628766, 1.09850843502925, 1.074442566358126, 1.0231295420573308, 1.0205988058677087, 1.0524873091624334, 1.1010959093387311, 1.0245716801056495, 1.013520989051232, 1.089844130552732, 1.0400652665358323]"
