,params,data
batch_size,64,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(120, None), (131, 1), (23, 1)]",
module__conv_type,regular,
module__dropout,0.364290818958921,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,LSC,
train_loss,,"[2.6880426301507283, 2.6567000639656206, 2.642146416974686, 2.6305025439212004, 2.600697522662673, 2.531190506204977, 2.436979121593875, 2.3554166142008377, 2.2628057470239207, 2.2099419020323885, 2.1760484908889053, 2.1676916109610933, 2.070533461346292, 2.0554242173029067, 1.957462256282253, 1.928301709071589, 1.8981862965967653, 1.902223234332375, 1.8658356540599315, 1.8423841418725269, 1.8500096615865527, 1.760007052897949, 1.7264718820450973, 1.7054760781305554, 1.7816115009681637, 1.6378096878013282, 1.6285764779412437, 1.6545143750398692, 1.605115165055428, 1.4842850129038638, 1.6699145968205418, 1.55395495319, 1.5193665761654476, 1.471976818085633, 1.5383123689609348, 1.529910305391471, 1.4446631356229243, 1.528085823590428, 1.4970089569902558, 1.4507486508742304, 1.41060326971994, 1.4258846867897554, 1.4446858227195702, 1.408097798611314, 1.4057001941600291, 1.3739539470727575, 1.361568833977757, 1.4079224631605414, 1.3222957851792847, 1.3232372641906958, 1.3293750409777638, 1.3147334795978411, 1.2376301589777101, 1.3318819143128555, 1.289855696053372, 1.259103744563635, 1.2782405547289524, 1.247820838899365, 1.255104710228963, 1.228228617355757, 1.2596788622803923, 1.2474568584123331, 1.2301064011686473, 1.2103479449045875, 1.2131837103712684, 1.2191054897738922, 1.1963393751184719, 1.221175118436273, 1.2183857159930622, 1.2506817388030684, 1.2447116930363387, 1.1718196533369858, 1.164030244783297, 1.048850950830608, 1.1978370108132632, 1.1983935507470662, 1.130293777421847, 1.1393907348429435, 1.1185523710150083, 1.1098897337455456, 1.0854439123906732, 1.1052238440765543, 1.097107107827116, 1.081436889201374, 1.1049131014161564, 1.1317617996281781, 1.0499213886993877, 1.05067989347533, 1.089919183714589, 1.0465561502204275, 0.9990987106656708, 1.0144291427934777, 1.0773955406075366, 1.0621103175435356, 1.062275434490812, 1.0465239650005338, 1.0488141208858472, 1.063101313700479, 1.0393170713805786, 1.041165955815604, 1.0325580014848115, 1.0491245760583283, 1.010968948132023, 0.9985147061883888, 1.0853002730982448, 0.9240016642381776, 0.9292210264920501, 1.0123842333396047, 1.013370240341575, 1.0161447238738897, 0.954824746284888, 0.9954053999482154, 0.9279859145024324, 0.9826761315237663, 0.939271881646771, 0.9867466969861077, 0.9646528858501789, 0.9478723162303855, 0.9433105583378721, 0.9187186343754632, 0.9976717735230064, 0.9419145093985639, 0.9583161613554134, 0.9064667688666572, 0.929080695629578, 0.9559652608363933, 0.9411742608210539, 0.9633331320013253, 0.8879567188900555, 0.8861346684546567, 0.9018407301989801, 0.8791465315534791, 0.8844392936923662, 0.9053925433832218, 0.9242734938831311, 0.8914843129493317, 0.9222300859967982, 0.912277093080233, 0.8798306970843665, 0.8778877579513132, 0.8601358978938415, 0.8861570589595066, 0.839879475627005, 0.8651045927854826, 0.8757627258268718, 0.881564934361336, 0.8777307675619977, 0.8949040728733015, 0.8588397975270274, 0.857522745984432, 0.8066916536758085, 0.8861002337749364, 0.7902637150972424, 0.8647352542932164, 0.796605915890418, 0.867273394530147, 0.7882097413285665, 0.822456486974051, 0.7607483253469842, 0.8019394279098877, 0.8117052429462144, 0.8001603158360828, 0.8497397633954725, 0.8120219699186734, 0.8100926301206796, 0.8372779597352035, 0.8356040014199175, 0.777398870325684, 0.7988800977309316, 0.8429935910058182, 0.8257105512818274, 0.8105353711890442, 0.7435100426992238, 0.7852485646546516, 0.8046135693702643, 0.8152181444891821, 0.8629208179647022, 0.7980622970548303, 0.7556843048786452, 0.7638180092134577, 0.846797243261658, 0.8436792259257534, 0.7321442066191711, 0.7357635056594607, 0.7816861667504801, 0.8050105651906772, 0.7450265064477691, 0.7665369481449512, 0.7715795384818378, 0.7779938539670821, 0.7633238551596057, 0.7757291974183118, 0.7360329298762377, 0.7383122582715023, 0.8107845088704977, 0.7075780927848633, 0.7521200063821791, 0.815986728233059, 0.7617083608703357, 0.7439003267274467, 0.7613919286860742, 0.7629916051851798, 0.7515945292572696, 0.7936080348938274, 0.7608622249562963, 0.7454214159624721, 0.7472584949274915, 0.7419831187076916, 0.8150009486563039, 0.7794219172997159, 0.7427728719486856, 0.7726071346390144, 0.7049993982003585, 0.7325436425369365, 0.7354096809507676, 0.773011494381398, 0.6988802486377537, 0.6839847726448584, 0.7204629362602857, 0.7041022729461406, 0.7318979014466293, 0.7931523805736465, 0.7069290596401313, 0.7232160031738245, 0.7009250659649471, 0.7748480949633174, 0.7671284115051101, 0.7726747733142717, 0.7480602483699004, 0.7705885814887532, 0.7207507891338909, 0.7479280202464342, 0.7275861287552159, 0.7510468462816691, 0.7373566125357643, 0.716115884089218, 0.7196340603283342, 0.7153509947454323, 0.7042807412765899, 0.6845487512497805, 0.7124537226102537, 0.7103319779024115, 0.7080543774120174, 0.6988022774028503, 0.7342100144577759, 0.7012969573510598, 0.7076443831698466, 0.7361678609930473, 0.7146717562455609, 0.742014143641011, 0.6806227062094338, 0.6814857168225116, 0.7047891019057129, 0.7259656326571527, 0.7878547090389314, 0.6762079298209961, 0.6788165067733193, 0.7015210401542363, 0.7022189506536258, 0.7185190995076204, 0.688624042999733, 0.6741206883009985, 0.6834206819305273, 0.7046531229266516, 0.7014674859248481, 0.6722435706172507, 0.6855932350461009, 0.6747631359627108, 0.6961696466268197, 0.6984659870952282, 0.6735137571633492, 0.7285489516688813, 0.7305793517719199, 0.6707814846556422, 0.7013730188039033, 0.7409782872305365, 0.6767239950804843, 0.6402617938580362, 0.6905645272631008, 0.6880052402887519, 0.6812690073314707, 0.678877015278731, 0.7053655277182572, 0.7470108188481198, 0.6363591300422016, 0.6743098761059709, 0.7245913427913567, 0.6454445619805288, 0.6960946212412644, 0.7119189290102574, 0.75452873371291, 0.6857437340258178, 0.6473239600715673, 0.6896629828483753, 0.6785742621600456, 0.7122975508830046, 0.713692534725673, 0.6826371191557958, 0.6541508460250987, 0.6232614029381393, 0.698752311819683]"
