,params,data
batch_size,512,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(124, 1), (112, 1)]",
module__conv_type,regular,
module__dropout,0.45669805092742827,
module__fc_hidden_layers,"[1936, 256]",
module__preprocess,,
train_loss,,"[3.6511460520879253, 2.8396935676358086, 2.76370573433921, 2.757797858253824, 2.7431472660373104, 2.7092149721187853, 2.7259964344017313, 2.7470345104738882, 2.6956453566601692, 2.670196259905216, 2.6968355633182175, 2.682219351795112, 2.679746618628846, 2.662781435211079, 2.6496832256023417, 2.6726386533320468, 2.656998395231392, 2.660929503179262, 2.655747049467511, 2.6500464034149345, 2.6454109978056275, 2.630777191496217, 2.636595232883707, 2.607958628192788, 2.607950105933299, 2.571659182676108, 2.6040841443132505, 2.593420790983463, 2.57189669622838, 2.5403687965422437, 2.561739243717579, 2.5491902731839455, 2.545711495993342, 2.5330365975391875, 2.5328863550540457, 2.5121452510070066, 2.4802832291376373, 2.5109071040864857, 2.4751701235656443, 2.479931144328847, 2.4161956672833673, 2.428834775414343, 2.467953530037139, 2.394012278381509, 2.4218095624756653, 2.354745323550139, 2.3126615578446743, 2.368663835456672, 2.394896241652495, 2.3552229147443873, 2.349024349043757, 2.3086955838758745, 2.34182487002236, 2.310715302122224, 2.3223917207772966, 2.3358780523122102, 2.301663819704065, 2.2824510617022105, 2.2748543283363394, 2.2435806603014066, 2.229954170194007, 2.2704210939948894, 2.361055977879176, 2.2121530514249903, 2.2812603932372415, 2.2153247703831283, 2.25296772054116, 2.2066541072608645, 2.2085182843469906, 2.196502439096871, 2.2299229645522542, 2.199613723075654, 2.2449578218900665, 2.2148729417046407, 2.133007423480734, 2.1256741255493092, 2.259371255658015, 2.156432036715591, 2.146152470293128, 2.108077095378696, 2.133949193275239, 2.1563725143355517, 2.1865341908892724, 2.1070201753766864, 2.06361014253251, 2.099270592525214, 2.1138609778548343, 2.0509433252978946, 2.0725293574824257, 2.0767076729121863, 1.9784746308872858, 2.011595462123515, 2.0432322282304662, 2.0237744556698694, 2.094688701560798, 2.0493066371691926, 2.0426371021839835, 2.0270989790228953, 2.0289838610071764, 1.9854444610716864, 2.0011784158381736, 2.0206294880106084, 2.0697699454796785, 1.9891070787211356, 1.9505234318816742, 1.9451348198733729, 1.9424317808995692, 1.9501589483888937, 1.955183240516009, 1.9877784711105302, 1.955871514280446, 1.9193124484281567, 1.938848179389469, 1.9327919581856603, 1.9649426933661231, 1.8946288738030441, 1.9248623299529852, 1.9151907074439973, 1.9092282980995985, 1.8786647643345382, 1.8272898305598306, 1.836536103309176, 1.8697370717569082, 1.9042547852862215, 1.8931859807399056, 1.871100589790748, 1.8968341362028884, 1.916623887933138, 1.8565473380400885, 1.843644352344737, 1.8331447159360532, 1.8620351209906687, 1.804554409195989, 1.8879848018761893, 1.7812370172019643, 1.8858659909939512, 1.8303155545091492, 1.8018214450189995, 1.8704188904932075, 1.7833503361959888, 1.7939261308189076, 1.8245272300241082, 1.7528804231997976, 1.7187882587241943, 1.7441821622664935, 1.728723494448951, 1.75633315711898, 1.766123300681789, 1.7595057552886537, 1.7338966256271082, 1.723949118918014, 1.6660854105082008, 1.7339321618130623, 1.7390975770294035, 1.6693846320050398, 1.7314774856989605, 1.7536002060217395, 1.740808872217393, 1.6796945717841874, 1.6912375778045874, 1.6789149250745543, 1.6945636377986288, 1.6575291735031377, 1.71180430527945, 1.7261375908213699, 1.7000610595488341, 1.6959143504715517, 1.716787534453068, 1.6766672085637193, 1.694128185195115, 1.6356242986340381, 1.6513757913931846, 1.707553845454685, 1.627438115545829, 1.646087792885774, 1.6478831335486301, 1.6396054169440981, 1.6266636737157107, 1.666117577511491, 1.589448334392845, 1.6462072696217673, 1.5729731732084846, 1.6478567090140042, 1.5710757361569005, 1.5279488861273984, 1.5875809076775487, 1.5252842912315978, 1.5870408510450449, 1.5922316536522463, 1.5919408936473014, 1.5656518402641157, 1.6089409439465079, 1.5763212192850233, 1.565534286136462, 1.5720037089963734, 1.5654125176907963, 1.5840265198437724, 1.5709711084352076, 1.639035404588995, 1.5117378174627596, 1.6232304445703634, 1.4845695403817758, 1.565378990680467, 1.5056609957119498, 1.526367809992782, 1.536613055326482, 1.5386040400036032, 1.5034331043140605, 1.5489309898813375, 1.4647093178333286, 1.4613162034744247, 1.4565943129597316, 1.5683983262624732, 1.5431610762327193, 1.537966292333557, 1.4818216065470133, 1.4623663384141086, 1.474866962524649, 1.4549960814151084, 1.4859666361960226, 1.4545252946159724, 1.492279640347827, 1.4719257104614816, 1.525266617852065, 1.4608922252526526, 1.5117935061569507, 1.4565258537839536, 1.4845709147306447, 1.521649967488242, 1.521186085362292, 1.442873326486068, 1.508494871814625, 1.4026139618916735, 1.4293554740186145, 1.4933625486059987, 1.5040276869772946, 1.4382102190587702, 1.5112816241065163, 1.4093489805819095, 1.4352032377584492, 1.408039394339423, 1.443275972440681, 1.4750194222566826, 1.4205884444128445, 1.4737730800703928, 1.4403667681715142, 1.4387797641570574, 1.4094687975634739, 1.4515635569125442, 1.3585161601154705, 1.433438734439156, 1.454323268716902, 1.3723482572768488, 1.3846275487464708, 1.3794322961563095, 1.3568632717999962, 1.377850650364212, 1.3834896618294188, 1.4197524884667272, 1.4169735066356053, 1.4375662960836357, 1.4316647519161199, 1.4225978340749217, 1.391741571229048, 1.3384585532003923, 1.3859961504426797, 1.3044040877734158, 1.3884595056011542, 1.3187432159473393, 1.3924284352489797, 1.3706028487271593, 1.4173386713079354, 1.3859782548795192, 1.341784205656997, 1.4056419930398407, 1.3651273484638498, 1.3693551582367633, 1.4355876552473477, 1.3923583579132257, 1.3253053757178312, 1.3124241906938012, 1.3604986380222788, 1.3371198455569144, 1.292475474924853, 1.3081176289006766, 1.3310477976849495, 1.3115229651374927, 1.387248318165512, 1.3596491478634523, 1.3358529640919206, 1.2794583725516215, 1.405606385374207, 1.3457583844432244, 1.372074135687629, 1.3244808561189227, 1.3295852340564231, 1.3217146707567833, 1.3254855521259914, 1.3737009487207172, 1.3386550666163815, 1.4199109978120528, 1.3170024850714999, 1.3141255054024117, 1.3304255913953809, 1.3631138173976234, 1.3064499995935641, 1.322866468216159, 1.3027500471779656, 1.310920930172642, 1.3433994926777566, 1.2809235651522903, 1.3185059543523339, 1.3040312661702411, 1.3315851425642686, 1.3122048031492113, 1.3069649530329075, 1.3264731776840533, 1.311949565619431, 1.2900126475457163, 1.3136318215277472, 1.2834273466591197, 1.352705729133929, 1.3259402288624136, 1.3194764016681961, 1.2909417772545506, 1.3358627743624631, 1.336964489291561, 1.2596367583238126, 1.3059936924205593, 1.2865866705474083, 1.19688538958868, 1.2120618625715218, 1.2755559534838385, 1.214312261176637, 1.2709243278072015, 1.3162637251976939, 1.2873067826003954, 1.28377382736922, 1.280497566510899, 1.1976102895755052, 1.220540323259741, 1.3199642816337975, 1.3153701607600443, 1.3046726391680317, 1.2992753074992953, 1.2096708037740802, 1.3078618351947355, 1.1800636470719412, 1.2358116579239362, 1.2933019152389797, 1.3279921368868794, 1.21617709339755, 1.223833142449009, 1.249404245322432, 1.242165856916705, 1.2328762151623598, 1.2463293840841563, 1.2664116721983938, 1.2296143462729063, 1.2624534826306222, 1.1900158966241603, 1.2435543878188606, 1.2127632899738712, 1.1870572312275187, 1.2031695127372448, 1.178667469249538, 1.224352791747643, 1.152039105841698, 1.2759535336746861, 1.2740852095624136, 1.234016641730638, 1.2016274560174767, 1.227562207631817, 1.2918722491291879, 1.209047633369343, 1.1678611126166336, 1.2115066634335119, 1.2202536421285672, 1.2234723734901545, 1.246506701419856, 1.2182939247630673, 1.1719673347083046, 1.2541745667049125, 1.1925857534078133, 1.1766184512758853, 1.1634694397506862, 1.245232164917139, 1.2218489707720979, 1.1854445255066595, 1.2075725723276698, 1.2330894184525594, 1.181683117547095, 1.1916903237865106, 1.189691864491886, 1.1774717545256923, 1.1810036384221794, 1.2150176678630913, 1.224478437019381, 1.158081891332485, 1.1634488386873791, 1.1531033400621864, 1.2790570735242988, 1.168679544625085, 1.2236684276233853, 1.2119877701544555, 1.1789656853423427, 1.1837731456389442, 1.190844106146415, 1.164260810619369, 1.179993463549279, 1.1559099350214235, 1.2146175139448296, 1.1872438998952064, 1.1894133560237572, 1.1358244053668076, 1.1550198205969906, 1.141906585569446, 1.1451136719388841, 1.1309186061835266, 1.1578928283249907, 1.163677327671914, 1.1117369069630878, 1.1186087047743958, 1.181219071580081, 1.0764557326264514, 1.1880350809927969, 1.1499517257105742, 1.095819388936642, 1.2167111182006307, 1.1634795650825465, 1.1690440915661207, 1.1791765663460887, 1.1894906798271863, 1.1867288222556165, 1.1491555624334024, 1.1460920595227813, 1.0950780543601777, 1.2013753930230457, 1.171504113396506, 1.18322848046021, 1.1308838223699655, 1.077702398823361, 1.147286654493921, 1.1135745755288324, 1.1516974512720706, 1.146365418241389, 1.0899340582077497, 1.1629227441704193, 1.127708321184465, 1.1093959049953648, 1.1317558832416406, 1.1902129575538452, 1.097583346922198, 1.1389314320020887, 1.1092295576105677, 1.1085251545079977, 1.1904884218825413, 1.134657758262091, 1.1754612401199525, 1.1692343686381939, 1.112419883543993, 1.123993475753832, 1.1381113876851277, 1.137182313966797, 1.125018408599097, 1.1521332869745424, 1.1162555786826727, 1.091208276264477, 1.1276368845874467, 1.175798877256208, 1.1602513792425309, 1.0800991248809109, 1.1259209686339877, 1.1043646496803974, 1.095451574008894, 1.0724293711210697, 1.0922679237383162, 1.1257362184441928, 1.080577805251084, 1.1060364213095364, 1.0443325409875452, 1.1108197657045433, 1.0599085959938424, 1.1540077966032865, 1.1282540858078738, 1.0989106615881603, 1.0952896010542972, 1.1159741417276274, 1.0972927695174304, 1.1086767869459195, 1.0714893444325628, 1.105558324020797, 1.1247643418215696, 1.121842016958066, 1.072038691243492, 1.0748622904498493, 1.098550526308715, 1.1201735411961566, 1.0540121065755665, 1.1012481023074343, 1.0924551089987145, 1.0933214096752237, 1.112490114452061, 1.0762172126219294, 1.0670515940783687, 1.045739735974155, 1.0356034964638563, 1.092457528866978, 1.0803952194728796, 1.1011520976396107, 1.170093210817416, 1.0826696181549718, 1.0744257691505439, 1.0745022288874093, 1.0734090865289396, 1.0555151272439636, 1.0896811404402607, 1.0391655951537573, 1.0734697031332279, 1.0390846583565574, 1.020290728941689, 1.1003263600177784, 1.046850061823934, 1.1292783943819702, 1.0779779266576794, 1.0646706209146024, 1.0598035532195942, 1.0730553733487904, 1.0770208937715635, 1.0752259030493552, 1.0305663864410646, 1.152997042377828, 1.0875564621433371, 1.1156733162249362, 1.14704370567498, 1.0828732952002267, 1.0391851495503233, 0.9918445055592622, 1.0828732344482357, 1.0322258388112668, 1.1117409364435968, 1.1463818685496736, 1.0827701802547445, 1.0427131820057767, 1.0091844312380551, 0.9863487958219673, 1.0827968830208692, 1.0635873293280027, 1.1020172281375404, 1.002499715712807, 1.0422007894722514, 1.0691689965929172, 1.0566622697469474, 1.0283920249764569, 1.0659759641267337, 1.0455845413699072, 1.064855500410335, 1.0217768415105928, 1.0703072647731733, 1.0607555007223215, 1.1053761352818097, 1.022315512033927, 1.093615331652075, 1.0223203694395886, 1.0204551803939497, 1.0634896707603632, 1.0955851215141341, 1.0524668532913986, 0.9556829361989019, 1.0702204907364978, 1.0808377232083457, 1.0397464027762757, 1.1237118335958853, 0.9804099207319126, 1.0252471018342357, 1.045356047795987, 1.026808653001721, 1.0207411137994835, 1.0855604242658936, 1.0269562256118216, 1.013245658305428, 0.9864420116349295, 1.0705811804710843, 1.0874613855640056, 1.1138815000954445, 0.979839925931209, 1.1180373652837274, 1.0410954333820288, 0.9901827640322336, 1.0698636191985835, 1.0012020487069395, 1.0466698084001478, 1.0401216453376931, 1.0512641781906995, 1.049867609926321, 1.052839926163432, 1.074893707318072, 1.0235989594023542, 1.0660649178920742, 1.004142271715133, 1.0832280903853857, 1.0661931122806465, 0.9987200834753424, 1.0625317867726978, 0.9738343323045792, 1.0148212660150648, 1.0063663426216574, 1.017777325788063, 1.0140512206441974, 1.0725898474196727, 1.0629332841188432, 1.0100991141348648, 1.055969482608663, 1.0777557971273282, 1.0360077453187386, 1.0923526054741215, 1.0480565752285507, 0.9972670246937506, 1.0552934825248277, 1.093773935251906, 1.0858305070810987, 1.0413758216624769, 1.0077526926764855, 1.0006224768338465, 1.0323119694160887, 1.0251903493778423, 0.9848018088400421, 1.011005769680049, 1.0419678727059094, 1.0465033017636722, 1.0399958470673143, 1.0523869155460648, 0.9791599085861037, 0.977159142379467, 0.9835223799375987, 1.019665816119362, 1.0351258031557797, 1.0737832379065761, 0.9514762397794567, 1.022383987043085, 0.9655681255921592, 1.0272284767969626, 0.999175299579301, 1.0223377347566165, 0.9475946694296983, 1.04182146103825, 1.0028090737437376, 1.0637238290702298, 0.9295970930057265, 0.972867447728716, 0.95050732589204, 0.9769786274467557, 0.9657316183791468, 0.9606994437528873, 0.9736974543396157, 1.0029851365708984, 0.9964771492763479, 1.0226834126684503, 0.9432517668165991, 0.9117252635083827, 1.0084923962426944, 1.0025047857217542, 0.9700468067829143, 0.9736289906318195, 1.0539881698321103, 1.0630389073356283, 0.9646796650101751, 1.0246082844931534, 0.9602028149268854, 0.9801263181605628, 0.9690213785708467, 0.985932332661659, 1.0026764059663393, 0.9758471466808851, 1.0011962621228068, 1.0002466575587678, 0.971221248500042, 0.9525306382583126, 0.9485704480052798, 0.9478619267896922, 0.9906247391852194, 0.9575868801960472, 0.9966147895382504, 0.9500402442759568, 0.9488274764280347, 1.0038719088326749, 0.9686677794942957, 0.9733561255589945, 0.9611207468218248, 0.9262007204125545, 1.0108180067881125, 0.9971371951644757, 0.9685990407675705, 0.9750687279760895, 0.9977249253587842, 1.030352746843718, 0.9852185269407175, 0.9476487701964906, 1.0012832981560298, 0.9495961527278265, 1.0260550822055146]"
