,params,data
batch_size,512,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(81, 3), (81, 3), (60, 3), (12, 3), (96, 3)]",
module__conv_type,temporal,
module__dropout,0.38768548736056996,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,,
train_loss,,"[3.166944843266511, 3.064421432785446, 3.099863084984193, 3.106270311425417, 3.1016200365129003, 3.0219682324139368, 2.971768917605597, 2.952216790590672, 2.9244709005704963, 2.8559221573647737, 2.9188298453255657, 2.868500996646624, 2.795367725093011, 2.8255957918589742, 2.8233641007043033, 2.7773298238743247, 2.8004351576399023, 2.7706222506616847, 2.7565139185256813, 2.7587980888712154, 2.7284006323658203, 2.716505028149526, 2.7307559561867247, 2.729655634690801, 2.7403303883208934, 2.755724074523573, 2.7660640085363664, 2.7650593264254533, 2.767654022499775, 2.750892374556878, 2.6881359496327955, 2.6857616956523387, 2.7119837941921285, 2.7198679488518334, 2.7334856173895687, 2.7844898994717755, 2.6950486634278343, 2.6899875239370417, 2.7000013321121306, 2.6788903927297723, 2.683260939254467, 2.694146469608667, 2.7074381317476774, 2.709345829969197, 2.695416388484095, 2.721859413305, 2.7991450632238664, 2.7038201224597205, 2.7114032026889925, 2.7196749207601383, 2.7151991935134623, 2.706029510681799, 2.7198106966955815, 2.6831391601893255, 2.682815289910818, 2.690512810139298, 2.657636741682284, 2.6815768569880136, 2.686766232139573, 2.741772371909522, 2.7453042597210247, 2.721657700161943, 2.6849083330819603, 2.668053875998495, 2.671307444802139, 2.7169763509019034, 2.6839231172278666, 2.688699782009529, 2.6904059071991027, 2.6913662402386382, 2.6605121198187445, 2.6732866359813596, 2.671056436435795, 2.6738945289383964, 2.6616269637164813, 2.678793203853688, 2.6660271632648387, 2.6671599418441683, 2.683636383743874, 2.67092342137831, 2.6716396615684377, 2.663611322009724, 2.6841492322138967, 2.689281771867491, 2.663707479576155, 2.662746332973414, 2.650438450664454, 2.642686928398118, 2.6318497290271323, 2.6569271193304043, 2.6467813655360817, 2.6635547818935446, 2.664964983688384, 2.6712510590378717, 2.6735766108555143, 2.641846225670537, 2.6249202138426675, 2.6318649042089093, 2.637513514428699, 2.6008365319643407, 2.606126228049541, 2.6067521663989175, 2.5768296190309616, 2.6235078244769734, 2.5970728824593428, 2.6205929791077485, 2.6266218292919885, 2.5987686201327107, 2.5910028460397885, 2.62712202228333, 2.5849383575608504, 2.5919640757904348, 2.5913724940636254, 2.533118879634291, 2.5861048537642053, 2.591653709007366, 2.5894970007255127, 2.5719647338624636, 2.559980637765344, 2.560655039858956, 2.6004663933219248, 2.588208740157199, 2.5528118977886636, 2.5748348745996554, 2.5583299906037906, 2.584157177019211, 2.542265284268153, 2.5582063565594155, 2.5411588001802476, 2.570452697015222, 2.5376418877199205, 2.555251810132653, 2.5739396371823053, 2.5509608772678414, 2.550399959891288, 2.571880433600762, 2.586236357688904, 2.5641318373597426, 2.5918424529147286, 2.560564964952267, 2.5534704907551435, 2.5763337373274138, 2.5394150898406043, 2.5185737724708455, 2.505044465809199, 2.5041411164179013, 2.524910898337245, 2.522799266785785, 2.4851572143778866, 2.508373312867446, 2.4783220185480137, 2.4967853549817622, 2.499892377210261, 2.479288857336908, 2.504489821046304, 2.4854182154227313, 2.4860695230708187, 2.4954438099282323, 2.493772925669058, 2.5072090876125417, 2.5083867685872927, 2.4379936587603797, 2.4526725899507085, 2.4736643584018037, 2.4759970634658903, 2.5176115481610015, 2.4861303163631345, 2.447247785869591, 2.439437116961029, 2.4535538066099605, 2.469368891679253, 2.440083492238627, 2.4512349142045187, 2.427154068312893, 2.4283890827542787, 2.4625484885967306, 2.411148672388698, 2.423888773128017, 2.485896176226107, 2.41245011098123, 2.4304338333004933, 2.3650086261403813, 2.401690298192533, 2.354736934966894, 2.4467312235363647, 2.430808960817223, 2.462552190056656, 2.361157589794813, 2.4171190463968326, 2.377438047258381, 2.369130115518221, 2.356833198856067, 2.3797794029202763, 2.3750465570846733, 2.373740170732399, 2.3440285817736144, 2.3253989536638207, 2.3417223636814626, 2.3651044260789433, 2.344268415015557, 2.4006871593710546, 2.3526383211157915, 2.320124263708302, 2.3243135514746283, 2.3361741125239113, 2.3906568523087253, 2.388513406577138, 2.3352211608133335, 2.331598051940315, 2.2608466959183384, 2.3239967761012172, 2.3202359278996787, 2.293296272584698, 2.29699916830412, 2.3509786409220026, 2.2517093759970397, 2.2644958146964425, 2.2849744342425424, 2.2898931239152, 2.343240684167498, 2.3009413239583805, 2.2582104088943127, 2.2891376932691747, 2.2383030166056344, 2.2244720612876905, 2.1885442671748256, 2.2371990310893124, 2.2345119843363532, 2.2105691435249786, 2.20278964864955, 2.176432609328415, 2.2300298795075317, 2.1997928176082397, 2.184055618697738, 2.1985896687976196, 2.203623046879594, 2.163750470947898, 2.149103076701449, 2.2357979923314444, 2.2120061095279997, 2.143561464054277, 2.2323029121681905, 2.235243576799514, 2.1856900327237816, 2.1750737518244394, 2.216210473249873, 2.1325823008899283, 2.194093880166438, 2.1807816508647795, 2.24650944358811, 2.191194993223069, 2.171635405176637, 2.1592951059800813, 2.1745287800110833, 2.170132594071831, 2.1765404438926534, 2.1142795081313177, 2.1197242502532254, 2.1841615830083345, 2.0888914294784926, 2.087413393004092, 2.153942351855754, 2.140666281327117, 2.160153730871131, 2.1068380161516926, 2.161456421850274, 2.217544254080638, 2.1279709961602684, 2.0995347734131564, 2.06538322573682, 2.0968447257558274, 2.098157349579137, 2.0720322596085095, 2.0891145897279126, 2.1374161800437808, 2.1006508098631693, 2.0893617188540037, 2.205263827577492, 2.0568564620321195, 2.0893113123888227, 2.08965558204118, 2.085275196615671, 2.1338859603584157, 2.1003478163698963, 2.068579957894048, 2.068796093523617, 2.080602476821929, 2.102743532386589, 2.052161196293399, 2.0877996630291946, 2.11373577710521, 2.078954830564745, 2.0740364599319783, 2.0553076763373577, 2.0636866044446913, 2.0559213618552294, 2.0781670932824903, 2.1175742778704576, 2.0788186169543477, 2.0980263033124524, 2.0308791945665097, 1.9862663178544973, 2.060089605392059, 2.010629302734125, 2.0098168921149075, 2.054200207337249, 1.98838407295058, 2.0241805147343745, 2.030141062244974, 2.08259630823411, 2.0453100907320234, 1.9839680185667123, 2.047067980775484, 1.964895776241501, 1.977043915575869, 2.0720942973631193, 2.0179139965990833, 2.0285314881962386, 1.9916482605686077, 2.009896916690819, 2.0135451534579945, 1.9700576106018184, 2.0102078714811733, 1.9646385173117724, 2.0274408410279965, 2.0152779791166786, 2.0394366324981514, 1.9735963774094922, 2.0226447166505346, 1.9249651177081069, 1.9469753016855904, 1.906726298764032, 1.9466093815360686, 1.976071315464027, 1.9885750783890888, 1.9963204047583432, 1.9447415902894816, 1.9972809808102647, 1.9121561141142727, 1.963310079767525, 1.954456909543517, 2.0158217601004362, 1.937579564735839, 1.9106835097017085, 1.945562794718439, 1.9330442513344606, 1.976743594529771, 2.009814016966002, 1.9838851171192176, 1.9148365309702409, 1.8623500547886813, 1.8755740941374748, 1.9300004393149433, 1.9443536376677497, 1.9281689417844563, 1.8815156795615635, 1.8721109201453325, 1.8606493824479209, 1.9206233325491522, 1.9641143356903898, 1.9350406014161303, 1.8674712980413712, 1.9047075466383858, 1.8607169527538938, 1.9050398052083275, 1.8671142673676184, 1.916067992561355, 1.9158617526235378, 1.8954261525288254, 1.9204880205882078, 1.9258084708325895, 1.9232940083523935, 1.9222030400770478, 1.9249737400540037, 1.8642478443983663, 1.8721075263556257, 1.8755333671680074, 1.8258590888885176, 1.919502927273914, 1.9190759964301636, 1.8918273283567042, 1.8778889783315347, 1.9015681718355888, 1.8447890904138085, 1.887040771730603, 1.8935048616920134, 1.8761353288312408, 1.8814259680250016, 1.8468496921204878, 1.855172235152625, 1.8313051379484937, 1.9190612843041246, 1.8367436257171263, 1.8300849108567356, 1.879734558062287, 1.850608750804541, 1.8375394300688668, 1.8534606437921983, 1.8406043002141463, 1.8621224435997377, 1.7718553003318507, 1.8012477528153128, 1.8927629637121006, 1.8103934103813244, 1.817115075096689, 1.8558955639313641, 1.7948791684442862, 1.8394638915512145, 1.8283517372171774, 1.8831897052955995, 1.8360738903571185, 1.8189985064183127, 1.8065653555884755, 1.7700372148800447, 1.770928911850402, 1.7974904110665955, 1.7945231276210791, 1.7941686135496018, 1.7990349737895017, 1.7347887082596045, 1.7425811502056086, 1.8083449711229989, 1.7888625677610408, 1.793482690188237, 1.8177193949907042, 1.7959668737385774, 1.837475315683839, 1.7793161147821386, 1.73236537462025, 1.7521427426494385, 1.7948995971036554, 1.8087952911049874, 1.8185816580619885, 1.7488629086398895, 1.867416393550145, 1.8254548724676143, 1.7541841274281686, 1.8133754779608033, 1.818879583322933, 1.796509597113137, 1.8316280686786408, 1.8051824668468996, 1.7296283210633119, 1.7739949784526936, 1.7787495732077743, 1.7666854392127036, 1.744354181666365, 1.8046792090972723, 1.702898797501948, 1.810728864403359, 1.7431123984801746, 1.8202089955581635, 1.8055280991372344, 1.7429140797010507, 1.705937051589319, 1.758802531541887, 1.7696538132279824, 1.7463116342621732, 1.7045014775097944, 1.7005291671881557, 1.706277155462717, 1.698425450880863, 1.7770535941298526, 1.6789985693029357, 1.7113445702086065, 1.7169761566987156, 1.6999993115261571, 1.6781355726006864, 1.6886338859164876, 1.7325263341784707, 1.754245290177406, 1.7114948046919467, 1.6825107785088937, 1.6856826171709622, 1.6717948582820121, 1.7731026123943585, 1.7017007696375912, 1.6647368468530834, 1.723422125240282, 1.6861288531437546, 1.7243242213262069, 1.726293044972282, 1.6949414471900073, 1.7178312681313883, 1.6522182760211084, 1.6506852881986511, 1.6409705840553621, 1.6986608816479443, 1.7152864436882769, 1.6926401536588724, 1.730073593025722, 1.7475277382973762, 1.6831546093916847, 1.739946043789961, 1.7335880606620069, 1.6584608266578704, 1.6776734863861906, 1.6373287944665074, 1.664256853864372, 1.7150305197188391, 1.7144972115812505, 1.699256349620562, 1.6391732022022696, 1.5747973881015889, 1.65500878472319, 1.6331365539159388, 1.675151250036236, 1.6385589400467846, 1.6345637247741567, 1.6253866708347564, 1.6938783021101833, 1.6192345010522244, 1.6572523029783097, 1.5897323154989695, 1.6714592016730925, 1.630439286746501, 1.5986420299735833, 1.6442243113453447, 1.6327398448091481, 1.6848843532949973, 1.6538759473431317, 1.68531094052199, 1.6920628159491773, 1.657677420646469, 1.6281231637175602, 1.6617604591713246, 1.611567663606651, 1.642468179351792, 1.6051172678410892, 1.6607575678411937, 1.660995759256543, 1.6272949366211202, 1.5820368331980843, 1.5869214624338757, 1.626128829742902, 1.6632220688812536, 1.640940150084523, 1.6179841094164031, 1.6375446721538183, 1.6605828468739872, 1.6113773758930507, 1.6239146094101702, 1.628352285465064, 1.579425472400092, 1.5744812527603267, 1.6402955473273246, 1.6193489467936903, 1.5928804250810877, 1.5601593516695247, 1.6528527018881487, 1.565575914346184, 1.5457502123478062, 1.5451115899233, 1.5975437840744708, 1.6159696369961278, 1.5692704481885613, 1.6228494002180522, 1.6450556528131857, 1.5768284690862446, 1.5544820220024829, 1.5910456599757392, 1.6351459585632662, 1.5730273258479344, 1.5814871600253044, 1.5549434611792738, 1.5716284377956207, 1.5596960399421882, 1.5542585193996026, 1.5356266738592086, 1.5164999708045195, 1.5935088295008635, 1.5920387810824694, 1.580658193957599, 1.5599256930783074, 1.545860088457262, 1.5501942161420408, 1.5398657232350696, 1.5452782682830428, 1.5414225815118852, 1.461924141542071, 1.5123214479356373, 1.5062025996761286, 1.5388441508445667, 1.5226282316595603, 1.5202259682047115, 1.4704329305990582, 1.587642796237115, 1.5536809523440969, 1.5877030815692306, 1.5681176434821935, 1.536898328734271, 1.5583355299310189, 1.5242242442160443, 1.5657977247054407, 1.561803919042466, 1.4787883479471151, 1.5089510168183975, 1.5758765409906934, 1.5208345681486333, 1.521906809540383, 1.5217960317240515, 1.5569274586289834, 1.5474477099086048, 1.5631441434913518, 1.5210501073872194, 1.5484784375266074, 1.5455055399896551, 1.5456238877107182, 1.4789997052709951, 1.5154534178662162, 1.5193838913546363, 1.5166154594550014, 1.5451842497079589, 1.5160587382913784, 1.4788787516555346, 1.5161624100052093, 1.5388720114796148, 1.429395980573114, 1.445258173294839, 1.5112092749920885, 1.4391229872758677, 1.4910944300579887, 1.4993991633600812, 1.452833166471566, 1.4734801743071892, 1.4424404070097128, 1.4649435782478495, 1.5132421758133552, 1.4599838701286756, 1.5192575420258363, 1.5807536043413342, 1.4871564903700283, 1.52090990221799, 1.549600088642282, 1.4612400028746941, 1.4438454660377062, 1.4075135502512055, 1.5159496818893448, 1.456620986636204, 1.5037190199817076, 1.4310879587897445, 1.5076182534010194, 1.4236357840269747, 1.4934152914839214, 1.4650259533599164, 1.4967232215611233, 1.463209228708565, 1.477685434740173, 1.5090717047395503, 1.4779607318269954, 1.4573860337279436, 1.435375251521954, 1.4132912423109962, 1.459887495504868, 1.4559755841546436, 1.4751799931760468, 1.4436956580893383, 1.4161463134091254, 1.443208373236059, 1.4844972188073087, 1.4362021817867008, 1.474569717009403, 1.4190788249519288, 1.3864254889460657, 1.3994520627005251, 1.495247695831894, 1.3982631441255984, 1.393710626343082, 1.4186143561594748, 1.36030823440221, 1.405084211242911, 1.3350358158062878, 1.4508248297695021, 1.366948915125088, 1.4803967870958508, 1.376350084596057, 1.3748403367279582, 1.4545843513944474, 1.3903821297923036, 1.3613543578195664, 1.418191406538491, 1.3630740396778938, 1.477851366261756, 1.4387164926999796, 1.3791478272807391, 1.419525929269074, 1.3545185802414696, 1.361995992173579, 1.4420221461726062, 1.3976265202367926, 1.3904590427530983, 1.398339060345137, 1.381470071901935, 1.3969919556367834, 1.3667309016620952, 1.3563521580199975, 1.3753001686465534, 1.3105377295343403, 1.363709300900011, 1.4094419243937513, 1.380158132670702, 1.3864491194888575, 1.3877408698574427, 1.4005601348674825, 1.3772257441270788, 1.376437311801837, 1.3703722933698481, 1.4138430026225273, 1.3872308353238483, 1.3921057693301369, 1.4230632339828506, 1.4240010655224897, 1.3373959117312422, 1.3413335751017164, 1.3824653702434546, 1.36032597120557, 1.3851372433076246, 1.4328565374734543, 1.3211771071186875, 1.444246284304786, 1.409785370261683, 1.3840760012123168, 1.397828353680168, 1.3739081322572595, 1.405781521158641, 1.3537907738217039, 1.338246066216559, 1.3758549593776637, 1.3033178063945734, 1.3196480572797888, 1.3967211635815615, 1.3696220563096577, 1.295058924223876, 1.3620493240898515, 1.398107906067762, 1.3932215711514615, 1.361813787780056, 1.4002141133668564, 1.3949259796353892, 1.4059438053123754, 1.3649608392935957, 1.418359127060756, 1.4073834607596571, 1.413785392608716, 1.4119092502805308, 1.320143345693173, 1.4087204443926067, 1.4030216123786736, 1.362637247768211, 1.3681938349626428, 1.3256678510033786, 1.3889208740351977, 1.4391338112037306, 1.4204602083029774, 1.4012514554925966, 1.3696965198526034, 1.398024287412162, 1.3322621310607088, 1.3256737690899874, 1.30878612060308, 1.3540041040133879, 1.3992691671687514, 1.3693668550608935, 1.3751114424253474, 1.3581780334198865, 1.3580545967943636, 1.3458753852083962, 1.3660927882313958, 1.3331578719592967, 1.3907684241645828, 1.3289254151557452, 1.3700108309931378, 1.4102296500766438, 1.336335797989759, 1.3978891747075928, 1.3822591261137886, 1.3897270909393913, 1.2973719287469896, 1.3721704898771754, 1.3192540346312844, 1.3392670143087015, 1.295061560035441, 1.355363522306343, 1.3307218916843393, 1.340693431323204, 1.242787018906404, 1.3336961118931485, 1.337576726498172, 1.3178733375949896, 1.3315810237316728, 1.24621565935699, 1.2509990227704793, 1.243771661453394, 1.235194898754186, 1.2835945477834787, 1.2583775000076074, 1.2665641921104034, 1.2450541058027675, 1.3741032191783706, 1.2993383705041772, 1.3001169286711367, 1.3405671356270998, 1.2642608902817287, 1.2652201248271846, 1.2920587501544254, 1.3057271648693636, 1.2751789064306285, 1.3275280790062538, 1.2858435221030762, 1.3014100434577993, 1.274134355128845, 1.2820548680476371, 1.2246454784176484, 1.2376211748417172, 1.329153187702157, 1.2432582431790458, 1.2611205162110815, 1.2713811513546116, 1.298658336518128, 1.238719614140101, 1.3285271471405764, 1.2980181207316919, 1.251475953297808, 1.2975253963516398, 1.3183754568844173, 1.2998901723896608, 1.348065645708514, 1.3001781676775688, 1.2667630330905288, 1.3547117788208243, 1.2997849552617597, 1.2956138565590845, 1.289643848447671, 1.3451516202764016, 1.2993293543541822, 1.2552059922144823, 1.2928492386676442, 1.3154178347890777, 1.2789858611792269, 1.3265852845473096, 1.3498870291691525, 1.2556356498271743, 1.2010048846059223, 1.2451183513984054, 1.2881085428773553, 1.2246087155590168, 1.2853897713512354, 1.3000788220091362, 1.2887237023755995, 1.2906657491805236, 1.2261360219907669, 1.2689976977015736, 1.2029713772395212, 1.2132676571090786, 1.256273106113794, 1.2625978062492804, 1.2850784660534134, 1.2398340332829654, 1.2581752400866824, 1.2718653450352149, 1.248426319431937, 1.2329791017120744, 1.2826872334774289, 1.2410550634295954, 1.2776740725100155, 1.270739784015626, 1.1879459086640491, 1.295112658787325, 1.2552956796335577, 1.2710943068153366, 1.1955244140358559, 1.2867591683115802, 1.2272785701331375, 1.2346399838754436, 1.2708721211420548, 1.1612494382325396, 1.1967333475978388, 1.2111432782027993, 1.2021220082951878, 1.2174491519987698, 1.1856060416252856, 1.2014097144148943, 1.2007629591146187, 1.1263801231549655, 1.1972523657802443, 1.1931753317055676, 1.233712239761573, 1.2419919077601276, 1.2184846067015147, 1.2560150150159421, 1.1885273542707366, 1.219373294268959, 1.2115924493885224, 1.1733547183819588, 1.2323648864134198, 1.2785266711303034, 1.1843821802580288, 1.1593465209007263, 1.1773414151287263, 1.1473769056314678, 1.2146839601685775, 1.1781463070067366, 1.2187795393269416, 1.2287557012543284, 1.2381506239518034, 1.1662370547623533, 1.2065889029144552, 1.1594731759473769, 1.1649538632302845, 1.2221979635528977, 1.240045430343275, 1.1474460304817022, 1.1958710582270098, 1.1888023242785062, 1.189242229985364, 1.310699171413576, 1.2340237558002876, 1.238458155666932, 1.193027961920222, 1.2943032803103645, 1.1680031659975216, 1.197151114141321, 1.18344534821593, 1.1784145410579983, 1.1918195111673462, 1.201568395760707, 1.1673389889141959, 1.1946973233324025, 1.1525824629272798, 1.1643931964458987, 1.1776641478657952, 1.1694241941319725, 1.1379247907269208, 1.1474533813766892, 1.1737119825359483, 1.201056812539955, 1.1800215331001318, 1.2541455635675345, 1.1811592093092858, 1.1358307792961253, 1.2010427115050815, 1.182594021620778, 1.1004055039041993, 1.2110424058974822, 1.1599750912143545, 1.1783590014729657, 1.1753804633727651, 1.1891722962805762, 1.1930489798501738, 1.1821635437838605, 1.1432180334607531, 1.1091511139865096, 1.2120587266479155, 1.1857997585583284, 1.1505338744850746, 1.2034609229348758, 1.1171479729329001, 1.162579767965857, 1.1320018183748617, 1.100658563635023, 1.1107918641930141, 1.19041271085684, 1.1830265468025942, 1.1731745153952655, 1.225651143373552, 1.17503449383958, 1.211936506692155, 1.1722724330907612, 1.1816784158377749, 1.1288043906004213, 1.2042317668367213, 1.1392381247527796, 1.1610488442556937, 1.1678649991004224, 1.147756835399106, 1.1790650280224795, 1.1348061594889574, 1.1351814466404777, 1.1280425154175142, 1.1247834265806311, 1.1558850103260694, 1.1230647304384236, 1.1392105395164562, 1.18589237131365, 1.102845823029792, 1.0754477513778187, 1.1794612098750812, 1.1143585495177033, 1.1915628280713149, 1.087937841066276, 1.1036243486955675, 1.1026971991351575, 1.148378732117155, 1.1906919613738969, 1.1010282281391424, 1.109769336979743, 1.0847865291413543, 1.133527638365538, 1.1533882840750076, 1.140934106931521, 1.0689318092801896, 1.1235699824744796, 1.144426975750969, 1.1138502291631607, 1.1050536848446768, 1.182924713587715, 1.17058572936839, 1.158055277458735, 1.1739982582470816, 1.160690992438954, 1.1289448712832206, 1.1682256251171605, 1.159230796243414, 1.054322040609312, 1.1174984973979134, 1.0582430150237847, 1.150753168356901, 1.1284621423379535, 1.11375409646071, 1.1384334749109712, 1.116681684992906, 1.0619552086084105, 1.0744974858958367, 1.1763735534138762, 1.1069441166686644, 1.1322727230931982, 1.106847930735476, 1.1093123623516288, 1.1033561376707632, 1.06059680767142, 1.1011161749073535, 1.1178245108021936, 1.1639390714136393, 1.107783003004989, 1.1582787886750032, 1.1382789320109667, 1.0847449609309952, 1.1502440440861477, 1.1076136469151932, 1.1482054197834177, 1.1175671299068914, 1.0880308503819798, 1.0608543517042905, 1.0370009284258348, 1.12565001472113, 1.100485088508253, 1.1290910347348693, 1.1650119085073012, 1.0303044375426966, 1.1510741212234792, 1.1253610073027125, 1.153822448671668, 1.118127666456851, 1.0982027067614428, 1.1316792471101058, 1.1240236033364297, 1.0942285289424463, 1.0711843624624904, 1.161736887888642, 1.058555376782353, 1.1236991882324219, 1.1633789934404553, 1.0571435531439808, 1.1334878615101867, 1.0840417841496035, 1.1219007351035557, 1.1159901281312712, 1.1084933676012219, 1.102442256058342, 1.1350513531293482, 1.127925844091441, 1.1288953114566547, 1.0929233651170382, 1.099201472221312, 1.0585819169276023, 1.036756791131345, 1.0790128711331097, 1.1217188769682294, 1.1133562518222713, 1.1795600324237507, 1.164798296600408, 1.0844167125248036, 1.0717386602206955, 1.1279293778774135, 1.1145038296951264, 1.0877526658578185, 1.1271633709097184, 1.1355061224430283, 1.049087255216977, 1.1042363937649884, 1.111749748963152, 1.107206800539829, 1.110550455906947, 1.0751417518121429, 1.0296375800878785, 1.1007732278120081, 1.027031752989701, 1.0410548799988852, 1.088450636242755, 1.039887787289702, 1.0382497210723127, 1.0560401914666384, 1.042197213926297, 1.1356312880626303, 1.0661993667569463, 1.0964725173737042, 1.0587573187544166, 1.0743943834121057, 1.0666618117477622, 1.0897729642588738, 1.0702651528953817, 1.0690455112843156, 1.0455695287340638, 1.0973593085028073, 1.120447763243622, 1.1254866959846548, 1.1464534583348989, 1.1134780849794892, 1.094158352569808, 1.1545203871350298, 1.1105446609917864, 1.090435209818658, 1.2085451494062567, 1.2232000023873095, 1.0789138185495586, 1.1264059674533116, 1.1171772208976378, 1.1191224540818863, 1.0958379954386768, 1.1270388785125203, 1.0664240443407915, 1.0885327417037391, 1.1114738438859841, 1.0692457194962253, 1.0678164126326353, 1.0805266296243392, 1.1165290176294214, 1.0771364546694966, 1.1031816803880738, 1.0784394592908078, 1.0605510918850614, 1.0810822524087278, 1.0577455514428244, 1.0871484346242768, 1.0486741925020897, 1.1058754297350184, 1.0880112472297139, 1.121541122193511, 1.0731818968850064, 1.0585912046864312, 1.0113845719078374, 0.989300689830486, 1.059523938248842, 1.064426443595188, 1.0539574706944888, 1.0136681110643009, 1.0476895490363385, 1.0869325348866927, 1.1052225085122507, 1.0560091715557267, 1.075815620335081, 1.0969056538763764, 1.1009893061338363, 1.0129754150533952, 1.0401560100287142, 1.023067883788276, 1.0805317207108573, 1.026616480194305, 1.0604380013166366, 1.0686770899791938, 1.0576161497303056, 1.0215259808221535, 1.1231427859938443, 1.0448925088595793, 1.076876954880753, 1.0478843259329051, 1.0857844951065518, 1.0440761791488338, 1.0157805819042844, 1.0257199753456263, 1.0450986090882435, 1.0254594289728212, 1.1141964578444787, 1.0909835300004551, 1.0179245643073653, 1.0008981055606996, 1.1136090656695798, 1.0958854167906995, 1.0819612162650665, 1.0571514614974373, 1.0729715570319365, 1.0531973369089396, 1.0021829809526948, 1.0614790552957898, 1.0250682531064645, 1.035621196778064, 1.0090232675245503, 1.0674299330725145, 1.0355523044893047, 1.0193648791956305, 1.0437297287014868, 1.0403770177350569, 1.091813999793433, 1.0847562927616354, 0.9861407658957333, 0.9695360854067095, 1.0505393786007728, 1.0435383762008652, 1.0377195329335385, 1.0875902258591845, 1.031919069315427, 1.0098123513664583, 1.0414167624218156, 1.0352519370457571, 0.9971092662599964, 1.0253554913349923, 1.0266114234464936, 0.9941949223047966, 0.9592952361915382, 1.0190086624296184, 1.0226219403261394, 1.021267922282908, 1.0911086317087184, 0.9846124546835647, 0.9637394917263921, 1.0115289182791591, 0.9610947787417152, 0.9833996170747716, 0.9824097123219558, 1.034089232915169, 0.9419868339233546, 1.012036044473593, 1.0335201641727734, 0.9995218107121528, 0.9450247788475198, 0.987494678913054, 1.03733369059186, 0.9487505932993512, 0.9931843373816827, 1.060912988721061, 0.9983243107336335, 1.0006987045955107, 1.0276984302524428, 1.0084232778677822, 0.9691912856864562, 1.0161450384956334, 0.9868200196811, 1.0322350187797766, 0.9720215618265846, 0.9705457350881573, 1.0443875430176943, 0.9611109564070067, 0.9912656417012444, 0.9649148586857526, 0.9775868394701007, 0.9584615511930976, 0.9821422243623605, 0.997599159936225, 0.96045496835874, 0.987787928195358, 0.9678514736465865, 0.9619012348109817, 1.0404365782792857, 0.9805726996391495, 0.9579412036778151]"
