,params,data
batch_size,512,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(42, 1)]",
module__conv_type,temporal,
module__dropout,0.4219853572371866,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,,
train_loss,,"[2.9958116328325803, 2.7589730825957077, 2.727838891089996, 2.7524974833104423, 2.717989213204797, 2.7146979880470763, 2.709646143205823, 2.6962277834126027, 2.68103178709688, 2.673761017749764, 2.68866496600627, 2.6846293998821165, 2.676763774802, 2.667704443022006, 2.665496051196648, 2.688251966685918, 2.6619763819927886, 2.6446317758174303, 2.627828915454519, 2.6560968498274082, 2.6308612148196713, 2.628319463288853, 2.613948597384326, 2.5924203287889043, 2.5871495663086113, 2.5790340551291817, 2.618590663163878, 2.5615352977907038, 2.5509267275962757, 2.5612672457116186, 2.5159182268300726, 2.555496194918491, 2.5644394901216834, 2.5061673291156747, 2.5017289513567738, 2.477057395872583, 2.443186016441081, 2.4595518819628883, 2.4235907666715355, 2.383326618198255, 2.4526949126366704, 2.3625129803527067, 2.3635571333714305, 2.393641454636017, 2.3849817128539774, 2.390006512575756, 2.3485351566634427, 2.3796303991178096, 2.361877638480567, 2.330227168768587, 2.292276274032446, 2.312139594945375, 2.2831923490774195, 2.3286008315738687, 2.3000447818998655, 2.2860142167133635, 2.245440559120766, 2.23119603301289, 2.2738432996764577, 2.241497300263774, 2.272559069254954, 2.316334316955596, 2.2849355198744403, 2.274895127568401, 2.2078105999095823, 2.19162972905962, 2.206468496938202, 2.171409415831226, 2.1766938577497625, 2.2297585368845505, 2.206538474858381, 2.190836156034745, 2.2243941833977523, 2.236930203345929, 2.2044116244839795, 2.1743956027922144, 2.1879407489001177, 2.134939795743983, 2.233686116619147, 2.077742251127901, 2.1384962273470927, 2.174648637716481, 2.1472100223879362, 2.1269619078994486, 2.113631678454449, 2.1413949955405527, 2.1087666469732, 2.0938667403480222, 2.0608460432302516, 2.1048830683291073, 2.0886381784156107, 2.1593775174980676, 2.1384183965436754, 2.110608673049765, 2.1006538305209093, 2.1130422473183486, 2.0702185752534223, 2.080274089453078, 2.057694945261887, 2.0832362921481415, 2.04010825074477, 2.0663371674127893, 2.1443289040600404, 2.036497307650616, 2.0406573882222405, 2.029799540148535, 2.0797667200165675, 2.044801459836133, 2.0047062867409005, 2.0063737410341385, 2.0613162726565823, 1.9988751179450739, 2.0123552520380774, 1.9855387401488935, 2.013370654256817, 1.9839617790284643, 2.025781441975191, 2.0463418140576755, 2.013318696463039, 1.9901021673040813, 1.9610182995511387, 1.9695255019072164, 2.0249806534577885, 1.9706271526211718, 2.0166796986767324, 1.9453508695426014, 1.9771033210791145, 1.936739133387402, 2.006077207122465, 1.9395866260822567, 1.9726257797380862, 1.957058401466105, 1.9815511581755327, 1.9038292408448882, 1.9055524454640516, 1.948103060037874, 1.9125075365536934, 1.8963962983993208, 1.8974897891340459, 1.8669976989428203, 1.9122072429555919, 1.9073252766348263, 1.9215256169237382, 1.9360861187380862, 1.9351597218155172, 1.8892124390556173, 1.8976553196162846, 1.9122543490001922, 1.8869696889998595, 1.8520674974243077, 1.9283554642416378, 1.8265820856498616, 1.8416822873099001, 1.920948573619644, 1.902449326937828, 1.8710543684417342, 1.7656743257721035, 1.808912663101461, 1.8457272304275822, 1.8278300744949738, 1.8230036352411172, 1.808152416537952, 1.8834511526287865, 1.8311301314187647, 1.8722494999108288, 1.8285978240084786, 1.7921795835844125, 1.8274764513923483, 1.7202343736310455, 1.7800703951389114, 1.840768185309592, 1.850249327216764, 1.8037949051700806, 1.8347809369853467, 1.8415885052010272, 1.7137399588017106, 1.738510804828651, 1.7898473388197793, 1.8172286753479916, 1.7554668449942088, 1.7442371098751737, 1.772001509262188, 1.8042147253749459, 1.7880329472481171, 1.7395111473998583, 1.7677329339962704, 1.7072659333546956, 1.7771343310903722, 1.7484564162173482, 1.7886728585799994, 1.7783383427327768, 1.759868197588103, 1.7685647398979907, 1.7237015449242785, 1.753390963079842, 1.8145911491445494, 1.728428766906606, 1.7884688462365799, 1.6472606157062142, 1.7142737178214482, 1.713220735965207, 1.6941514724940923, 1.7107675939166707, 1.6887540434826316, 1.6748955976756321, 1.6942486792860234, 1.644875841333687, 1.7096107343717806, 1.667970079218032, 1.748559118235961, 1.7122827676449668, 1.721603409862702, 1.68077827522061, 1.6691165817955327, 1.6444205557335319, 1.6532182289226436, 1.6244801360977408, 1.6802615021464913, 1.6502296042580136, 1.7207957136378353, 1.6306694856268822, 1.6041136025693374, 1.673429027572992, 1.6655854404776542, 1.6460260419257573, 1.5911340132384402, 1.591273635798107, 1.6398596559186431, 1.6212329673858965, 1.6190933402563106, 1.6895689177604998, 1.6081118349395047, 1.6283561178484864, 1.7067661758562502, 1.6457891476866366, 1.5985621657215332, 1.6023573548118504, 1.6292433088684817, 1.608380905695274, 1.6656694005679533, 1.6279014976038408, 1.6321395001659504, 1.6033003865409219, 1.5474152403070747, 1.6271476127738438, 1.6231121160735973, 1.6119053501614256, 1.5781042672306127, 1.619379539939939, 1.6408224002474305, 1.6325060451880586, 1.6402653165175964, 1.607378930025707, 1.5700806192120604, 1.6569334098599091, 1.598479719405459, 1.591740650708046, 1.573543969836079, 1.5930257625662523, 1.5942734606233866, 1.5856365332943396, 1.5704639695283305, 1.5777412793080472, 1.5892517307130818, 1.558361619194119, 1.5548213933933677, 1.5374067282171378, 1.5872659755579999, 1.6218297627390235, 1.5990529542713496, 1.6252715615178808, 1.5296778472172732, 1.5605918316023428, 1.4983763030958084, 1.5540452945209422, 1.5938623441896458, 1.5424668065385323, 1.5493074952981836, 1.594517601592922, 1.506962180597015, 1.5194209563709178, 1.541295149193104, 1.5273181190839853, 1.5681995902217651, 1.534905345224002, 1.5384461197549897, 1.5461303549235497, 1.5040985244776701, 1.5283150114765056, 1.497637083649865, 1.583207106544333, 1.5964813671130436, 1.5044104763538162, 1.5193894890232122, 1.5789655566445207, 1.4929886383357995, 1.5116245809777393, 1.5446759578350193, 1.544881251046653, 1.54723214827521, 1.5572614681284322, 1.5064427381765406, 1.5499662682270499, 1.5097462540646738, 1.49498533077093, 1.5095180162804664, 1.4901250198856715, 1.4899656975889481, 1.493865095122012, 1.5023484427575202, 1.5513449555876626, 1.4799896234032737, 1.505495360361588, 1.4816902774836516, 1.50266035076281, 1.457615184416431, 1.4612755054223974, 1.5365074868376773, 1.5160692871650518, 1.519680012283068, 1.5073266039693975, 1.5023060370961596, 1.5863455926751815, 1.466364097733029, 1.487509713926297, 1.5397082015958135, 1.4972788628355846, 1.4541194171345073, 1.4569590447725358, 1.4652845385217024, 1.5351047152958395, 1.488132091271395, 1.52027225322117, 1.4413442686343698, 1.4384236988074977, 1.4743955789962946, 1.464007465768182, 1.4097634350633346, 1.426146011017191, 1.470048694481969, 1.4140177508080396, 1.4066459581342046, 1.4598981739238968, 1.4795125988177482, 1.4575440630977095, 1.4586319197579385, 1.5211484158888948, 1.4078040128728098, 1.3959664593312553, 1.4577659593611554, 1.4696085621855852, 1.404537541213982, 1.39508643568366, 1.438280613895556, 1.4253199634524438, 1.4752488680657623, 1.447831059007516, 1.4133185939522377, 1.4408842345882702, 1.40685238429347, 1.4518544398291262, 1.4236883301725736, 1.420225993172052, 1.4514089748119803, 1.4106746404386898, 1.4625631279109301, 1.4390347196876658, 1.4194367801293242, 1.367203773962969, 1.3873082399368286, 1.4478625132628717, 1.3892418440137067, 1.3263911198329374, 1.362493550501807, 1.455941606119189, 1.3845345546744463, 1.361987108210378, 1.3745327158929754, 1.3884391381561412, 1.40164967010476, 1.4042133118146187, 1.3287022428475823, 1.3620765427403827, 1.451151546715312, 1.414685870640999, 1.3921878189709835, 1.3666764557476447, 1.4096740306227653, 1.4104331930478413, 1.4293802695237603, 1.3493741098970806, 1.3460941408870308, 1.361484952744721, 1.3551615715486236, 1.397255287579259, 1.370826773560805, 1.3694692404513644, 1.3471346165633156, 1.4142916030851633, 1.4434706202361856, 1.3697819186083844, 1.376023424843143, 1.4261390524333153, 1.367688411922124, 1.3683685762574447, 1.3203304509896074, 1.3979915646918706, 1.3868972468468035, 1.3862347901441687, 1.3920345069815427, 1.390966158266931, 1.4485912490672, 1.4231129760687062, 1.318006440049651, 1.3801877036949113, 1.3771667257669113, 1.3534813682927331, 1.3097884189875828, 1.3567692738507295, 1.3184284506965005, 1.3866861633712386, 1.4094996095163055, 1.322770449352632, 1.3957635198714415, 1.3875648006079055, 1.362630176980601, 1.3290132998501405, 1.2772043647104605, 1.3755412661615825, 1.3158474170633363, 1.3210080878123611, 1.3799083487835924, 1.415476736305766, 1.253073967605657, 1.393750604177486, 1.3531139550411173, 1.371368360427533, 1.351498863600582, 1.3562302107066777, 1.3756150378197833, 1.3689556580058413, 1.374065032124749, 1.2957933109849404, 1.3410464511441358, 1.3870485462894329, 1.3581234534811193, 1.326350345547259, 1.3197846277141387, 1.3474814379605715, 1.3393011914282635, 1.2891318698149885, 1.3398689192384194, 1.2871125389845155, 1.3317923296623377, 1.3289243651263287, 1.3173397716299877, 1.332568949587313, 1.2988758142283887, 1.2702173911078127, 1.333897846856788, 1.285039762770739, 1.360481982975337, 1.3535521620730215, 1.2667569577808784, 1.3222157291364578, 1.3255325123983541, 1.30943447558177, 1.3191878493580975, 1.3395977826476786, 1.3836148997951794, 1.3042879892452144, 1.2665182641475876, 1.2844444546626024, 1.315535804210141, 1.309870477586353, 1.3468669493878278, 1.3076541164247517, 1.3151241869366008, 1.2920826763086926, 1.3017389278191362, 1.2629827435535732, 1.3067028341036082, 1.2837555982703648, 1.2828473096752901, 1.2678912324482765, 1.2999756200694854, 1.297462750721529, 1.2326339588918667, 1.3306094738789376, 1.2972898881789117, 1.288298717353615, 1.2242206412014014, 1.2167168158556914, 1.2871479475888674, 1.2857311111883851, 1.259830930444317, 1.2932064223151676, 1.229524250664463, 1.2871618987507902, 1.2740527437371785, 1.320204263362811, 1.3103899571018183, 1.3205927861908269, 1.3417845123765098, 1.2774156614535117, 1.2993043638148518, 1.3337317887758244, 1.268444779061628, 1.3432295013484699, 1.3325189757438982, 1.3521049701409533, 1.2788474037238398, 1.2774017233839383, 1.3335541445970076, 1.2325087985551426, 1.1974909951002382, 1.3049997040187233, 1.28724597873945, 1.238561227601847, 1.2791769056650943, 1.2694515548000447, 1.2615433563846155, 1.2570360872557167, 1.2610219823544655, 1.3281734575425959, 1.2401868731989336, 1.24740094991548, 1.278466518674053, 1.1991638618167884, 1.1844194985079168, 1.275145580084108, 1.240569748974949, 1.2490184836534637, 1.2897663636703711, 1.3027035687011101, 1.227554353445711, 1.2100400383761853, 1.196942730905463, 1.2605429689089458, 1.2434400634728875, 1.2231258737328885, 1.2665322947823703, 1.2822070870555664, 1.273215080501946, 1.2249720971708353, 1.2347167814168398, 1.1691538835077158, 1.2145027043961836, 1.187749832179505, 1.262555349998621, 1.2689900039937454, 1.139697665424016, 1.1910869114545959, 1.2518341811176439, 1.198899196062474, 1.2033621655034192, 1.2219437689220745, 1.199323009663694, 1.2416585332396401, 1.2613652154430028, 1.261718211605829, 1.2513228198926114, 1.2184267156041426, 1.2570377600905063, 1.1407053514252739, 1.2284460008029534, 1.1724016257563539, 1.2170420182233601, 1.1406964022874373, 1.2534542136569014, 1.236652821589527, 1.2286571078217787, 1.192662505974889, 1.1184879977808753, 1.1570364659461903, 1.2215264475184828, 1.2333434534784915, 1.2600446235467473, 1.2386491066114063, 1.1274561898097366, 1.1875557022057976, 1.1369180384169195, 1.2544207290417886, 1.1773779261318935, 1.1460156580845975, 1.2195815828723944, 1.1540041039904188, 1.2402036132610372, 1.175267022928521, 1.2674528681933306, 1.1881471826391643, 1.1154598010298373, 1.1884018745495863, 1.1828421781517866, 1.1760297059323745, 1.2054352656954286, 1.188045273856161, 1.2156376783558398, 1.1729512002197076, 1.2163414023744807, 1.1977419119349795, 1.1811076542775296, 1.1650576198721208, 1.1315725405551564, 1.1944637852137718, 1.182520394380382, 1.1152313695018232, 1.145947883124526, 1.156164680831924, 1.1521826844683962, 1.1888805361382075, 1.1647714378746488, 1.1692393451986516, 1.1246365046914601, 1.2064739787279986, 1.1554303160062875, 1.14297183917437, 1.230224134030829, 1.158049733193164, 1.1417904399722987, 1.1448777332930666, 1.1952334549385688, 1.1427865658881347, 1.1535283676231987, 1.182891031680539, 1.1779138763975316, 1.2058989568712164, 1.1928035489396553, 1.1332164387252748, 1.1202882223965345, 1.13923157524741, 1.150366671053201, 1.1393756076320287, 1.1235074825828935, 1.1694045339016557, 1.1602912772597604, 1.1151432235346594, 1.142214679993646, 1.1776363718716396, 1.1445462828886073, 1.2058533121165973, 1.156022982216065, 1.1440908019942355, 1.134682610544855, 1.0980529148913991, 1.0886540308393724, 1.1003487087168904, 1.1359413497020743, 1.1232556522696464, 1.0561488865657578, 1.0966390723897312, 1.1240564284986154, 1.1409201379685963, 1.1146996580566744, 1.1235830048834887, 1.1434884992408385, 1.1382635532086984, 1.1028623684293273, 1.2413482492599415, 1.110724053630939, 1.0883439844743366, 1.1388495484069134, 1.1663235367378058, 1.1087724027835795, 1.095692299004924, 1.1013731089400878, 1.19498377785747, 1.144107255173097, 1.1666459498607584, 1.1365103220893698, 1.0335812098947794, 1.0945568626786013, 1.1685235071963198, 1.158368612415299, 1.1120332635666363, 1.1567552593861472, 1.1183857827057957, 1.111413015910426, 1.1704249556583706, 1.1806560401052868, 1.0937776388690192, 1.1747780298681387, 1.1593275903966385, 1.090874454074742, 1.1525969930237199, 1.123321639320065, 1.128205140431722, 1.2114667346367258, 1.1419562992562677, 1.0685447841480749, 1.134380083093294, 1.1367587521815805, 1.158086514197333, 1.1222924653275623, 1.0573699623633441, 1.1907874965943352, 1.1152286376222709, 1.168706817893394, 1.139641717908929, 1.1173885626599969, 1.1296253814173571, 1.0511040290196736, 1.1347044223994878, 1.104658197862794, 1.0864953448087953, 1.1564638893728312, 1.1309765493479307, 1.0989077322630065, 1.1007902645191936, 1.1304740406185216, 1.1531385839100288, 1.0820726050577183, 1.1004376952358752, 1.1196957332780135, 1.0402390228760265, 1.121505942188476, 1.1033499777202203, 1.129151991911247, 1.1139819741478776, 1.0802765867613644, 1.0720704595247905, 1.1550282674028693, 1.2068960400215694, 1.077888950676817, 1.1275738442104906, 1.109359657259116, 1.1074475520837743, 1.049341565841425, 1.1403523210385862, 1.1010245585487528, 1.2291734911113805, 1.1461818682492813, 1.1344348789409866, 1.0707026466239165, 1.1472484286809932, 1.1175206812360612, 1.1004114368058353, 1.0719543094809574, 1.077089139147301, 1.081730421682773, 1.0984048583833699, 1.0643228623793535, 1.070253143191108, 1.0869241467101036, 1.0618373136070192, 1.129270311035862, 1.0753670170587382, 1.1471440493486291, 1.0709192626508444, 1.0547974693063138, 1.0859629016850496, 1.1006075474568184, 1.1186004293676974, 1.019730931187411, 1.1102619718954054, 1.0120428628315126, 1.0771139738417315, 1.0532173549968153, 1.0687407028927738, 1.0154183354221558, 1.0459709980584293, 1.0645923036830733, 1.020197359812742, 1.1051908269782975, 1.0566034279117695, 1.0809675285122529, 1.0368448972472335, 1.0293151990067293, 1.0414651259062149, 1.1417035339884676, 1.0530616651380682, 1.0212903489037515, 1.0898081701040727, 1.0351853178875066, 1.0155330433551517, 1.125944415613406, 1.0786440596415128, 1.0742035974427224, 1.0516183217825916, 1.0472008023188524, 1.024368865813823, 1.0735909767692948, 1.0020775838624076, 1.080305087773097, 1.0345654667916784, 1.088167208410182, 1.1120296799378588, 0.9872940537557436, 1.0041745172989391, 1.0670142569982937, 1.0606841616088485, 1.0906261493934601, 1.0546062897625226, 1.0573593205799257, 1.0145189969985242, 1.0714811883680164, 1.0793662775228938, 1.064464751810467, 1.0597648604527146, 1.0906627596228569, 1.0796469520052503, 1.0868597859821798, 1.0942637952536287, 1.1077220837275188, 1.0614418365592442, 1.097618859512498, 1.052208200585176, 1.0764900274244578, 1.045216192170145, 1.134103036110571, 1.0879737440216748, 1.0935467772171448, 1.1129853395827702, 0.9828573807585905, 1.0592282129620312, 1.0929176114887171, 1.090275532133547, 1.0448566947369218, 1.0772347399724471, 1.1417984437620938, 1.0649569956783156, 1.0146300852413581, 1.0374162302770595, 1.0749416037791037, 1.0036767760223506, 1.0644317293442742, 1.033904880687221, 0.9823196815158131, 1.019036178758838, 1.0944927541506773, 1.0992200856378773, 1.030999078686297, 1.0575025733955103, 1.0738744221211398, 0.986692024506126, 1.045669857477177, 1.0813252602009416, 0.9614352886502223, 1.037325583441409, 0.9957544685328856, 1.0541924968620255, 1.0314504326193779, 1.0536446329313895, 1.0133205598259707, 1.0109804296769158, 1.0553041903269773, 1.0338074477651444, 1.0001429537587543, 1.1114847124886191, 1.056025659073295, 1.0405641897565368, 0.9438792245466125, 1.0170537276993827, 0.9767519562919705, 1.0250706603761353, 0.982682332367796, 1.0214558522825297, 1.0565009590288577, 1.0458384701741683, 1.0310461038798955, 1.0613115544723408, 1.0354443978022978, 1.0508120489487989, 1.0225173365863072, 1.0251729928229816, 1.0269331424452206, 1.035387012425645, 1.0842796334986053, 1.0446902279219876, 1.0688312612976412, 1.0230156909064292, 0.9899598233731955, 0.9814424944291454, 0.9513668378883244, 0.9955773378842598, 0.9991247322058632, 1.008293669807199, 0.9382290071834719, 1.0137718674764469, 0.9840971460002466, 0.9683884877230621, 0.9838923288218547, 0.995337880071188, 0.9941537207376521, 1.0085687285902871, 1.0300254708080623, 1.0266011051819275, 1.0133945367699184, 1.0178011761465053, 0.992217653059546, 0.995709752990561, 1.0202667075774574, 1.0368388979650875, 1.059709992941634, 0.9534644891071871, 1.0571317652057362, 0.9481887878250754, 0.9687495529077416, 1.0029380083773178, 1.0223570253577996, 1.0323066543751829, 0.9786502797020193, 1.031914917490156, 0.9813380473381292, 1.0020491102986713, 0.9839878071939325, 0.9996716659193094, 1.0160956417205016, 1.0295928217083044, 0.9693990164868864, 0.9613261168862124, 0.9911951062077502, 1.0252328481747695, 0.9712464965607159, 0.9747215601290812, 1.0011711720097272, 0.9977628694908237, 0.9788463674988132, 0.9990110092999159, 0.9526730262475207, 0.9765284288825328, 1.0000559167365808, 1.0214897257514541, 0.9849615973888795, 0.9909924235417434, 1.0148446626516205, 0.9767583120535335, 0.9489514723219165, 0.994760802141274, 0.9845263744365274, 1.0082871337387145, 1.0298302966046196, 0.9684421212227587, 0.9809608052920744, 0.969320260720446, 0.994317066290475, 1.0457211946476401, 1.0023430730566123, 0.9716187950963, 0.9744624102735795, 0.976316157793034, 0.979103567627813, 0.9751249029227534, 0.9230546583789392, 0.9872135145586121, 0.9151171875367504, 1.0022996817939773, 0.9886311054918807, 0.9875081503666894, 0.9741501530241186, 1.0006047324178766, 0.9741541690449724, 0.9939832996311445, 1.045747457556642, 0.9621903583952917, 0.9859128108603417, 0.9560825285539462, 1.0146524738484495, 0.9743658791158011, 0.969928986419832, 0.9585391958324896, 1.0097408386553872, 1.004875180578875, 0.9873453503858607, 0.9952718020633925, 0.9993476764315126, 0.9997253208950535, 0.9125083471309243, 0.9722392478659893, 0.9864358263438378, 0.9502567251523336, 0.9268144560916806, 0.9876104047762406, 0.9544629814078124, 0.9449699410813392, 0.938785771643725, 0.9694608916207316, 1.0429045017055005, 0.9774775749686136, 1.0075310773013415, 0.9607829471084653, 0.9378991354407603, 1.0037076374469236, 1.0081121430001967, 0.948502266452951, 0.9872803746620354, 1.007379711363357, 0.9631021133047997, 0.9869673897535585, 1.0064638041117746, 0.9462184692393838, 0.948171190788291, 0.9848209086640493, 0.9908138411352859, 0.9321805262841241, 0.9634042416693848, 0.9567751372250978, 0.9392375487812682, 0.9935347716932352, 0.9684445217165644, 1.004459023475647, 0.9477116449490218, 0.9418064871505046, 0.9663268510891063, 0.9833457505542189, 0.9813967689383696, 0.9416630068266323, 0.9231684069527827, 0.9084188950773838, 0.9289698515783615, 0.9431800287582971, 0.9633340098265278, 0.9546152639251224, 0.9324304676239661, 1.0006677525580963, 0.9674752259300393, 0.9693911076740492, 0.942023467236631, 0.9811587809138216, 0.9463632007439932, 0.9378432545358735, 0.979656522329143, 0.9224726278657858, 0.9844463990143498, 0.9373487792263141, 0.9804248368808989, 0.9393547080844813, 0.9461934669858458, 0.9192209027865489, 0.968672667969169, 0.9150479097127455, 0.932503527873743, 0.9143842923847926, 0.9612045958207521, 0.974873520505681, 0.9984478562323804, 0.9693286825466707, 0.9750513996002991, 0.9163735913173771, 0.8674896280200495, 0.8911134886603824, 0.9117111454579642, 0.9140664174836954, 0.9418665349828026, 0.9216254441379812, 0.9306180133755266, 0.8905307735551529, 0.9617147985451024, 0.9154703996085019, 0.8844856695632715, 0.9115385717509569, 0.9243749462800219, 1.0109422042650065, 0.9110394936765549, 0.9474770102886795, 0.9413726984420953, 0.9527280827937558, 0.9449053013944901, 0.9517770032891878, 0.9911844516765176, 0.9686875315759912, 0.9853600403706692, 0.9451692591283133, 0.9744245011452765, 0.9598556528431372, 1.052147010617633, 0.9600790409453802, 0.9514132297107939, 0.956648194491289, 0.9720110847311443, 0.9793439289278607]"
