,params,data
batch_size,512,
lr,0.0001,
max_epochs,2000,
module__activation_fct,prelu,
module__channel_list,"[(101, 1), (53, 1), (49, 1), (110, 1)]",
module__conv_type,regular,
module__dropout,0.26040144667032794,
module__fc_hidden_layers,"[1936, 64]",
module__preprocess,,
train_loss,,"[2.7767857419859343, 2.674095832578716, 2.6511940120847552, 2.6491620951368904, 2.6626191522434883, 2.6524525700680215, 2.6543211964487, 2.650630281106914, 2.6579350064418086, 2.644212930218547, 2.640716143131715, 2.648045080687933, 2.646187612021394, 2.6466817445084954, 2.6494661843811125, 2.6468844950715433, 2.6408958097738755, 2.6426241826965216, 2.638747773799217, 2.629995943377865, 2.6250062043903193, 2.623236149291331, 2.60532946421391, 2.6141303241883938, 2.627025874792325, 2.6071593940430127, 2.5990472686646418, 2.6338094547462645, 2.5898903237729263, 2.5520289322868694, 2.5615812961130446, 2.5230735128492663, 2.524673837670004, 2.484583660314815, 2.4912493726860685, 2.467245479864611, 2.431626056913462, 2.4365641076020945, 2.4275263939142455, 2.369713647762552, 2.380930323802702, 2.394839448809509, 2.3480041489449683, 2.3081232803847724, 2.272063365684781, 2.2675918349861757, 2.242078155824149, 2.2579537801035787, 2.205411637712833, 2.199285999184279, 2.1757180095292608, 2.158071242925407, 2.1327856283444873, 2.126579051527183, 2.1213469287314246, 2.1239132540402674, 2.098738074646877, 2.041488358100179, 2.1036819940122764, 2.055493790043215, 2.092259429301977, 1.9839159423508703, 2.0820067717090494, 1.9978004646943783, 1.9896306015185374, 1.979103877351649, 1.9822051448243758, 1.91140613800293, 1.9648166538087994, 1.9132807522122968, 1.9586177876181505, 1.868537337591834, 1.9229169226931884, 1.9396617715466584, 1.9467930661817372, 1.9406166931433215, 1.9053277981981163, 1.8362064265768843, 1.9217714136098873, 1.7859066807386161, 1.8586282890731034, 1.8861671362620804, 1.8096134390993917, 1.794005308734097, 1.8730518807001821, 1.7883298734384045, 1.8004296894137737, 1.7633674373066803, 1.7707024851708142, 1.8541236053417232, 1.780822614503664, 1.7285239013831586, 1.804208407330903, 1.7374890136305705, 1.7023680019654026, 1.7896946895799462, 1.7206920771442777, 1.7454013636871757, 1.7519892695663752, 1.8042582372155065, 1.7012680608911854, 1.7173901541630046, 1.7052506966242087, 1.648906333384546, 1.7012471139029428, 1.6574306085318529, 1.6796060361692375, 1.6611130638003235, 1.6122235050559388, 1.6069173211656704, 1.695633316980863, 1.607571227890121, 1.6558643653486873, 1.614458768728034, 1.5808053887498505, 1.6438188857476912, 1.5984094654630308, 1.5714662709525276, 1.6191192814888462, 1.6354529511136888, 1.5892418534051236, 1.5426746783518126, 1.6228450226944382, 1.551687206122827, 1.5623037457695594, 1.532812670346518, 1.524218499402339, 1.575325318835353, 1.5588439599152824, 1.523351150022549, 1.4745489146069224, 1.556924741066225, 1.472228838975207, 1.5097076822864655, 1.52535995901262, 1.5092148965545522, 1.4674996879378457, 1.4383219113650518, 1.4636746517044632, 1.4280371987785252, 1.4836632203780422, 1.3680805557616291, 1.458445118297397, 1.4445266579067169, 1.3461149454231556, 1.461474236498898, 1.4242768367972938, 1.3807919056399496, 1.3976305431764326, 1.369634215939607, 1.4125963524629337, 1.4000339537887647, 1.3771331559246383, 1.3910898537562373, 1.3153190026498964, 1.3994853822397888, 1.3932091309200467, 1.324668915255696, 1.4052553078781767, 1.337012956759698, 1.3283173551171645, 1.4403315460142663, 1.2816730221953956, 1.3008833731218985, 1.3600307804558345, 1.3184108828786936, 1.3327964011353868, 1.2805579088420336, 1.3013122665182228, 1.3142695700009357, 1.2338287954839866, 1.3022057185159266, 1.3051994333081343, 1.268459700528421, 1.3001459816307603, 1.2993202814697875, 1.3079495396145957, 1.2838030484459284, 1.3275069395318642, 1.2558047593615167, 1.295125155063405, 1.3064597742390014, 1.2425090377725467, 1.2234534024618589, 1.2111770288661998, 1.2266985134968285, 1.2023243563065056, 1.204960333916634, 1.2314614487508952, 1.241190341657119, 1.139180495115974, 1.181065347931268, 1.1661909405604594, 1.1872414275358456, 1.2130700225894329, 1.1843140253777453, 1.2315022153735047, 1.2517126653203605, 1.1726658016127733, 1.221130290607401, 1.162419610923018, 1.1907863981799511, 1.1970858197870795, 1.195231813439047, 1.1508918257718825, 1.1608089940036226, 1.1262843906592588, 1.1724450962548076, 1.10041166757367, 1.1703138120823806, 1.1358539591452843, 1.1593685315364364, 1.1288656065163416, 1.142101430686422, 1.1172302182874965, 1.1317315031635407, 1.1284369282474647, 1.0955203522043349, 1.1492007893937728, 1.169190921957844, 1.1197527361329183, 1.0989293302476577, 1.1117023758525684, 1.0846797683356013, 1.1206428205542431, 1.1031205128085968, 1.108617400755896, 1.0850512883029841, 1.1388345096292578, 1.0668496430436503, 1.0750154235021097, 1.051739973443649, 1.0823694091788614, 1.1347192942350386, 1.043400684724758, 1.0796764920661952, 1.0548219343466296, 1.070277436119186, 0.9960935349299198, 1.041330801912864, 1.0815297713408227, 1.0526918545150206, 1.0109435561703763, 1.002831447858783, 0.9944831092731671, 0.9945390988015808, 0.9883760586739504, 0.9722886392999085, 1.0314566263421667, 1.0321840153392172, 1.0328243442517961, 0.9927484940404039, 0.9884730314152876, 1.0395555689543687, 1.0148878861380037, 1.0271672615646972, 0.9752689224987849, 0.9935862304350582, 1.045100484821404, 1.0302864043786046, 0.941565949745885, 1.0369697746688982, 0.9979182323431945, 0.936099024892886, 0.9529257558135601, 0.9548144650298661, 0.957207131775901, 0.9580256758800944, 0.9841440011378776, 1.0501719847737423, 0.9806353329923775, 1.0371469393501611, 0.9237361723580421, 1.0027087248209237, 0.905726711089159, 0.9646760238490504, 0.9673501803854317, 0.9266889505195893, 0.9231670646281972, 0.9431300772796811, 0.9569484878320667, 0.9400524665118412, 0.9242630136827646, 0.9317213091515255, 0.9076584525929837, 0.8907224675344664, 0.8801372250303612, 0.910551280787177, 0.8559617729457786, 0.942271317852817, 0.970577547134862, 0.9256060713179646, 0.93348535052048, 0.9117244783218832, 0.8979780958809453, 0.9292959075804739, 0.9607194271135835, 0.9211758181266307, 0.9593287270383495, 0.9567540117590558, 0.9079117996974905, 0.9629744287863503, 0.9181666269798022, 0.9192037510688312, 0.8544482852084001, 0.8489279942918673, 0.9309989602893907, 0.8514087579362776, 0.8484859744784233, 0.9141486234912743, 0.883706861269715, 0.883697795053304, 0.8797874212035546, 0.8612790446194235, 0.8456339834973259, 0.8650883794748748, 0.8720209665176987, 0.8863424984048031, 0.8443944845438233, 0.8364468755575185, 0.8477986026429809, 0.8117399388373874, 0.8294292174645407, 0.864219372552444, 0.8843130294065044, 0.8427360874741437, 0.8258517965373222, 0.82099317552036, 0.7843075009122046, 0.8706990992139462, 0.8368455644004957, 0.8058195785620215, 0.8803034269316364, 0.8168256952856686, 0.8367958921326022, 0.8152151372394846, 0.8195666111467892, 0.8376656848725731, 0.826178208868359, 0.8401359456507946, 0.7789117660628017, 0.7944282921491849, 0.8189884760955759, 0.799284037801368, 0.8075348412021063, 0.7567314617299942, 0.8102354291428501, 0.8084835476664194, 0.7915766229700653, 0.7799115679491243, 0.8111214315352013, 0.753218225209729, 0.8051582549602739, 0.7980137930912279, 0.8285880431575885, 0.769936715701776, 0.7972185694907467, 0.7638302076826655, 0.7817382846059882, 0.7476489528999292, 0.7534640554457014, 0.8325919176777242, 0.7619710393658731, 0.7788940382416829, 0.7501136084894817, 0.7914775504414225, 0.7254750996512559, 0.7528615084775259, 0.753245440036546, 0.6819662038412544, 0.7649749423358392, 0.7361758040968791, 0.7369287136199959, 0.7867821356616879, 0.757102647633135, 0.7752693652590383, 0.7061081564231373, 0.7277256210296056, 0.7874723443397544, 0.8117102857273972, 0.7562007668559888, 0.8026136718941378, 0.7151197278916951, 0.7546140710474553, 0.752008918805462, 0.7513381103923162, 0.7369551410516715, 0.7704498036419462, 0.7878886059113026, 0.6937918717523855, 0.7578709250866391, 0.7065419688949915, 0.7630689771159321, 0.7076085351543775, 0.7731954480904129, 0.7497511029071368, 0.6966996003906811, 0.7574534577400898, 0.6994469493082559, 0.7213761705234718, 0.7073372629425408, 0.7202215259240383, 0.7619102232954156, 0.7418093610773646, 0.7919400558664433, 0.6909120907797276, 0.7239069319666293, 0.7055494801371688, 0.7057692112259503, 0.7384823070797815, 0.7158110996957463, 0.7293360299279302, 0.690737034576919, 0.7241726975468515, 0.6816101441943266, 0.6870393693389746, 0.7123137624706639, 0.7038269655078048, 0.7047472146408734, 0.6531149814975618, 0.7177593489468843, 0.7007210069372748, 0.692476208596934, 0.6792157427752902, 0.7091701044355939, 0.7366512956759239, 0.7057385631658575, 0.6953565948450072, 0.7196782472847286, 0.6455002857929704, 0.710897041296477, 0.597945675770174, 0.6784041698330061, 0.6857058440296552, 0.7006652823311418, 0.6611021804167057, 0.6946837614085148, 0.6728933626235507, 0.6744687345535051, 0.6861933447399085, 0.6829971563540708, 0.6522376854564274, 0.7070141443848266, 0.6690555473465088, 0.6852266581099806, 0.6875115291101641, 0.7420491894296549, 0.7074340051246217, 0.6808245488378839, 0.6669366125580322, 0.6103831890601167, 0.6611599572239528, 0.677463607821359, 0.6529829573814862, 0.6605941183413303, 0.6816347337205095, 0.7482761097883697, 0.6657017524765592, 0.6440282666820879, 0.6915535930260887, 0.680462498522585, 0.622387763109198, 0.6988296067634376, 0.6368688693605328, 0.6287731519103394, 0.6263433692831621, 0.6120994705724762, 0.6668762070726499, 0.6779816743269692, 0.678005312932467, 0.6562329317596352, 0.6408482920790775, 0.5752272763656124, 0.7368682186344245, 0.6134387608671326, 0.6482254170935469, 0.6622395005446425, 0.5905219129321665, 0.6536606062881297, 0.5931051861103964, 0.612168452479268, 0.6108890542396568, 0.6328206679302414, 0.6116848842413868, 0.652763354709449, 0.6688692041666492, 0.6377780265941198, 0.6535321295519536, 0.6751606328999112, 0.592761426131466, 0.5959395241490686, 0.6607200418445671, 0.6501933876944919, 0.6336483964848908, 0.6386966133370092, 0.6677423497308781, 0.6165394449715894, 0.5964459941522563, 0.6367473898883963, 0.6051018391525206, 0.6676711658655852, 0.6092604964369186, 0.6284344530771052, 0.5813497024390191, 0.6012978678259056, 0.6548153972889622, 0.6345144720807226, 0.6494163292979138, 0.6220925610953506, 0.6068427505059467, 0.6303761667707313, 0.6363218830570335, 0.5950467207247644, 0.5850891805360591, 0.5852980629484509, 0.5833095950903631, 0.5744454851508485, 0.5792915428109302, 0.5673757489767065, 0.6707338179041263, 0.5925796745027684, 0.6662550291496475, 0.6126189103369764, 0.6104880546697409, 0.648383853553693, 0.6934215644297402, 0.6505964258981508, 0.6071892551095355, 0.6439641033145989, 0.6030975534895272, 0.6331813414011929, 0.6508556673369578, 0.5929049351275024, 0.5758439884722749, 0.5567577517124411, 0.5789753363267863, 0.5561663766568159, 0.5536024735109294, 0.6097968159901396, 0.5791754804630481, 0.5846172606176315, 0.611050219353041]"
